window,Tmag_rms_Nmm,Tmag_mean_Nmm,field_freq_Hz,field_norm_mean_mT,omega_wobble_mean_rad_s,Tmag_ratio_to_pre
W0_precontact,0.0077846220872663414,0.006529086558415533,31.072454696697616,9.999999999999998,217.68719841981394,1.0
W1_contact,0.010631229260163227,0.010630986799976712,31.211161984865633,10.0,229.43616016832186,1.365670567046949
W2_postimpact,0.010467427678907496,0.0104639112771946,31.285658321532956,10.0,288.68401119910175,1.344628880062083
W3_latest,0.010126127016298076,0.01012506145567677,31.344270573503866,10.0,208.17138608374847,1.30078594731809
