time_s,T_model_norm_Nmm,T_tele_norm_Nmm,T_abs_error_Nmm,T_relative_error
1.0559219828036989e-07,3.8989433640016124e-10,3.8989433640016124e-10,2.5849394142282115e-26,6.629846019551318e-17
0.000100206992711,0.0003275831719756,0.0003275831719756,9.135700579012051e-17,2.788818645327887e-13
0.0002003086646864,0.0012148388211758,0.0012148388211763,5.317637200762346e-16,4.3772368054664266e-13
0.0003004117071086,0.0025206226550776,0.0025206226550786,9.355602004389923e-16,3.711623390173088e-13
0.0004004130475548,0.0041014497621654,0.0041014497621654,7.796319386232406e-17,1.9008691653744072e-14
0.0005004329836569,0.0058161826488473,0.0058161826488482,9.679420791653918e-16,1.664222287374481e-13
0.0006004600089003,0.0075196861349588,0.00751968613496,1.1810386416680734e-15,1.5705956611370667e-13
0.0007004836807771,0.0090635792392208,0.0090635792392216,7.833146403906078e-16,8.64244267872568e-14
0.0008005334256811,0.0102965023442286,0.0102965023442294,7.473055851395622e-16,7.257858641273308e-14
0.0009005674596595,0.0110646434285598,0.0110646434285602,3.518270557329169e-16,3.179741471151039e-14
0.001000585872233,0.0112197778559024,0.0112197778559023,1.3093474115919903e-16,1.1669994080169708e-14
0.0011006465097886,0.0109865311727462,0.0109865311727462,1.1186616826518754e-16,1.0182119042513526e-14
0.0012007196859615,0.0107467276346433,0.0107467276346432,1.2356347310407834e-16,1.1497776560909441e-14
0.001300781209154,0.0107141957530742,0.0107141957530741,8.816643804793937e-17,8.228936644418018e-15
0.0014007947240282,0.0106217439235037,0.0106217439235037,1.4479746310057526e-16,1.3632174164938087e-14
0.0015008076790925,0.0105202599056496,0.0105202599056495,1.344858289947157e-16,1.2783508221360127e-14
0.0016008487050241,0.0106677476176795,0.0106677476176794,1.654690018630226e-16,1.5511147038086542e-14
0.0017009072661223,0.0107432041487206,0.0107432041487205,1.155456387705707e-16,1.0755230671506138e-14
0.0018010020360083,0.0107589385207284,0.0107589385207283,1.213345759822585e-16,1.1277560118825277e-14
0.0019011034441257,0.0107171253848744,0.0107171253848743,1.4986545080053335e-16,1.3983735882389427e-14
0.0020011151394011,0.0106174335259398,0.0106174335259397,1.6637074388091888e-16,1.5669581869710285e-14
0.0021011611559782,0.0104543678735123,0.0104543678735122,6.905338025197312e-17,6.605218133458918e-15
0.0022012445860278,0.0102216377753733,0.0102216377753732,1.1306518546423802e-16,1.1061357088650104e-14
0.0023012987635142,0.0100237626155142,0.0100237626155141,2.006260385969788e-16,2.0015042882845553e-14
0.0024013079778331,0.0101748203728941,0.010174820372894,1.6770613595069912e-16,1.6482466501076802e-14
0.0025013802147066,0.0102489200447291,0.010248920044729,1.1125414741221272e-16,1.0855206882936952e-14
0.0026014181554271,0.0102538643647653,0.0102538643647652,1.889903405731657e-16,1.843113326353165e-14
0.0027014386551154,0.0101927843679246,0.0101927843679245,1.350419832497019e-16,1.3248782508797423e-14
0.0028015212234794,0.0100650034787139,0.0100650034787138,9.498007078303617e-17,9.436665470002759e-15
0.0029015981567806,0.0098647350222511,0.009864735022251,5.9545504618504e-17,6.036199095484322e-15
