start_ms,end_ms,n,f_field_Hz,f_robot_Hz,f_robot_median_Hz,omega_wobble_mean_rad_s,omega_wobble_rms_rad_s,true_axis_range_deg,Tmag_rms_Nmm,R_lock_vs_30Hz,R_lock_abs
0.0,11.0,110,31.08416389147537,-80.909767053406,-47.09464943367572,714.9984922646373,815.4436414998079,85.0790817064628,0.0072039322918765825,-2.6969922351135334,2.6969922351135334
11.0,33.333,224,28.71685918935225,32.1581201308648,24.00265694369207,345.2260830709805,381.64931075511845,68.57990212141335,0.004045591553391515,1.0719373376954935,1.0719373376954935
33.333,55.5,221,30.082464140120088,29.580877227760272,30.493206860442363,356.1396456786871,407.60233675525086,35.562944206052535,0.0015730562995463428,0.9860292409253424,0.9860292409253424
