B_mT,torque_scale_vs_10mT,selected,selection_basis
12.5,1.25,False,not indicated; Tmag does not collapse
15.0,1.5,False,not indicated; Tmag does not collapse
20.0,2.0,False,not indicated; Tmag does not collapse
