time_s,Tmag_t_Nmm,Tmag_e1_Nmm,Tmag_e2_Nmm,Tmag_norm_Nmm,Thydro_t_Nmm,Thydro_e1_Nmm,Thydro_e2_Nmm,Thydro_norm_Nmm,Tcontact_inferred_t_Nmm,Tcontact_inferred_e1_Nmm,Tcontact_inferred_e2_Nmm,Tcontact_inferred_norm_Nmm,omega_spin_rad_s,omega_wobble_rad_s,HEAD_gap_um,TAIL_gap_um,contact_active,opposing_bridge
0.0,3.5530808934673457e-12,1.674274781910836e-10,-6.100404300082123e-11,1.7823040733754534e-10,0.0,0.0,0.0,0.0,-3.553111017122134e-12,-1.6742821152999837e-10,6.100455593168778e-11,1.7823127239195788e-10,0.0,0.0,196.7842331917772,187.18716173495227,0,0
9.999979738495313e-06,3.582066207314862e-08,1.6971016414478366e-06,-6.150170161109117e-07,1.8054592300415618e-06,-4.8279152019240966e-14,-3.770910489398039e-12,1.3705404152876087e-12,4.012540071514375e-12,-3.5820575288369065e-08,-1.6970960708548114e-06,6.15014993303691e-07,1.8054533029998774e-06,-6.665760629814114e-05,0.0013373287881707071,196.7842361215947,187.1871651051465,0,0
1.9999959476990625e-05,1.3992002100529607e-07,6.664969090143687e-06,-2.402333973539473e-06,7.086084892609659e-06,-3.8214828283137936e-13,-3.0029864449160104e-11,1.0870550178828086e-11,3.1939124241835745e-11,-1.3991948657952855e-07,-6.66493190509505e-06,2.402320523631549e-06,7.0860453470564216e-06,-0.0005303536626763044,0.01064490687985942,196.78427990835368,187.18721547343716,0,0
2.9999939215485938e-05,3.102799138405188e-07,1.4860010471330166e-05,-5.327300215225903e-06,1.578912006465595e-05,-1.2760785627395757e-12,-1.0088935388658063e-10,3.637407305525084e-11,1.0725373324401678e-10,-3.1027829904010523e-07,-1.4859893580828018e-05,5.327258104036921e-06,1.578899581238199e-05,-0.001780190876220879,0.035746319492319656,196.78446886591425,187.1874328331156,0,0
3.999991895398125e-05,5.445477181982307e-07,2.6221534168650998e-05,-9.349522031455427e-06,2.784383142801646e-05,-2.9925608663596147e-12,-2.3805059172357475e-10,8.54791218975133e-11,2.5295003443536604e-10,-5.445441303661137e-07,-2.622126784615008e-05,9.349426470497327e-06,2.7843548464531174e-05,-0.004196621400315565,0.08430507318969291,196.78497540864632,187.18801551439017,0,0
4.999990051146597e-05,8.403955886099344e-07,4.0688582188405694e-05,-1.4429029361741412e-05,4.317943808770553e-05,-5.782273593696342e-12,-4.6280179997048495e-10,1.6551061688192666e-10,4.915411529510719e-10,-8.403888869514526e-07,-4.0688075485094826e-05,1.4428848280858376e-05,4.317889997295109e-05,-0.008151455007645131,0.1638245195410583,196.78603880835357,187.1892387546239,0,0
5.9999878430971876e-05,1.1955199802224451e-06,5.819989990726356e-05,-2.0526265513860674e-05,6.172507750650552e-05,-9.88424093766946e-12,-7.960162026616533e-10,2.8352316648643405e-10,8.450590979649213e-10,-1.1955087874327574e-06,-5.819904106737216e-05,2.05259598310785e-05,6.17241658462028e-05,-0.014007865228700272,0.2816476638096733,196.787963944878,187.1914532611588,0,0
6.999985635047778e-05,1.6076418974224879e-06,7.869393748703375e-05,-2.7602088113992405e-05,8.340980504674568e-05,-1.552600833781027e-11,-1.2581501996119064e-09,4.4630394923301287e-10,1.335054379723676e-09,-1.607624611139104e-06,-7.869259436498397e-05,2.760161200251568e-05,8.340837997419483e-05,-0.022120387121701217,0.4449570372884899,196.79112004932205,187.195083765487,0,0
7.99998379079625e-05,2.0745065181033507e-06,0.00010210881662909049,-3.561775788808267e-05,0.00010816255677294686,-2.2923797174576644e-11,-1.869241124056848e-09,6.603753807082211e-10,1.9825951487350455e-09,-2.0744813222039393e-06,-0.00010210683710892332,3.561705904061061e-05,0.00010816045743175606,-0.03283492059147333,0.6607744103009815,196.79593944072064,187.2006275696168,0,0
8.999981946544722e-05,2.5938826248142184e-06,0.00012838228191054842,-4.453492247065692e-05,0.00013591209605880658,-3.2282652451899616e-11,-2.648904694050074e-09,9.319979053293672e-10,2.8082660741724904e-09,-2.5938475005676755e-06,-0.00012837949432793362,4.4533942360947877e-05,0.00013590914108683186,-0.046488748621136,0.9359604181801594,196.8029162525562,187.20865308037543,0,0
