time_s,sample_index,min_gap_um,HEAD_gap_um,TAIL_gap_um,opposing_bridge
0.0,0,187.18716173495227,196.7842331917772,187.18716173495227,0
9.999999747378752e-06,100,187.69588095815115,197.22506252418748,187.69588095815115,0
1.9999999494757503e-05,200,188.20459428303988,197.665908678894,188.20459428303988,0
2.9999999242136255e-05,300,188.7133012001016,198.10677127744412,188.7133012001016,0
3.9999998989515007e-05,400,189.22200113710403,198.54764988737756,189.22200113710403,0
4.999999873689376e-05,500,189.73069359641502,198.9885441413326,189.73069359641502,0
5.999999848427251e-05,600,190.23937810905934,199.4294536972212,190.23937810905934,0
7.000000186963007e-05,700,190.7480539607715,199.87037800051232,190.7480539607715,0
7.999999797903001e-05,800,191.25672086173483,200.31131686539365,191.25672086173483,0
9.000000136438757e-05,900,191.76537815512214,200.75226978798105,191.76537815512214,0
9.999999747378752e-05,1000,192.27402518269642,201.19323626351883,192.27402518269642,0
0.00011000000085914508,1100,195.23195524226307,203.76470737110813,195.23195524226307,0
0.00011999999696854502,1200,198.18978401248864,206.33688061107404,198.18978401248864,0
0.00013000000035390258,1300,201.03016374445494,208.80394575785743,201.03016374445494,0
0.00014000000373926014,1400,203.6547347963592,211.0832218347274,203.6547347963592,0
0.0001500000071246177,1500,206.27418379732853,213.35907421704857,206.27418379732853,0
0.00015999999595806003,1600,208.88833467757036,215.63137445710322,208.88833467757036,0
0.00016999999934341758,1700,211.49700837042096,217.89999224767658,211.49700837042096,0
0.00018000000272877514,1800,214.10002241362812,220.16479510736752,214.10002241362812,0
0.0001900000061141327,1900,216.69719471487153,222.425651655265,216.69719471487153,0
0.00019999999494757503,2000,218.87348535556893,224.30689551101835,218.87348535556893,0
0.0002099999983329326,2100,223.45254273217157,228.29116866012512,223.45254273217157,0
0.00022000000171829015,2200,227.20092763711546,231.53446970543047,227.20092763711546,0
0.0002300000051036477,2300,229.89512047929063,233.85345513982236,229.89512047929063,0
0.00023999999393709004,2400,231.10178646730867,234.87096797867318,231.10178646730867,0
0.0002500000118743628,2500,230.65247733695844,234.4423198987323,230.65247733695844,0
0.00026000000070780516,2600,228.66812307604678,232.6757070469082,228.66812307604678,0
0.0002699999895412475,2700,225.43074092877202,229.85608336623957,225.43074092877202,0
0.0002800000074785203,2800,220.9699124477234,225.93352069762685,220.9699124477234,0
0.0002899999963119626,2900,216.24932921611733,221.79301311117084,216.24932921611733,0
0.0003000000142492354,3000,210.59547654484962,216.8702852930199,210.59547654484962,0
0.0003100000030826777,3100,202.3921405937279,209.73590720106665,202.3921405937279,0
0.00031999999191612005,3200,193.5111934873428,201.98462890936437,193.5111934873428,0
0.00033000000985339284,3300,184.2379543545372,193.92226651077343,184.2379543545372,0
0.00033999999868683517,3400,174.96774561276334,185.8692571360804,174.96774561276334,0
0.0003499999875202775,3500,165.70332640782925,177.82769035763306,165.70332640782925,0
0.0003600000054575503,3600,156.4473286352558,169.79957733840462,156.4473286352558,0
0.0003699999942909926,3700,147.12760725153908,161.69955461701835,147.12760725153908,0
0.0003800000122282654,3800,137.42118240758415,153.2801574580387,137.42118240758415,0
0.00039000000106170774,3900,127.75126285767114,144.89731675360994,127.75126285767114,0
0.00039999998989515007,4000,118.11897014044182,136.55195156339616,118.11897014044182,0
0.00041000000783242285,4100,106.81421859600515,126.76314401058076,106.81421859600515,0
0.0004199999966658652,4200,95.56278424360576,117.02733789423236,95.56278424360576,0
0.0004299999854993075,4300,84.3665410284481,107.34612072161099,84.3665410284481,0
0.0004400000034365803,4400,73.22732493511886,97.72100696865415,73.22732493511886,0
0.00044999999227002263,4500,62.14693874962918,88.15349004557771,62.14693874962918,0
0.0004600000102072954,4600,51.12711622558486,78.6450103361268,51.12711622558486,0
0.00046999999904073775,4700,40.16954042606369,69.1969701941385,40.16954042606369,0
0.0004799999878741801,4800,29.275909320036988,59.81078959458807,29.275909320036988,0
0.0004900000058114529,4900,18.44781142965568,50.4877985098815,18.44781142965568,0
0.0005000000237487257,5000,7.686843431033874,41.22933744049418,7.686843431033874,0
0.0005099999834783375,5100,0.25114082671373605,28.85123133283518,0.25114082671373605,0
0.0005200000014156103,5200,2.194116478985708,7.226915692194469,2.194116478985708,1
0.0005300000193528831,5300,-5.181696082610321,-4.942407013499017,-5.181696082610321,1
0.000539999979082495,5400,-16.071540914862958,-13.466956090752769,-16.071540914862958,1
0.0005499999970197678,5500,-27.017762747761132,-21.776746982459684,-27.017762747761132,1
0.0005600000149570405,5600,-37.322271652596164,-30.60468197698407,-37.322271652596164,1
0.0005699999746866524,5700,-48.55988819453061,-38.3316368311023,-48.55988819453061,1
0.0005799999926239252,5800,-59.82970194667292,-45.88362083224118,-59.82970194667292,1
0.000590000010561198,5900,-70.4540720916067,-53.928759510783244,-70.4540720916067,1
0.0006000000284984708,6000,-81.20595920676654,-61.69523499451823,-81.20595920676654,1
0.0006099999882280827,6100,-90.29340504661032,-68.07340674821828,-90.29340504661032,1
0.0006200000061653554,6200,-98.93097284175545,-74.79068441518378,-98.93097284175545,1
0.0006300000241026282,6300,-107.24148709982384,-81.71996346705446,-107.24148709982384,1
0.0006399999838322401,6400,-115.66563328226343,-88.61141220722268,-115.66563328226343,1
0.0006500000017695129,6500,-125.50746336361851,-94.3505453277299,-125.50746336361851,1
0.0006600000197067857,6600,-133.89020487295633,-101.09132900782258,-133.89020487295633,1
