time_s,RM_t_Nmm,RM_e1_Nmm,RM_e2_Nmm,RM_norm_Nmm,Tmag_baseline_t_Nmm,Tmag_baseline_e1_Nmm,Tmag_baseline_e2_Nmm,Tmag_baseline_norm_Nmm,required_transverse_Nmm,available_transverse_Nmm,omega_spin_rad_s,omega_wobble_rad_s,tilt_deg,HEAD_gap_um,TAIL_gap_um,contact_active,opposing_bridge,com_x_mm,com_y_mm,com_z_mm,axis_x,axis_y,axis_z
0.0,0.0,0.0,0.0,0.0,3.5530808934673457e-12,1.674274781910836e-10,-6.100404300082123e-11,1.7823040733754534e-10,0.0,1.7819498790895274e-10,-1.4855621000009478e-07,49.76640719573708,3.684833736543139,196.7842331917772,187.18716173495227,0,0,-7.468174204284,-3.676918015967,-9.550745259298,0.9647382600215763,-0.11887423721399708,0.2348382536498942
9.999999747378752e-06,4.019153553395618e-09,1.417407853212402e-07,-4.672958425609696e-08,1.4929922258175136e-07,3.582073446323055e-08,1.6971050711274013e-06,-6.150182590006188e-07,1.8054628787011876e-06,1.4924511472148617e-07,1.8051074985580481e-06,-1.4833695161087235e-07,49.76640719573708,3.658961151304686,197.22506252418748,187.69588095815115,0,0,-7.46817420408486,-3.676918015992563,-9.550745259248236,0.9648662267765761,-0.11856921121284142,0.23446642953373445
1.9999999494757503e-05,4.019153553395618e-09,1.417407853212402e-07,-4.672958425609696e-08,1.4929922258175136e-07,1.3992044313553394e-07,6.664989236214567e-06,-2.4023412212357142e-06,7.086106306887555e-06,1.4924511472148617e-07,7.084724755564209e-06,-1.481176514772642e-07,49.76640719573708,3.6331280539379627,197.665908678894,188.20459428303988,0,0,-7.468174203487407,-3.676918016069168,-9.55074525909905,0.9649939545636157,-0.11826415584570545,0.23409454734738552
2.9999999242136255e-05,4.019153553395618e-09,1.417407853212402e-07,-4.672958425609696e-08,1.4929922258175136e-07,3.102809484998964e-07,1.4860060250315172e-05,-5.327317979640386e-06,1.5789172928503847e-05,1.4924511472148617e-07,1.578612389091118e-05,-1.4878613630031623e-07,49.76640719573708,3.6073352920540365,198.10677127744412,188.7133012001016,0,0,-7.468174202491586,-3.6769180161966886,-9.550745258850595,0.9651214433578629,-0.11795907118814004,0.23372260715486415
3.9999998989515007e-05,4.019153553395618e-09,1.417407853212402e-07,-4.672958425609696e-08,1.4929922258175136e-07,5.445496138199674e-07,2.622162612476312e-05,-9.349554578015028e-06,2.7843928992081067e-05,1.4924511472148617e-07,2.7838603546768315e-05,-1.4767892331235544e-07,49.76640719573708,3.5815837393178254,198.54764988737756,189.22200113710403,0,0,-7.468174201097345,-3.676918016374999,-9.550745258503026,0.9652486931073364,-0.11765395731571143,0.23335060913254999
4.999999873689376e-05,4.019153553395618e-09,1.417407853212402e-07,-4.672958425609696e-08,1.4929922258175136e-07,8.403985250957383e-07,4.068872583124827e-05,-1.4429079779210267e-05,4.317959034921808e-05,1.4924511472148617e-07,4.317141129318457e-05,-1.4657158065034537e-07,49.76640719573708,3.55587428951504,198.9885441413326,189.73069359641502,0,0,-7.468174199304633,-3.676918016603972,-9.550745258056494,0.9653757037941462,-0.11734881430398432,0.23297855331640774
5.999999848427251e-05,4.019153553395618e-09,1.417407853212402e-07,-4.672958425609696e-08,1.4929922258175136e-07,1.1955242866613716e-06,5.820011234960559e-05,-2.0526339452384038e-05,6.172530248723944e-05,1.4924511472148617e-07,6.171372366679238e-05,-1.4901593470284524e-07,49.76640719573708,3.5302078596182724,199.4294536972212,190.23937810905934,0,0,-7.468174197113397,-3.6769180168834827,-9.550745257511156,0.9655024754139132,-0.11704364222851733,0.2326064396861976
7.000000186963007e-05,4.019153553395618e-09,1.417407853212402e-07,-4.672958425609696e-08,1.4929922258175136e-07,1.6076479531017556e-06,7.869423878031338e-05,-2.7602192085420274e-05,8.341012382843301e-05,1.4924511472148617e-07,8.339462947416587e-05,-1.4435651873867528e-07,49.76640719573708,3.504585403578053,199.87037800051232,190.7480539607715,0,0,-7.468174194523583,-3.6769180172134033,-9.550745256867165,0.9656290078540071,-0.11673844116494025,0.23223426867124053
7.999999797903001e-05,4.019153553395618e-09,1.417407853212402e-07,-4.672958425609696e-08,1.4929922258175136e-07,2.0745140618708264e-06,0.00010210919520666212,-3.5617887408122884e-05,0.00010816295695737451,1.4924511472148617e-07,0.00010814306103107101,-1.4680095539176818e-07,49.76640719573708,3.479007881303202,200.31131686539365,191.25672086173483,0,0,-7.468174191535141,-3.6769180175936085,-9.550745256124674,0.9657553011913133,-0.11643321118877287,0.23186203991414045
9.000000136438757e-05,4.019153553395618e-09,1.417407853212402e-07,-4.672958425609696e-08,1.4929922258175136e-07,2.5938921587616952e-06,0.00012838276454162103,-4.4535086158802145e-05,0.00013591260576948896,1.4924511472148617e-07,0.0001358878512984926,-1.4924560698403866e-07,49.76640719573708,3.453476297100943,200.75226978798105,191.76537815512214,0,0,-7.468174188148018,-3.676918018023972,-9.55074525528384,0.9658813553403974,-0.11612795237564337,0.23148975373186015
9.999999747378752e-05,4.019153553395618e-09,1.417407853212402e-07,-4.672958425609696e-08,1.4929922258175136e-07,3.163574203126808e-06,0.0001574522665550878,-5.4315807270306e-05,0.0001665876086763302,1.4924511472148617e-07,0.00016655756711347417,-1.4458547159534874e-07,49.76640719573708,3.4279916830314057,201.19323626351883,192.27402518269642,0,0,-7.468174184362161,-3.6769180185043666,-9.550745254344813,0.9660071702162324,-0.11582266480120795,0.23111741044147777
0.00011000000085914508,2.2242010221403806e-08,8.234549853801624e-07,-2.532703216795804e-07,8.618112762141202e-07,3.7813774011032186e-06,0.0001892546684855004,-6.492246625185307e-05,0.00020011635361166574,8.61524212539103e-07,0.00020008062416880767,-0.028731473627221504,287.26778113227914,3.28033469374455,203.76470737110813,195.23195524226307,0,0,-7.46817519025993,-3.6769204995075837,-9.550742380445998,0.9667254084364562,-0.11401514515307866,0.22900334355438917
0.00011999999696854502,2.224200596058905e-08,8.234549020309661e-07,-2.5327051290525105e-07,8.618112526622449e-07,4.44514104380349e-06,0.000223726384835877,-7.631780851089056e-05,0.00023642686490019528,8.615241890893818e-07,0.00023638507391042247,-0.028731409304956657,287.26778113228556,3.1343633621859954,206.33688061107404,198.18978401248864,0,0,-7.468176193114036,-3.676923007164784,-9.550739474343716,0.9674356689800596,-0.11220668491146325,0.22688738670601372
0.00013000000035390258,2.224201349450837e-08,8.234548654819457e-07,-2.5327067410090243e-07,8.618112653067982e-07,5.152730118856375e-06,0.0002608034161824096,-8.846495672468065e-05,0.0002754469478654511,8.615242015436449e-07,0.00027539874811028964,-0.028731464429277764,287.26778113228005,2.9903245569167614,208.80394575785743,201.03016374445494,0,0,-7.468177182647454,-3.6769255164038226,-9.550736565070709,0.9681379461440686,-0.11039729943612403,0.22476955646429445
0.00014000000373926014,2.2242024496870866e-08,8.234548284350096e-07,-2.532708358828613e-07,8.618112777374485e-07,5.902032352062986e-06,0.00030042114212872523,-0.00010132734308651645,0.00031710396888210834,8.615242136943885e-07,0.0003170490389433476,-0.028731485043913096,287.267781132278,2.848511510293198,211.0832218347274,203.6547347963592,0,0,-7.468178158850182,-3.6769280271999163,-9.550733652656762,0.968832233768534,-0.10858700411008819,0.2226498716583249
