time_s,displacement_mm,v_s_mm_s,max_backtrack_mm,stable_dt_s
  5.0481630183E-04,  3.6414535649E-05,  2.6706486178E-01,  0.0000000000E+00,  1.8660130581E-07
  5.1489277667E-04,  3.9176420907E-05,  2.8118443631E-01,  0.0000000000E+00,  1.8660146187E-07
  5.2496925971E-04,  4.2082469012E-05,  2.9567780474E-01,  0.0000000000E+00,  1.8660159225E-07
  5.3504574892E-04,  4.5136565458E-05,  3.1056650850E-01,  0.0000000000E+00,  1.8660169792E-07
  5.4511414563E-04,  4.8340042855E-05,  3.2583153844E-01,  0.0000000000E+00,  1.8643324448E-07
  5.5519716914E-04,  5.1703997781E-05,  3.4150545635E-01,  0.0000000000E+00,  1.8673999562E-07
  5.6528114587E-04,  5.5228382657E-05,  3.5756712374E-01,  0.0000000000E+00,  1.8674059442E-07
  5.7535826017E-04,  5.8914157994E-05,  3.7398902435E-01,  0.0000000000E+00,  1.8657246596E-07
  5.8543319892E-04,  6.2766288916E-05,  3.9078183732E-01,  0.0000000000E+00,  1.8657338999E-07
  5.9550818520E-04,  6.6789659456E-05,  4.0796340433E-01,  0.0000000000E+00,  1.8657420887E-07
  6.0557576604E-04,  7.0991613889E-05,  4.2675427505E-01,  0.0000000000E+00,  1.8640589324E-07
  6.1564171396E-04,  7.5373118774E-05,  4.4437360025E-01,  0.0000000000E+00,  1.8640693158E-07
  6.2570381068E-04,  7.9934097207E-05,  4.6256100050E-01,  0.0000000000E+00,  1.8623825238E-07
  6.3576623116E-04,  8.4680460678E-05,  4.8108749798E-01,  0.0000000000E+00,  1.8654627547E-07
  6.4583689083E-04,  8.9620331202E-05,  4.9993389865E-01,  0.0000000000E+00,  1.8637837775E-07
  6.5590137892E-04,  9.4749602687E-05,  5.1929372540E-01,  0.0000000000E+00,  1.8638020420E-07
  6.6596223199E-04,  1.0007355676E-04,  5.3910472456E-01,  0.0000000000E+00,  1.8621253756E-07
  6.7601776521E-04,  1.0559427201E-04,  5.5911633186E-01,  0.0000000000E+00,  1.8621443801E-07
  6.8606744523E-04,  1.1131454206E-04,  5.7941294270E-01,  0.0000000000E+00,  1.8604640564E-07
  6.9612012043E-04,  1.1724268507E-04,  6.0006627500E-01,  0.0000000000E+00,  1.8618690899E-07
  7.0617429020E-04,  1.2338497077E-04,  6.2195296414E-01,  0.0000000000E+00,  1.8618960455E-07
  7.1622480196E-04,  1.2974356104E-04,  6.4330808379E-01,  0.0000000000E+00,  1.8634074355E-07
  7.2628416724E-04,  1.3632277744E-04,  6.6409794097E-01,  0.0000000000E+00,  1.8603908959E-07
  7.3633223028E-04,  1.4308594319E-04,  6.8395045537E-01,  0.0000000000E+00,  1.8634827035E-07
  7.4639657952E-04,  1.5008137684E-04,  7.0623852161E-01,  0.0000000000E+00,  1.8641791603E-07
  7.5646133500E-04,  1.5730269850E-04,  7.2876744146E-01,  0.0000000000E+00,  1.8632356190E-07
  7.6652069838E-04,  1.6474835080E-04,  7.5159106952E-01,  0.0000000000E+00,  1.8615716297E-07
  7.7657659776E-04,  1.7242109214E-04,  7.7438585915E-01,  0.0000000000E+00,  1.8598894560E-07
  7.8663562860E-04,  1.8032704582E-04,  7.9748771843E-01,  0.0000000000E+00,  1.8646190129E-07
  7.9669594225E-04,  1.8846673397E-04,  8.1945979761E-01,  0.0000000000E+00,  1.8629362860E-07
  8.0674774310E-04,  1.9682262785E-04,  8.4330253735E-01,  0.0000000000E+00,  1.8612297297E-07
  8.1679127718E-04,  2.0541480306E-04,  8.6760271457E-01,  0.0000000000E+00,  1.8626050284E-07
  8.2684296630E-04,  2.1425735636E-04,  8.9180606234E-01,  0.0000000000E+00,  1.8621188292E-07
  8.3689051294E-04,  2.2334214261E-04,  9.1701267710E-01,  0.0000000000E+00,  1.8604604102E-07
  8.4694170517E-04,  2.3269596213E-04,  9.4321787787E-01,  0.0000000000E+00,  1.8603115278E-07
  8.5699974972E-04,  2.4230481632E-04,  9.6800863455E-01,  0.0000000000E+00,  1.8617543582E-07
  8.6705459106E-04,  2.5216429593E-04,  9.9307021589E-01,  0.0000000000E+00,  1.8616928648E-07
  8.7710300900E-04,  2.6226950227E-04,  1.0184647293E+00,  0.0000000000E+00,  1.8600713295E-07
  8.8715728134E-04,  2.7263449392E-04,  1.0433645678E+00,  0.0000000000E+00,  1.8615564061E-07
  8.9720639073E-04,  2.8325030191E-04,  1.0692980262E+00,  0.0000000000E+00,  1.8607940673E-07
  9.0725492877E-04,  2.9412686168E-04,  1.0956951135E+00,  0.0000000000E+00,  1.8622067815E-07
  9.1730391328E-04,  3.0526497855E-04,  1.1207234325E+00,  0.0000000000E+00,  1.8587855359E-07
  9.2734563414E-04,  3.1665140531E-04,  1.1472783906E+00,  0.0000000000E+00,  1.8602558201E-07
  9.3739692445E-04,  3.2830237303E-04,  1.1719410554E+00,  0.0000000000E+00,  1.8616492156E-07
  9.4744404956E-04,  3.3998318572E-04,  1.1652967525E+00,  0.0000000000E+00,  1.8617941083E-07
  9.5749780827E-04,  3.5182854442E-04,  1.1903554126E+00,  0.0000000000E+00,  1.8618179697E-07
  9.6755125585E-04,  3.6397537589E-04,  1.2436016346E+00,  0.0000000000E+00,  1.8618166052E-07
  9.7760277365E-04,  3.7634900616E-04,  1.2377660524E+00,  0.0000000000E+00,  1.8618688396E-07
  9.8765390680E-04,  3.8891215554E-04,  1.2605341933E+00,  0.0000000000E+00,  1.8596861757E-07
  9.9769192513E-04,  4.0169837985E-04,  1.2899147679E+00,  0.0000000000E+00,  1.8587861130E-07
  1.0077303924E-03,  4.1476655967E-04,  1.3138648196E+00,  0.0000000000E+00,  1.8618847386E-07
