561 361 -70 0.25 0 1
0.00000000000000000e+00 -9.83477360305028636e-01 7.37867366733322011e-02 -1.65311219397091036e-01
1.00000000000000000e+00 -9.83834329319597245e-01 6.95430716340833116e-02 -1.65026584646095598e-01
2.00000000000000000e+00 -9.84171157630556626e-01 6.52983546195073927e-02 -1.64752108854833990e-01
3.00000000000000000e+00 -9.84487760881959550e-01 6.10539498568144767e-02 -1.64487883689065251e-01
4.00000000000000000e+00 -9.84784077146739323e-01 5.68112224153908552e-02 -1.64233998934185527e-01
5.00000000000000000e+00 -9.85060066909151821e-01 5.25715375989456030e-02 -1.63990542457239818e-01
6.00000000000000000e+00 -9.85315713019329298e-01 4.83362603371887967e-02 -1.63757600171185708e-01
7.00000000000000000e+00 -9.85551020620023421e-01 4.41067545777335465e-02 -1.63535256001418716e-01
8.00000000000000000e+00 -9.85766017045651699e-01 3.98843826789119019e-02 -1.63323591854558525e-01
9.00000000000000000e+00 -9.85960751693797599e-01 3.56705048041915523e-02 -1.63122687589482118e-01
1.00000000000000000e+01 -9.86135295869358663e-01 3.14664783188752933e-02 -1.62932620990581006e-01
1.10000000000000000e+01 -9.86289742601562769e-01 2.72736571897587397e-02 -1.62753467743205454e-01
1.20000000000000000e+01 -9.86424206434125539e-01 2.30933913884145657e-02 -1.62585301411250938e-01
1.30000000000000000e+01 -9.86538823188845226e-01 1.89270262987620320e-02 -1.62428193416828653e-01
1.40000000000000000e+01 -9.86633749702975904e-01 1.47759021295700097e-02 -1.62282213021954141e-01
1.50000000000000000e+01 -9.86709163540754441e-01 1.06413533325299837e-02 -1.62147427312174991e-01
1.60000000000000000e+01 -9.86765262679487165e-01 6.52470802652207246e-03 -1.62023901182051705e-01
1.70000000000000000e+01 -9.86802265170646731e-01 2.42728742868259960e-03 -1.61911697322395493e-01
1.80000000000000000e+01 -9.86820408776453717e-01 -1.64959470713439867e-03 -1.61810876209156546e-01
1.90000000000000000e+01 -9.86819950582457750e-01 -5.70463264392629277e-03 -1.61721496093850642e-01
2.00000000000000000e+01 -9.86801166586664391e-01 -9.73652920658497900e-03 -1.61643612995402114e-01
2.10000000000000000e+01 -9.86764351265782769e-01 -1.37439963178764262e-02 -1.61577280693273484e-01
2.20000000000000000e+01 -9.86709817119204580e-01 -1.77257555248403788e-02 -1.61522550721747676e-01
2.30000000000000000e+01 -9.86637894191351617e-01 -2.16805385151160185e-02 -1.61479472365219701e-01
2.40000000000000000e+01 -9.86548929573061839e-01 -2.56070876227214098e-02 -1.61448092654351144e-01
2.50000000000000000e+01 -9.86443286882706771e-01 -2.95041563228395955e-02 -1.61428456362933681e-01
2.60000000000000000e+01 -9.86321345727764309e-01 -3.33705097151884983e-02 -1.61420606005306222e-01
2.70000000000000000e+01 -9.86183501147600228e-01 -3.72049249955777248e-02 -1.61424581834164194e-01
2.80000000000000000e+01 -9.86030163038222107e-01 -4.10061919152822085e-02 -1.61440421838596609e-01
2.90000000000000000e+01 -9.85861755559815589e-01 -4.47731132278895022e-02 -1.61468161742186561e-01
3.00000000000000000e+01 -9.85678716527870979e-01 -4.85045051233063268e-02 -1.61507835001005046e-01
3.10000000000000000e+01 -9.85481496788749523e-01 -5.21991976486383888e-02 -1.61559472801331011e-01
3.20000000000000000e+01 -9.85270559580544103e-01 -5.58560351156862991e-02 -1.61623104056927619e-01
3.30000000000000000e+01 -9.85046379880116785e-01 -5.94738764948311849e-02 -1.61698755405706079e-01
3.40000000000000000e+01 -9.84809443737205803e-01 -6.30515957951130052e-02 -1.61786451205609000e-01
3.50000000000000000e+01 -9.84560247596517946e-01 -6.65880824303349966e-02 -1.61886213529548018e-01
3.60000000000000000e+01 -9.84299297608725143e-01 -7.00822415710595226e-02 -1.61998062159231043e-01
3.70000000000000000e+01 -9.84027108931311179e-01 -7.35329944823892578e-02 -1.62122014577720019e-01
3.80000000000000000e+01 -9.83744205020211315e-01 -7.69392788474619199e-02 -1.62258085960561377e-01
3.90000000000000000e+01 -9.83451116913208856e-01 -8.03000490766141578e-02 -1.62406289165338169e-01
4.00000000000000000e+01 -9.83148382506052854e-01 -8.36142766022039408e-02 -1.62566634719496228e-01
4.10000000000000000e+01 -9.82836545822274199e-01 -8.68809501591095851e-02 -1.62739130806303589e-01
4.20000000000000000e+01 -9.82516156277676411e-01 -9.00990760509551708e-02 -1.62923783248807963e-01
