cycle,end_time_s,delta_s_mm,end_v_s_mm_s
1,  1.0000000000E-02,  9.2334298284E-02,  1.5333528196E+01
2,  2.0000000000E-02,  1.3990967051E-01,  4.3175729359E+00
3,  3.0000000000E-02,  1.3300429267E-02,  2.4621064154E+00
4,  4.0000000000E-02, -5.6468209152E-01, -9.3719278968E+01
