end,episode,start_ms,end_ms,duration_ms,impact_wall_normal_velocity_mm_s,post_contact_separation_velocity_mm_s,R_v,minimum_gap_mm,peak_normal_force_N,peak_tangential_force_N,peak_abs_axial_contact_force_N,reopen_time_ms,rocking_at_impact_deg
TAIL,1,1.890184823423624,1.9101847428828478,0.029999762773513794,-338.4263378691113,162.85035157134126,0.4811988115249019,-0.0009894929075969783,0.0903837579288548,0.0017997632597086463,0.0017661516167303912,1.9201845861971378,13.203774596938754
TAIL,2,5.030159838497639,5.050159525126219,0.02999952994287014,-327.20791316529886,80.00325279300348,0.24450280562923749,-0.0017572778416273804,0.07205170394493761,0.0018790685966089318,0.000285845752736194,5.0601596012711525,-5.7305424048117555
TAIL,3,5.670154467225075,5.690154619514942,0.029999995604157448,-111.57737546260199,26.31109608677093,0.23581031528734753,-0.0006114323421968493,0.025561448936680446,0.0006538054630752528,0.0002372645062867658,5.700154229998589,-9.566080630582537
TAIL,4,6.070151459425688,6.100151222199202,0.03999960608780384,-43.844392917214016,121.4855598775257,2.770834576428324,-0.0002525079168522737,0.012610088100505812,0.0002700115613724914,0.00015779314326171644,6.110151298344135,-11.617675306166976
TAIL,5,9.27012600004673,9.290125221014023,0.029999064281582832,-424.424192007415,108.58751099237168,0.2558466577477152,-0.002084046398305839,0.11684489046189889,0.002228490235579372,0.0008933256344468739,9.300125762820244,5.687464027246993
TAIL,6,9.94012039154768,9.970120154321194,0.03999960608780384,-91.79212055985388,69.46081365437817,0.7567186947063241,0.00011388852866167642,0.025071055938180858,0.0005492479657721224,0.00027412659537793296,9.98011976480484,10.773332124370686
TAIL,7,13.02009541541338,13.07009533047676,0.05999975837767124,-221.85582790387934,102.67659193134897,0.4628077292422282,-0.007037297835994383,0.06055036389927868,0.0008887240566319059,6.852260556213541e-05,13.080094940960407,-1.7772729804475629
TAIL,8,13.530091382563114,13.550091534852982,0.029999995604157448,-61.31896170289753,12.79110303235153,0.2085994719598637,-0.0003347497240435704,0.013747616383826359,0.00035794342413950216,6.860840623591346e-05,13.560091145336628,-8.591471280885775
TAIL,9,13.710089959204197,13.730090111494064,0.029999995604157448,-30.60132058919697,7.703571979380538,0.2517398540669546,-0.0001751537469604214,0.009326874387885518,0.00018729774482643648,2.2990521947166035e-05,13.74008972197771,-9.308430431302101
TAIL,10,13.870089314877987,14.270085841417313,0.40999636985361576,-5.808158167169075,6.509985164219607,1.1208346909382818,-0.00036797531686494356,0.011265483621070911,0.00017182938750697532,2.549320596351411e-05,14.280085451900959,-9.653802401347132
TAIL,11,14.390084892511368,14.690082520246506,0.309997471049428,-5.659654400289973,8.4270037671176,1.4889608394968148,-0.0003018090134140339,0.007282420476600155,0.00016136718419190287,2.6657602969277477e-05,14.700082130730152,-11.008924073478296
TAIL,12,14.870081096887589,14.890081249177456,0.029999995604157448,-6.718828667892177,1.1576212039870502,0.17229509207744356,-4.305787337499645e-05,0.0021437989745924507,4.6035680009140694e-05,8.204629865338846e-06,14.900080859661102,-12.129467872635088
TAIL,13,14.930080622434616,15.16007911413908,0.239998335018754,-0.7883500082594751,46.54633223314886,59.04272435528249,-0.0003001172014999165,0.007413065707147146,0.00016045567645889193,2.2064849839945795e-05,15.170078724622726,-12.257486010153745
