time_s,rocking_deg,delta_s_mm,HEAD_gap_mm,TAIL_gap_mm,HEAD_contact,TAIL_contact,HEAD_normal_force_N,TAIL_normal_force_N,HEAD_tangential_force_N,TAIL_tangential_force_N,HEAD_axial_force_N,TAIL_axial_force_N
0.0,3.583314024814096e-15,0.0,0.26551472971452666,0.2450673464662695,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0199918506259564e-05,3.273031279299609e-10,2.0416762461029546e-10,0.26551472974819196,0.24506734643280803,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2.0199839127599262e-05,1.069521383309031e-08,8.148217621368516e-10,0.2655147303412124,0.24506734603246816,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3.0199758839444257e-05,8.013038818569561e-08,1.8494780906132302e-09,0.26551473335791304,0.24506734485556647,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4.019967673229985e-05,3.339866423049076e-07,3.3358127654831278e-09,0.26551474273431663,0.24506734320229456,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5.019960008212365e-05,1.0102391001542564e-06,5.310530925356519e-09,0.26551476517367956,0.24506734286783527,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6.019951979396865e-05,2.4946995832490432e-06,7.818261894862585e-09,0.2655148108206233,0.24506734765489568,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7.019943586783484e-05,5.355172490225929e-06,1.0910481653812292e-08,0.2655148939143772,0.2450673620736692,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8.019935921765864e-05,1.0374572436995196e-05,1.4644457255625948e-08,0.2655150334220055,0.24506739568268132,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9.019927529152483e-05,1.858282585886881e-05,1.908222140955245e-08,0.2655152536466495,0.24506746107729693,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.00010019919864134863,3.128795549967832e-05,2.4289569937767606e-08,0.26551558482139975,0.24506757508752702,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.00011019912199117243,5.0105650058384755e-05,3.033509595744506e-08,0.2655160636711472,0.24506775931886438,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.00012019903806503862,7.698822701844316e-05,3.7289234072277995e-08,0.26551673396481457,0.24506804067950488,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0001301989541389048,0.0001142520363654464,4.522334086563577e-08,0.2655176470350859,0.24506845188286713,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.00014019888476468623,0.0001646039399079173,5.420881602573112e-08,0.2655188622806393,0.24506903193315221,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015019880083855242,0.00023116697966188006,6.431622123975777e-08,0.2655204476535343,0.24506982659535365,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0001601987169124186,0.00031750381009811886,7.561445148931776e-08,0.2655224800994758,0.24507088883052758,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0001701986329862848,0.00042764092306838043,8.816992840031835e-08,0.2655250460188658,0.24507227923809188,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0001801985636120662,0.00056608916386479,1.0204582493894716e-07,0.26552824164809047,0.24507406644261132,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0001901984796859324,0.0007378658267106396,1.173012985452751e-07,0.2655321734794273,0.24507632749822866,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.00020019839575979859,0.0009485131417572428,1.3399076731427598e-07,0.26553695860412974,0.24507914823808524,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.00021019831183366477,0.0012041171202224299,1.5216327706683988e-07,0.26554272506519044,0.245082623626726,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0002201982424594462,0.0015113251629821163,1.7186171884760495e-07,0.26554961218667567,0.24508685808992792,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.00023019815853331238,0.0018773603321329247,1.931223440638021e-07,0.2655577708334035,0.24509196579196418,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.00024019807460717857,0.0023100394277718915,2.1597401648408264e-07,0.26556736375428686,0.24509807096784875,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.00025019800523296,0.0028177816660979824,2.4043779074057724e-07,0.26557856572808286,0.2451053081088458,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.00026019790675491095,0.003409626462127891,2.6652621465269423e-07,0.2655915639023966,0.24511382228845113,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.00027019783738069236,0.004095239728182402,2.942429734043827e-07,0.26560655789595833,0.24512376930286123,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0002801977680064738,0.004884926428927956,3.2358230770967326e-07,0.2656237600299265,0.24513531591322124,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.00029019766952842474,0.0057896388344370634,3.54528576817303e-07,0.2656433954750654,0.24514864001262032,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.00030019760015420616,0.006820981965674225,3.870560025678689e-07,0.2656657023366728,0.24516393075455778,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0003101975307799876,0.00799122270325791,4.2112803775765433e-07,0.2656909318272294,0.24518138872430312,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.00032019743230193853,0.009313289916922384,4.566972256169705e-07,0.26571934824626225,0.2452012259773424,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.00033019736292771995,0.010800783114489293,4.93704813068412e-07,0.2657512291366768,0.24522366621373076,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0003401972644496709,0.012467971177356398,5.320805331955827e-07,0.26578686524737144,0.24524894478062403,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.00035019719507545233,0.014329791328606378,5.717423412917749e-07,0.26582656049364645,0.24527730868732806,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.00036019712570123374,0.01640185618873235,6.125960718882272e-07,0.2658706320904761,0.24530901674576244,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0003701970272231847,0.01870043955527202,6.545356865268851e-07,0.2659194102537181,0.24534433935740796,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0003801969578489661,0.02124248765286677,6.974425343131366e-07,0.26597323841522474,0.24538355873021028,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.00039019688847474754,0.02404560073471642,7.411859160016618e-07,0.2660324728357663,0.24542696860497903,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0004001967899966985,0.027128036348189433,7.856225225200811e-07,0.2660974826798545,0.24547487431127246,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0004101967206224799,0.03050869710867424,8.305967731892945e-07,0.2661686497518731,0.2455275926041216,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.00042019665124826133,0.034207126985118415,8.759405655943699e-07,0.266246368409445,0.245585451633616,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0004301965527702123,0.03824349575709858,9.214735307879952e-07,0.2663310452700416,0.24564879067828183,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0004401964833959937,0.04263858895042769,9.67003120908174e-07,0.2664230989843108,0.24571796002960095,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.00045019638491794467,0.04741380060129435,1.012324551583333e-06,0.2665229600935516,0.24579332088949402,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0004601963155437261,0.052591102956345295,1.057221497896213e-06,0.26663107045441214,0.24587524484014456,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0004701962461695075,0.05819306040154156,1.1014655043578528e-06,0.2667478834616837,0.24596411418452097,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.00048019614769145846,0.06424277654640534,1.1448171421637947e-06,0.26687386305704847,0.24606032098682895,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0004901961074210703,0.07076390891090523,1.1870255786961813e-06,0.26700948396676233,0.24616426742857622,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0005001960089430213,0.07778062824543605,1.2278292819572213e-06,0.2671552309444683,0.2462763650784724,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0005101959104649723,0.08531760097632252,1.266956663353795e-06,0.26731159842022484,0.24639703462979295,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0005201958119869232,0.09339997698776857,1.3041255597167616e-06,0.26747909023590455,0.2465267057599933,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0005301957717165351,0.10205334838918638,1.3390450574340121e-06,0.26765821884191787,0.24666581644153096,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.000540195673238486,0.11130375725569308,1.3714147052486743e-06,0.26784950553078335,0.24681481301878072,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.000550195574760437,0.12117762367439455,1.4009258018838993e-06,0.26805347888889103,0.24697414916765303,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0005601955344900489,0.13170175582844995,1.4272617673118741e-06,0.2682706751616638,0.24714428590668686,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0005701954360119998,0.1429033234449953,1.4500987398988634e-06,0.26821515623712044,0.24732569136467203,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0005801953375339508,0.15480977451534603,1.4691063112269593e-06,0.26795221459812096,0.24751883920583345,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0005901952972635627,0.1674488851524852,1.4839480969221792e-06,0.267673946676509,0.24772420961335312,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0006001951987855136,0.1808486499744727,1.4942826299335034e-06,0.2673798099908222,0.24794228744786023,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0006101951003074646,0.1950373259818686,1.4997637797285775e-06,0.2670692587582584,0.2481735629625325,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0006201950600370765,0.2100433278080127,1.500041959932662e-06,0.26674174624695474,0.2484185301384116,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0006301949615590274,0.22589523846354304,1.4947645531032098e-06,0.2663967243656586,0.2486776867966145,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0006401948630809784,0.24262174710908424,1.483577221534886e-06,0.2660336448669269,0.24895153354473626,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0006501948228105903,0.2602516100216508,1.4661239895992097e-06,0.2656519603814075,0.24924057321919213,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0006601947243325412,0.2788136852169779,1.4420494575335796e-06,0.26525112390612426,0.24953572203663704,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0006701946258544922,0.2983367510786276,1.4109981813687018e-06,0.26483059191050295,0.2497926127807108,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0006801945855841041,0.3188496211203084,1.3726166740394564e-06,0.2643898223921393,0.2500635968208707,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.000690194487106055,0.340380955251428,1.3265541095360982e-06,0.26392827868029706,0.25034912911721696,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.000700194388628006,0.36295939025080814,1.2724632561896462e-06,0.2634454269186524,0.25064966637928876,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0007101942901499569,0.3866133575026527,1.2100013495307824e-06,0.2629407393850693,0.25096566402672077,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0007201942498795688,0.41137104985075273,1.1388314250750198e-06,0.26241369549378596,0.25129757603248953,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0007301941514015198,0.43726047730063944,1.0586228717919925e-06,0.2618637803408838,0.2516458553935891,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0007401940529234707,0.46430932546692527,9.690537457764732e-07,0.26129048813271166,0.2520109526327739,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0007501940126530826,0.49254499148004977,8.69809076575881e-07,0.2606933206260259,0.25238339679984634,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0007601939141750336,0.5219943843243602,7.605853771150217e-07,0.2600717918737964,0.25266695318399063,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0007701938156969845,0.5526841466411857,6.410890498174514e-07,0.2594254231273591,0.25296439721536274,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0007801937754265964,0.5846403530885166,5.110385975194025e-07,0.2587537498271757,0.2532760956395371,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0007901936769485474,0.6178886213224418,3.701652258448745e-07,0.25805631787422384,0.25360241085101953,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0008001935784704983,0.6524539997816091,2.1821510598858998e-07,0.25733268744190546,0.25388745626831494,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0008101935382001102,0.6883608573836774,5.4947481632075335e-08,0.25658243395885155,0.2540815777309097,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0008201934397220612,0.7256331119346362,-1.198606617362665e-07,0.25580514412674726,0.25428575289473226,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0008301933412440121,0.7642937787655427,-3.064162173688912e-07,0.2550004244945164,0.2540943745562292,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.000840193300973624,0.8043652490040517,-5.049088401176273e-07,0.2541678967811362,0.25389326130242407,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.000850193202495575,0.8458691824370944,-7.155080484992018e-07,0.2533071983928854,0.25333674755986413,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0008601931040175259,0.8888262998985584,-9.383636291326562e-07,0.25241798779206,0.2525160585762408,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0008701930637471378,0.9332565674291373,-1.1736061337263418e-06,0.25149994088614946,0.25167074893405034,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0008801929652690887,0.9791789134129859,-1.421343618864948e-06,0.2505527552722433,0.2506993151663523,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0008901928667910397,1.0266115190999954,-1.6816629973211033e-06,0.24957614572351305,0.24968202812902357,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0009001928265206516,1.0755713478722264,-1.9546263338816745e-06,0.2485698530508646,0.24863489600158356,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0009101927280426025,1.126074534986169,-2.240273654023525e-06,0.24753363522133748,0.24755771000761517,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0009201926295645535,1.1781358652628846,-2.5386190829754754e-06,0.2464672801026711,0.24645029283107978,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0009301925310865045,1.231769451014615,-2.8496540025051474e-06,0.2453705895253453,0.24531248080499973,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0009401924908161163,1.2869878573000455,-3.1733423356563172e-06,0.24424339799317135,0.24414414358195435,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0009501923923380673,1.3438025535173266,-3.509623176916426e-06,0.24308556234906042,0.2429451726907227,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0009601922938600183,1.4022240795583547,-3.858408604359778e-06,0.24189695976425546,0.24171548086281924,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0009701922535896301,1.4622612425349395,-4.2195819578164626e-06,0.24067750308263763,0.24045501645201156,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.000980192213319242,1.5239218355171942,-4.593005437580956e-06,0.23942712506860608,0.23916374696167098,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.000990192056633532,1.587212420577016,-4.978506674275781e-06,0.23814578580259282,0.23784166867042017,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.001000192016363144,1.652138035882337,-5.3758907875823515e-06,0.236833474832499,0.23642230774507694,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010101919760927558,1.71870248459028,-5.784934409901818e-06,0.2354902070377592,0.23494991731392012,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010201918194070458,1.7869084803373108,-6.2053898242866125e-06,0.23411601981665991,0.2334436315969557,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010301917791366577,1.8567585997536642,-6.636993316050042e-06,0.23271095531491492,0.23190349671263183,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010401916224509478,1.928254679958939,-7.079465105572611e-06,0.23127506973316347,0.23032957408068444,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010501915821805596,2.0013982080891153,-7.532503066987078e-06,0.22980842819315261,0.22872193498944032,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010601915419101715,2.0761906572273694,-7.995789967908608e-06,0.2283110973123318,0.22708065243222375,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010701913852244616,2.1526322216641796,-8.468994150503916e-06,0.2267831688198495,0.22540582676090642,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010801913449540734,2.2307234845907127,-8.951762013167455e-06,0.22522472946938182,0.2236975530897975,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010901913046836853,2.3104641808628767,-9.443727159776738e-06,0.22363588231792292,0.22195594433691324,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0011001911479979753,2.391853799629247,-9.944501845235601e-06,0.2220167374865225,0.2201811212308331,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0011101911077275872,2.4748909957171197,-1.0453681954539276e-05,0.2203674204132572,0.2183732211433212,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.001120191067457199,2.5595745708641147,-1.0970853907222761e-05,0.21868805724387175,0.2165323825612923,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0011301909107714891,2.6459027181147223,-1.1495577645241912e-05,0.21697878629256184,0.21465875704441523,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.001140190870501101,2.7338727492361983,-1.2027399546019672e-05,0.21523976173119325,0.21275251371248677,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0011501908302307129,2.8234821607245797,-1.2565857815215739e-05,0.21347113876183038,0.21081382276362282,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.001160190673545003,2.9147276026399487,-1.3110461440052425e-05,0.21167308712730104,0.20884287044234157,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0011701906332746148,3.0076054984155265,-1.3660717608203284e-05,0.20984578253172315,0.20683984948498696,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0011801905930042267,3.1021118079306924,-1.4216107648267176e-05,0.20798941221179407,0.20480496533952147,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0011901904363185167,3.198241853114359,-1.4776099726785517e-05,0.20610417424507294,0.20273843536299369,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0012001903960481286,3.295990730489405,-1.5340153009879685e-05,0.20419027332752887,0.20064048417172237,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0012101903557777405,3.3953530906698774,-1.590770155945933e-05,0.20224792381214263,0.1985113470359961,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0012201901990920305,3.496323147231419,-1.6478177172845158e-05,0.2002773488211772,0.19635126882427273,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0012301901588216424,3.5988944589939162,-1.7050989097557928e-05,0.19827878473253457,0.1941605089984461,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0012401901185512543,3.7030605649850554,-1.7625537213157817e-05,0.1962524692714202,0.19193932861423624,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0012501899618655443,3.8088141508825157,-1.8201201966356654e-05,0.19419865693020305,0.18968800698586402,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0012601899215951562,3.916147445720165,-1.8777353970865534e-05,0.19211761185643506,0.18740683409717734,0,0,0.0,0.0,0.0,0.0,0.0,0.0
