sample_index,min_gap_um,HEAD_gap_um,TAIL_gap_um,nearest_wall_sector_deg,time_s
0,261.50874541888106,473.8091955478018,261.50874541888106,254.0130141202224,0.0
200,261.5088073893338,473.8092495037025,261.5088073893338,254.0130141202224,1.9999959476990625e-05
400,261.50973050424204,473.8100520224667,261.50973050424204,254.0130141202224,3.999991895398125e-05
600,261.51369955602183,473.8134968268711,261.51369955602183,254.0130141202224,5.9999878430971876e-05
800,261.5242985239022,473.8226801681977,261.5242985239022,254.0130141202224,7.99998379079625e-05
1000,261.5464606026034,473.841849341944,261.5464606026034,254.0130141202224,9.999980102293193e-05
1200,261.5864174513304,473.8763511906097,261.5864174513304,254.0130141202224,0.00011999975686194375
1400,261.6516476130526,473.932580677869,261.6516476130526,254.0130141202224,0.00013999971270095557
1600,261.750824066858,474.0179296114911,261.750824066858,254.0130141202224,0.000159999675815925
1800,261.8937609622968,474.1407357418109,261.8937609622968,254.0130141202224,0.00017999963893089443
2000,262.09135919664897,474.3102320823424,262.09135919664897,254.0130141202224,0.00019999960204586387
2200,262.3555513021957,474.53649700785786,262.3555513021957,254.0130141202224,0.00021999955060891807
2400,262.6992450629416,474.83040475797134,262.6992450629416,254.0130141202224,0.0002399995137238875
2600,263.1362659116795,475.2035768610806,263.1362659116795,254.0130141202224,0.00025999947683885694
2800,263.681298854222,475.66833445170806,263.681298854222,254.0130141202224,0.00027999942540191114
3000,264.34982802582914,476.23765127069856,264.34982802582914,254.0130141202224,0.0002999994030687958
3200,265.1580762532876,476.92510805374087,265.1580762532876,254.0130141202224,0.00031999935163185
3400,266.12294230461066,477.7448478787217,266.12294230461066,254.0130141202224,0.00033999932929873466
3600,267.26193751146394,478.71153197935905,267.26193751146394,254.0130141202224,0.00035999927786178887
3800,268.5931197464441,479.8402978378086,268.5931197464441,254.0130141202224,0.00037999922642484307
4000,270.13502835811204,481.14671693685517,270.13502835811204,254.0130141202224,0.00039999920409172773
4200,271.9066122275712,482.64675301947443,271.9066122275712,254.0130141202224,0.00041999915265478194
4400,273.9271631776474,484.35672332436405,273.9271631776474,254.0130141202224,0.00043999910121783614
4600,275.9196034320741,486.29325695797235,276.2162413176839,253.83741249881763,0.0004599990788847208
4800,277.9975658356489,488.4732550284149,278.7936008586822,253.83741249881763,0.000479999027447775
5000,280.3247766007055,490.9138512780715,281.67911443225034,253.83741249881763,0.0004999989760108292
5200,282.9175718305999,493.6323681738107,284.89269077994334,253.83741249881763,0.0005199989536777139
5400,285.7923100846224,496.64627697148705,288.45419700745015,253.83741249881763,0.0005399989313445985
5600,288.96530434626226,499.9731496013698,292.38336680121506,253.83741249881763,0.0005599988508038223
5800,292.45276473125847,503.63061613236124,296.69972194723914,253.83741249881763,0.0005799988284707069
6000,296.27071994319044,507.6363067370512,301.4224676463707,253.83741249881763,0.0005999988061375916
6200,300.43495785752503,512.0078100319012,306.5704117540195,253.83741249881763,0.0006199987255968153
6400,304.96093954286624,516.7625959072499,312.1618515974821,253.83741249881763,0.0006399987032637
6600,308.9027237950843,521.9179676595802,318.21447424837976,253.98239159565475,0.0006599986809305847
6800,312.61778915981955,527.4909875273396,324.7452659968925,253.82507432153366,0.0006799986585974693
7000,315.6114408564041,533.4983925262641,331.77037377059105,253.82507432153366,0.0006999985780566931
7200,318.8351657014786,539.956523352187,339.3050117040285,253.82507432153366,0.0007199985557235777
7400,322.30807438566046,546.8812206478896,347.36333117714906,253.82507432153366,0.0007399985333904624
7600,326.05681074335143,554.2877490573683,355.95831404771485,253.82507432153366,0.0007599984528496861
7800,330.09297087069945,559.7450135888917,365.1016228592827,253.98239159565475,0.0007799984305165708
8000,334.4273668907465,560.4556066451895,374.80350751924027,253.98239159565475,0.0007999984081834555
8200,339.0700545800969,555.6711567376477,385.07267299130456,253.98239159565475,0.0008199983276426792
8400,344.030163175156,547.3581592588887,393.52782010381793,253.98239159565475,0.0008399983053095639
8600,349.3157735794689,537.6432509078961,400.0822032705678,253.98239159565475,0.0008599982829764485
8800,354.933756657169,527.4946339638457,406.9817027399311,253.98239159565475,0.0008799982024356723
9000,357.296240945731,516.9182744326936,414.22767370742946,253.91127877166485,0.0008999981801025569
9200,358.71317613226046,505.9220232043513,421.82018368997905,253.91127877166485,0.0009199981577694416
9400,360.24202916946757,492.07503586148397,429.75796899812536,253.91127877166485,0.0009399981354363263
9600,361.8883922760605,477.53049983632627,438.03838034911684,253.91127877166485,0.00095999805489555
9800,363.6577379739685,462.4889011662528,439.287336991861,253.91127877166485,0.0009799980325624347
10000,364.80378259529425,446.9683563681346,439.767806916119,253.93176605438276,0.0009999979520216584
10200,363.58320574012515,430.989361537797,440.30747422716405,253.93176605438276,0.001019997987896204
10400,362.39790591188205,414.5742642538894,440.90846310037017,253.93176605438276,0.0010399979073554277
10600,359.0166351052764,397.74662320240645,438.79031622717304,253.98030488978486,0.0010599978268146515
10800,354.9357097285794,380.53119891393027,430.7825994980679,253.98030488978486,0.001079997862689197
11000,347.1991574308237,362.953865929132,422.67751756052866,223.0412641495338,0.0010999977821484208
11200,336.64040421723394,345.0415978985811,414.4916865871242,223.01250862822215,0.0011199977016076446
11400,320.5124492960996,326.8224566203786,406.1333590461687,223.01250862822215,0.0011399977374821901
11600,304.00756413467315,308.3254408750327,397.70639820232117,223.01250862822215,0.0011599976569414139
11800,287.48963550468744,289.58057597225496,384.9713743523293,223.01250862822215,0.0011799975764006376
12000,270.6186183799073,270.6186183799073,369.8754819649954,222.6942299847204,0.0011999976122751832
12200,251.4712565956111,251.4712565956111,354.7622784431294,222.6942299847204,0.001219997531734407
12400,232.170697245705,232.170697245705,339.6631366856807,222.6942299847204,0.0012399974511936307
12600,212.74979983190048,212.74979983190048,324.60957270526427,222.6942299847204,0.0012599974870681763
12800,193.24185389842302,193.24185389842302,309.6328928218765,222.6942299847204,0.0012799974065274
13000,173.68054228631726,173.68054228631726,294.7642726440418,222.6942299847204,0.0012999974424019456
13200,154.09967248265096,154.09967248265096,280.03439607057953,222.6942299847204,0.0013199973618611693
13400,134.53325857134934,134.53325857134934,265.473518880472,222.6942299847204,0.001339997281320393
13600,115.54507572606205,115.54507572606205,251.11126440111508,223.01250862822215,0.0013599973171949387
13800,97.28732160412527,97.28732160412527,237.10969213413583,223.01250862822215,0.0013799972366541624
14000,79.19091404946535,79.19091404946535,223.42193796289163,223.01250862822215,0.0013999971561133862
14200,61.28764324660174,61.28764324660174,210.01898578409697,223.01250862822215,0.0014199971919879317
14400,43.608501510397296,43.608501510397296,196.92640454218363,223.01250862822215,0.0014399971114471555
14600,26.183508645826475,26.183508645826475,184.16847194077152,223.01250862822215,0.0014599970309063792
14800,9.041570494056176,9.041570494056176,171.76811964486436,223.01250862822215,0.0014799970667809248
15000,6.089328655972577,6.089328655972577,160.90966493208236,223.01250862822215,0.0014999969862401485
15200,16.910991130829817,16.910991130829817,151.31394980283682,223.01250862822215,0.0015199969056993723
15400,27.711212935339162,27.711212935339162,141.37591767134367,223.01250862822215,0.0015399969415739179
15600,38.49166101572401,38.49166101572401,129.11323898123044,223.01250862822215,0.0015599968610331416
15800,49.25393987832117,49.25393987832117,116.84219113619204,223.01250862822215,0.0015799967804923654
16000,59.999682795072815,59.999682795072815,104.56629813679457,223.01250862822215,0.001599996816366911
16200,70.73067209671635,70.73067209671635,92.2787175864786,223.01250862822215,0.0016199967358261347
16400,79.98110567459955,81.44860303965844,79.98110567459955,43.21898740276112,0.0016399966552853584
16600,67.6751043824884,92.1551551523527,67.6751043824884,43.21898740276112,0.001659996691159904
16800,55.36247612274917,102.85218062315933,55.36247612274917,43.21898740276112,0.0016799966106191278
17000,43.04487697872828,113.54136647020714,43.04487697872828,43.21898740276112,0.0016999965300783515
17200,30.72410302114766,124.22458091075114,30.72410302114766,43.21898740276112,0.001719996565952897
17400,18.401899233155053,134.9036181949131,18.401899233155053,43.21898740276112,0.0017399964854121208
17600,6.080009182768408,145.58027239363616,6.080009182768408,43.21898740276112,0.0017599964048713446
17800,7.209201008088003,156.25475121683834,7.209201008088003,43.21898740276112,0.0017799964407458901
18000,15.015422837049824,167.01531014281548,15.015422837049824,43.21898740276112,0.0017999963602051139
18200,22.97732372124248,177.8809624288363,22.97732372124248,43.37168673604505,0.0018199963960796595
18400,31.085461886282765,188.84051153501287,31.085461886282765,43.37168673604505,0.0018399963155388832
18600,39.32977990693077,199.44805072956422,39.32977990693077,43.37168673604505,0.001859996234998107
18800,47.699675446979164,208.76839312642937,47.699675446979164,43.37168673604505,0.0018799962708726525
19000,56.18402434460724,217.19061598446848,56.18402434460724,43.37168673604505,0.0018999961903318763
19200,64.77115120341168,224.95212495440342,64.77115120341168,43.37168673604505,0.0019199961097911
19400,73.44900745002818,233.0007179871514,73.44900745002818,43.37168673604505,0.0019399961456656456
19600,82.20503062794576,241.4625338823976,82.20503062794576,43.37168673604505,0.0019599960651248693
19800,91.02625522734206,250.09511412049602,91.02625522734206,43.37168673604505,0.001979995984584093
20000,99.8994428721736,258.65636359803284,99.8994428721736,43.37168673604505,0.001999995904043317
20200,108.81099489432496,267.1345639457509,108.81099489432496,43.37168673604505,0.0020199958235025406
20400,117.74704748204903,275.51899019165694,117.74704748204903,43.37168673604505,0.002039995975792408
20600,126.69346102257411,283.7988987176692,126.69346102257411,43.37168673604505,0.0020599958952516317
20800,135.636017292542,291.9637347204637,135.636017292542,43.37168673604505,0.0020799958147108555
21000,144.56022886245165,300.0030296497671,144.56022886245165,43.37168673604505,0.0020999957341700792
21200,153.45160247653308,307.90641922326637,153.45160247653308,43.37168673604505,0.002119995653629303
21400,162.29552979021327,315.6637845470859,162.29552979021327,43.37168673604505,0.0021399958059191704
21600,171.07739911962096,323.2651435692781,171.07739911962096,43.37168673604505,0.002159995725378394
21800,179.78264097518044,330.7007928652467,179.78264097518044,43.37168673604505,0.002179995644837618
22000,188.39572404437263,337.96009019194554,188.39572404437263,43.37168673604505,0.0021999955642968416
22200,196.85499051192244,339.8356659389322,196.85499051192244,43.37168673604505,0.0022199954837560654
22400,205.11888105274443,340.85734812851297,205.11888105274443,43.37168673604505,0.002239995403215289
22600,213.17191698398216,341.67737023070964,213.17191698398216,43.37168673604505,0.0022599955555051565
22800,220.999038165626,342.29357094078955,220.999038165626,43.37168673604505,0.0022799954749643803
23000,228.58569417337083,342.70404882577395,228.58569417337083,43.37168673604505,0.002299995394423604
23200,235.91787023322615,342.90723401845054,235.91787023322615,43.37168673604505,0.0023199953138828278
23400,242.98203909126428,342.8763453227776,242.98203909126428,43.37168673604505,0.0023399952333420515
23600,249.7653163372176,342.61953216841613,249.7653163372176,43.37168673604505,0.0023599951528012753
23800,254.5088520119329,342.1538526554228,254.5088520119329,73.68518170799781,0.0023799953050911427
24000,257.2080354765186,341.4786801849491,257.2080354765186,73.68518170799781,0.0023999952245503664
24200,259.6282537098724,340.59379773578394,259.6282537098724,73.68518170799781,0.00241999514400959
24400,261.76240274591686,339.4990738072252,261.76240274591686,73.68518170799781,0.002439995063468814
24600,263.60420594797154,335.0849115438425,263.60420594797154,73.68518170799781,0.0024599949829280376
24800,265.14785889603047,330.01051646111017,265.14785889603047,73.68518170799781,0.0024799949023872614
25000,266.3882493554855,324.92634925309187,266.3882493554855,73.68518170799781,0.002499995054677129
25200,267.3209610925565,319.8343837273268,267.3209610925565,73.68518170799781,0.0025199949741363525
25400,267.94221144471663,314.7365456114851,267.94221144471663,73.68518170799781,0.0025399948935955763
25600,268.24759546190995,309.6343586349294,268.24759546190995,73.68518170799781,0.0025599948130548
25800,268.20540171014994,304.52546192449347,268.20540171014994,73.82335627386573,0.0025799947325140238
26000,267.8205826977128,299.41079628356624,267.8205826977128,73.82335627386573,0.002599994884803891
26200,267.09914821110334,294.29246283260414,267.09914821110334,73.82335627386573,0.002619994804263115
26400,266.0408471575969,289.1726081307683,266.0408471575969,73.82335627386573,0.0026399947237223387
26600,264.64615829019976,284.0535061911264,264.64615829019976,73.82335627386573,0.0026599946431815624
26800,262.9163465795593,278.9374845800386,262.9163465795593,73.82335627386573,0.002679994562640786
27000,260.85335359195585,273.82693835860346,260.85335359195585,73.82335627386573,0.00269999448210001
27200,258.4599259004149,268.7244236223391,258.4599259004149,73.82335627386573,0.0027199946343898773
27400,255.7394875861092,263.6325551692096,255.7394875861092,73.82335627386573,0.002739994553849101
27600,252.69624569387196,258.5540756709528,252.69624569387196,73.82335627386573,0.002759994473308325
27800,249.33510207681928,253.4918271746245,249.33510207681928,73.82335627386573,0.0027799943927675486
28000,245.6616712246042,248.44877085278992,245.6616712246042,73.82335627386573,0.0027999943122267723
28200,241.68231795688598,243.42803241456738,241.68231795688598,73.82335627386573,0.002819994231685996
28400,237.40410174182708,238.43283025575641,237.40410174182708,73.82335627386573,0.0028399943839758635
28600,232.83472391058385,233.4665001963067,232.83472391058385,73.82335627386573,0.002859994303435087
28800,227.98264707618608,228.5325515909514,227.98264707618608,73.82335627386573,0.002879994222894311
29000,222.85693092308765,223.63457321727608,222.85693092308765,73.82335627386573,0.0028999941423535347
29200,217.46733111742242,218.776317774989,217.46733111742242,73.82335627386573,0.0029199940618127584
29400,211.82422887923505,213.9616536852073,211.82422887923505,73.82335627386573,0.002939993981271982
29600,205.93852835517873,209.19452983175543,205.93852835517873,73.82335627386573,0.0029599941335618496
29800,199.8218562863191,204.47907598940515,199.8218562863191,73.82335627386573,0.0029799940530210733
30000,193.4863497827563,199.8195099437675,193.4863497827563,73.82335627386573,0.002999993972480297
30200,186.9446661217193,195.22012573371137,186.9446661217193,73.82335627386573,0.003019993891939521
30400,180.20999100413255,190.68533437014554,180.20999100413255,73.82335627386573,0.0030399938113987446
30600,173.29601878353523,186.21964417761825,173.29601878353523,73.82335627386573,0.003059993963688612
30800,166.02276860546147,181.82758376729922,166.02276860546147,73.77191239661484,0.0030799938831478357
31000,157.6701381488763,177.51381160060333,157.6701381488763,73.77191239661484,0.0030999938026070595
31200,149.15464239549647,173.28297969030066,149.15464239549647,73.77191239661484,0.0031199937220662832
31400,140.49175282777182,169.1398192000799,140.49175282777182,73.77191239661484,0.003139993641525507
31600,131.69722412302917,165.08900417580566,131.69722412302917,73.77191239661484,0.0031599935609847307
31800,122.78718872976579,161.1352875793162,122.78718872976579,73.77191239661484,0.003179993713274598
32000,113.77790414999222,157.28331442130218,113.77790414999222,73.98137872651296,0.003199993632733822
32200,104.68602609669445,153.53786371782272,104.68602609669445,73.98137872651296,0.0032199935521930456
32400,95.5280963904513,149.14855199317813,95.5280963904513,73.98137872651296,0.0032399934716522694
32600,86.32099345872294,142.36217434003325,86.32099345872294,73.98137872651296,0.003259993391111493
32800,77.0815293597402,135.59756945493697,77.0815293597402,73.98137872651296,0.003279993310570717
33000,67.8265034090296,128.86500457155654,67.8265034090296,73.98137872651296,0.0032999934628605843
33200,58.57273804264213,122.16845181641307,58.57273804264213,73.98137872651296,0.003319993382319808
33400,49.336942560497086,115.23526746801221,49.336942560497086,73.98137872651296,0.0033399933017790318
33600,40.135577897095374,108.37277740498233,40.135577897095374,73.98137872651296,0.0033599932212382555
33800,30.984951601214902,101.5915099372113,30.984951601214902,73.98137872651296,0.0033799931406974792
34000,21.901175997480966,94.90187889665798,21.901175997480966,73.98137872651296,0.003399993060156703
34200,12.89987321197773,88.30413099135795,12.89987321197773,73.98137872651296,0.0034199932124465704
34400,8.25670357663281,82.00887660234785,8.25670357663281,73.98137872651296,0.003439993131905794
34600,14.085213778424654,76.32872492437588,14.085213778424654,73.98137872651296,0.003459993051365018
34800,19.862338486188946,70.66095624422854,19.862338486188946,73.98137872651296,0.0034799929708242416
35000,25.590693153272095,65.00556928735814,25.590693153272095,73.98137872651296,0.0034999928902834654
35200,31.273006598050753,59.36262922676075,31.273006598050753,73.98137872651296,0.003519992809742689
35400,36.91210258287074,53.73224731266512,36.91210258287074,73.98137872651296,0.0035399929620325565
35600,42.51086433454326,48.11446229718875,42.51086433454326,73.98137872651296,0.0035599928814917803
35800,42.50934554301139,42.50934554301139,48.07221596130152,285.139809883291,0.003579992800951004
36000,36.91698253886058,36.91698253886058,53.59914348463447,285.139809883291,0.0035999927204102278
36200,31.33746389527567,31.33746389527567,59.094704869276974,285.139809883291,0.0036199926398694515
36400,25.770773811248656,25.770773811248656,64.56189338289823,285.139809883291,0.003639992792159319
36600,20.216916325608178,20.216916325608178,70.0037578287165,285.139809883291,0.0036599927116185427
36800,14.675972457403395,14.675972457403395,75.42343153498639,285.139809883291,0.0036799926310777664
37000,9.147829293103834,9.147829293103834,80.82389379227405,285.139809883291,0.00369999255053699
37200,3.632467358540963,3.632467358540963,86.20247616740838,285.139809883291,0.003719992469996214
37400,1.433099226867471,1.433099226867471,91.01094677942218,285.139809883291,0.0037399923894554377
37600,4.114552712655624,4.114552712655624,95.71701634213301,285.139809883291,0.003759992541745305
37800,6.717230288313159,6.717230288313159,100.4268650386445,285.139809883291,0.003779992461204529
38000,9.345210888619652,9.345210888619652,105.1407266771618,285.139809883291,0.0037999923806637526
38200,11.993368914257056,11.993368914257056,109.85853311944273,285.139809883291,0.0038199923001229763
38400,14.656575189168674,14.656575189168674,114.58016785861305,285.139809883291,0.0038399922195822
38600,17.32947435212181,17.32947435212181,119.30531259318182,285.139809883291,0.003859992139041424
