case_id,job_name,field_mode,cone_deg,cone_axis_bias_deg,length_mm,diameter_mm,B0_mT,frequency_Hz,gradient_mT,mu,zeta,duration_s,direct_dt_s,field_interval_s,mesh_size_mm,node_count,element_count,magnetic_moment_Am2,cparallel_scale,kwobble_scale,status,wallclock_s,analysis_status,total_robot_phase_winding,axis_winding_number,command_phase_winding,local_B_phase_winding,mean_phase_lag_deg,max_directed_tilt_deg,final_directed_tilt_deg,tilt_range_deg,contact_side_transitions,true_separations,both_end_support_fraction,longest_continuous_contact_us,longest_opposing_bridge_ms,delta_s_mm,contact_event_count,first_contact_time_ms,peak_contact_force_N,peak_contact_time_ms,wall_sector_span_deg,nearest_wall_sector_span_deg,min_coarse_gap_um,ramp_time_s
FRAME_CURRENT,MDA_FRAME_CURRENT,CURRENT_PRODUCTION,30.0,40.0,2.4,0.815,10.0,30.0,0.0,0.03,0.5,0.033333333,1e-07,0.0001,0.1,1588,7302,0.0010876227522174417,1.0,1.0,SOLVED,886.9781804,VALID,-0.05376527419842578,-0.05376527419842578,0.9999999403953551,0.0006109281523281987,5.097427206250716,38.6247937753976,36.498117604533356,25.26241920450399,99,52,0.9400479616306955,4081.276711076498,29.92005366832018,-3.6294208973660655,154,0.9162981295958161,7.2119353509010935,1.2912973761558533,862.0802795922878,839.9999528075658,-1.8620936876870182,
FRAME_LOCAL30,MDA_FRAME_LOCAL30,LOCAL_TANGENT_CONE,30.0,0.0,2.4,0.815,10.0,30.0,0.0,0.03,0.5,0.033333333,1e-07,0.0001,0.1,1588,7302,0.0010876227522174417,1.0,1.0,SOLVED,1420.4012166,VALID,1.436012889787348,1.436012889787348,0.9999999403953551,1.0085212407788344,-2.2017856372663336,37.70467977015055,25.799863803962886,34.05539599709727,19,32,0.06654676258992806,2.2025778889656067,0.5000008968636394,1.7439001019535443,32,1.6718966653570533,4.435786714753374,1.6722966684028506,988.6156397996325,777.4009724715739,-0.01490295704536809,
FRAME_LOCAL40,MDA_FRAME_LOCAL40,LOCAL_TANGENT_CONE,40.0,0.0,2.4,0.815,10.0,30.0,0.0,0.03,0.5,0.033333333,1e-07,0.0001,0.1,1588,7302,0.0010876227522174417,1.0,1.0,SOLVED,1947.5344715,VALID,1.41991022362644,1.41991022362644,0.9999999403953551,1.0117671237264991,-1.9916023628054615,40.165125481337626,34.14291918843377,36.330886242552225,65,110,0.4970023980815348,834.6769027411938,7.600013632327318,4.790592328649906,139,1.4893970219418406,6.076085317605443,1.4898970257490873,1049.7303818196979,1348.3743859792978,-1.331902492266981,
FRAME_LOCAL30_RAMP,MDA_FRAME_LOCAL30_RAMP,LOCAL_TANGENT_CONE,30.0,0.0,2.4,0.815,10.0,30.0,0.0,0.03,0.5,0.033333333,1e-07,0.0001,0.1,1588,7302,0.0010876227522174417,1.0,1.0,SOLVED,1617.8487697,VALID,1.4227572766894006,1.4227572766894006,0.9999999403953551,1.0073794986071363,-3.5711475285739263,35.57436166038822,24.487879265763386,33.50321997160806,17,30,0.047961630695443645,725.5491800606251,0.5200009327381849,1.234055018783918,33,3.1876936554908752,2.8498193848023763,3.1880936585366726,897.9312798092378,389.855619893597,-0.8941308867026659,0.005
