attempt,run_time_local,phase_deg,cone_axis_bias_deg,bridge_origin,deck_rp_origin,status,usable_for_formal_calibration,reason
1,2026-09-10 19:51,228,0,old,-7.468174204284;-3.676918015967;-9.550745259298,stopped_at_0.9ms,NO,phase mismatch and old bridge origin
2,2026-09-10 19:57,248,0,old,-7.468174204284;-3.676918015967;-9.550745259298,completed_75ms,NO,Bias0 is not production Bias40 and old bridge origin
