t_s,freq_Hz,phase_rad,B_mT,robot_arc_mm,driver_arc_mm,delta_s_mm,robot_arc_velocity_mm_s,rp_speed_mm_s,ur1,ur2,ur3,theta_norm_rad,Ft_mN,torque_mag_Nmm
1.0559219828036989e-07,5.000092393173495,3.979354011854465,10.0,13.899960625932426,18.899961259553187,5.000000633620761,0.0,0.0,0.0,0.0,0.0,0.0,0.0038590495368754254,3.899018591020064e-10
2.850989067532508e-06,5.002494615434091,3.97944028335356,10.0,13.899960625932426,18.899977731934403,5.000017106001977,-7.450580596923828e-09,1.300867958435788e-06,2.1258981595310398e-12,-1.613933596844967e-11,-1.3128805393895512e-11,2.0913228817137985e-11,0.0038590620933091143,2.837187507940918e-07
5.596385925307054e-06,5.004896837684644,3.979526596290237,10.0,13.899960625932426,18.89999420431555,5.000033578383125,0.0,1.115664178883615e-05,3.1829901287503814e-11,-2.387877437110986e-10,-1.9308283328709412e-10,3.0872918500326676e-10,0.003859074647783339,1.0912294490945124e-06
8.34178278292911e-06,5.007299059935063,3.979612950664852,10.0,13.899960625932426,18.90001067669669,5.000050050764266,-7.450580596923828e-09,3.897904664555049e-05,1.5464364471173642e-10,-1.166532365717385e-09,-9.395417457666151e-10,1.5058058006111238e-09,0.0038590871955918385,2.420030756394995e-06
1.1087179640219732e-05,5.009701282185192,3.9796993464774,10.0,13.899960625932426,18.90002714907784,5.0000665231454136,-7.450580596923828e-09,8.995261525733261e-05,4.778838415481962e-10,-3.596614184571941e-09,-2.892954643747651e-09,4.640387174520899e-09,0.0038590997291978266,4.2672314062934785e-06
1.383257649700563e-05,5.01210350443488,3.979785783727874,10.0,13.899960625932426,18.90004362145898,5.000082995526554,-7.450580596923828e-09,0.00017179670658472505,1.1554186560811522e-09,-8.623461409288536e-09,-6.930669014720493e-09,1.1123544935851867e-08,0.0038591122382595476,6.629940106928584e-06
1.657797335308842e-05,5.014505726683953,3.979872262416269,10.0,13.899960625932426,18.90006009384012,5.000099467907695,-7.450580596923828e-09,0.0002853606704552104,2.3898103343964567e-09,-1.7639837693078054e-08,-1.4168738027468706e-08,2.2751444010514216e-08,0.003859124709611637,9.50526554161686e-06
1.932337020832283e-05,5.016907948932283,3.97995878254258,10.0,13.899960625932426,18.900076566221248,5.000115940288822,-1.4901161193847656e-08,0.00044010958497252224,4.439051346609525e-09,-3.2326265038135074e-08,-2.5958517983481825e-08,4.169577009808476e-08,0.0038591371273240483,1.2890316369768848e-05
2.2068767062732877e-05,5.019310171179892,3.980045344106807,10.0,13.899960625932426,18.90009303860237,5.000132412669945,7.450580596923828e-09,0.0006425740752659184,7.603283744052115e-09,-5.466866425498526e-08,-4.3906710282067084e-08,7.052851893319642e-08,0.0038591494725149656,1.678220122814514e-05
2.4814163916486385e-05,5.021712393426926,3.9801319471089567,10.0,13.899960625932426,18.900109510983494,5.000148885051068,2.2351741790771484e-08,0.000913860922985167,1.2226327986847158e-08,-8.69581822463878e-08,-6.984629427739005e-08,1.1220389199988443e-07,0.0038591617235337267,2.1178028732149306e-05
2.755956076994866e-05,5.024114615673705,3.9802185915490393,10.0,13.899960625932426,18.900125983364617,5.000165357432191,-7.450580596923828e-09,0.001234738032367314,1.8699009752140442e-08,-1.317667795312222e-07,-1.0583999550443019e-07,1.700418824940437e-07,0.003859173856038427,2.6074907477382683e-05
3.030495762390821e-05,5.026516837920919,3.98030527742708,10.0,13.899960625932426,18.90014245574574,5.0001818298133145,7.450580596923828e-09,0.001623918634724843,2.7462253787079786e-08,-1.9194251502979738e-07,-1.541573560574754e-07,2.477107080561137e-07,0.003859185843157546,3.146994604173601e-05
3.305035447957547e-05,5.0289190601696285,3.980392004743118,10.0,13.899960625932426,18.90015892812688,5.000198302194455,0.0,0.002101165847537628,3.8961129438706016e-08,-2.706380959515652e-07,-2.173212511766276e-07,3.492727799305338e-07,0.003859197655124435,3.7360252987480494e-05
3.5795751338767134e-05,5.0313212824214215,3.98047877349721,10.0,13.899960625932426,18.900175400508036,5.0002147745756105,0.0,0.0026387864927414476,5.367310268269046e-08,-3.712807614061548e-07,-2.981061034205312e-07,4.791632859876612e-07,0.0038592092593854087,4.374293686386245e-05
3.8541148203652986e-05,5.033723504678196,3.9805655836894247,10.0,13.899960625932426,18.90019187288922,5.000231246956794,-7.450580596923828e-09,0.003248572341055673,7.215579221211956e-08,-4.975930323080445e-07,-3.9949666210492966e-07,6.421860066867337e-07,0.0038592206207213723,5.0615106208906276e-05
4.12865450767072e-05,5.036125726942119,3.9806524353198407,10.0,13.899960625932426,18.90020834527046,5.000247719338034,1.4901161193847656e-08,0.003950050071106847,9.500847513555619e-08,-6.535591649325163e-07,-5.246678851502843e-07,8.434705579467155e-07,0.003859231701558286,5.797386955151055e-05
4.403194196135325e-05,5.038527949216184,3.980739328388567,10.0,13.899960625932426,18.900224817651768,5.000264191719342,0.0,0.004764669818971312,1.2288751860692206e-07,-8.434139686332334e-07,-6.77032366592836e-07,1.088494965596683e-06,0.0038592424616976993,6.581633541580911e-05
4.67773388616288e-05,5.040930171503925,3.980826262895732,10.0,13.899960625932426,18.90024129003317,5.0002806641007425,-7.450580596923828e-09,0.005704038349466331,1.5646282932127322e-07,-1.0717868756752837e-06,-8.602436543000588e-07,1.383194443522863e-06,0.0038592528577337,7.413961232373912e-05
4.952273578207632e-05,5.043332393809317,3.98091323884148,10.0,13.899960625932426,18.90025776241469,5.0002971364822635,0.0,0.006737189258800018,1.9648363313735954e-07,-1.3435172857330715e-06,-1.0782402361598795e-06,1.7338530854800036e-06,0.0038592628434841636,8.294080879734116e-05
5.2268132727145946e-05,5.045734616136253,3.981000256225953,10.0,13.899960625932426,18.90027423479636,5.000313608863934,0.0,0.007976791566738597,2.436850799932048e-07,-1.6638351583518282e-06,-1.335187791692659e-06,2.1471973107900604e-06,0.0038592723696933675,9.2217033360222e-05
