t_start_ms,t_end_ms,n,freq_mean_Hz,theta_rms_rad,theta_peak_rad,ur1_range_rad,robot_arc_start_mm,robot_arc_end_mm,driver_arc_end_mm,delta_s_end_mm,Ft_mean_mN,Ft_positive_fraction,rp_speed_peak_mm_s,torque_peak_Nmm
0.0,2.0,18951,5.875246993567149,0.49749006438102095,1.2521495454757818,0.1260161827078218,13.899960625932426,13.899960625932426,18.911960194931027,5.0119995689986006,0.0012486842930630024,0.7050287583768666,56.29998672408057,0.011596774975985068
2.0,4.0,18931,7.6250246353580895,2.3992081495317263,2.7974709665201085,0.0470971013162355,13.899960625932426,14.099859528171535,18.923960378430024,4.824100850258489,-0.0069753305056878346,0.0,120.55546749385128,0.0109832775186059
4.0,6.0,18937,9.374778213355485,1.9901291795404878,2.7384666149433503,0.2487057115824513,14.099859528171535,14.299859528171536,18.93596050662405,4.636100978452513,-0.00636886972159358,0.0,164.51873709389147,0.010758590533413633
6.0,8.0,18934,11.124603518985774,0.9126093745164531,1.4992423794102065,0.09608291577520559,14.299859528171536,14.399859528171534,18.94796044693893,4.548100918767394,-0.0022695669142742503,0.0,327.62348423010815,0.009423909928213015
8.0,10.0,18893,12.875286921957716,2.009095164274177,2.1859995604684204,0.0948705168603922,14.399859528171534,13.999960625932426,18.95996006478159,4.959999438849165,-0.007230280787500707,0.0,333.2408321060066,0.007495483024547356
10.0,12.0,18901,14.625328078443923,1.3477676913069785,1.9016465134100513,0.224697336111261,13.999960625932426,13.999960625932426,18.97196024955463,4.971999623622205,-0.004563429795222765,0.0,318.4798825197581,0.005819120395563378
12.0,14.0,18356,16.36353839118219,1.543931732771508,1.9409892353452216,0.0774886737621252,13.999960625932426,13.999960625932426,18.983960137045173,4.9839995111127475,-0.005112580976394714,0.0,332.2292413295853,0.005458234540019378
14.0,16.0,17938,18.125062894503564,1.667494247529796,1.9475289205020674,0.23389728434293522,13.999960625932426,14.099859528171535,18.99595999764399,4.896100469472454,-0.005073299356042049,0.0,318.08112766300104,0.005360592560224895
16.0,18.000000000000004,17929,19.874698793367916,1.339615142115948,1.7576628069241902,0.06740170602292261,14.099859528171535,13.999960625932426,19.007960369070627,5.0079997431382015,-0.0026852399573868706,0.0,334.08000390408034,0.005431782137679046
18.000000000000004,20.0,17922,21.625030939817247,1.9290596120987318,2.0384606102853633,0.17395218471045348,13.999960625932426,13.999960625932426,19.019960265565537,5.019999639633111,-0.004804566372061095,0.0,327.0645444343926,0.005343215283896823
20.0,22.0,17924,23.375169466402777,1.471377657083725,1.7006963955576149,0.12824015192626514,13.999960625932426,13.999960625932426,19.031960005994076,5.0319993800616505,-0.0016669772858544914,0.0,330.62884969345953,0.005446230011844334
22.0,24.0,17958,25.124987068070897,2.074616345033549,2.3014296177301237,0.1607180903961526,13.999960625932426,13.999960625932426,19.043960508235298,5.043999882302872,-0.0036651361881114442,0.0,330.50055853950994,0.005350224042139541
24.0,26.000000000000004,17933,26.87506388800285,1.9329632512380532,2.269616934192557,0.23854114878007526,13.999960625932426,13.999960625932426,19.05596024537629,5.055999619443865,-0.0025278441160030414,0.0,321.2829280337721,0.005426534286886184
26.000000000000004,28.0,17934,28.624993727281502,2.121661341585743,2.5946022268675297,0.35204423675634855,13.999960625932426,13.999960625932426,19.067960229029435,5.067999603097009,-0.0029797527319501945,0.0,325.76430881631876,0.0054166900772011535
28.0,30.0,17934,30.375042332624496,2.4799598889517664,2.6592648634498226,0.17038238558023489,13.999960625932426,13.999960625932426,19.07996058984349,5.079999963911066,-0.004302201710785729,0.0,326.6251089514688,0.005404118781754417
30.0,32.0,17933,32.12504001846452,2.119273908465162,2.5063170635399135,0.35806619446990007,13.999960625932426,13.999960625932426,19.09195996015598,5.091999334223553,-0.004308609653855343,0.0,324.44350897626913,0.00535174113867938
32.0,34.0,17935,33.87495758772821,2.774237040300744,2.8954693556686872,0.3780386242170783,13.999960625932426,13.999960625932426,19.103960522482996,5.103999896550571,-0.005967861492452559,0.0,331.8752636355384,0.005489045514479406
34.0,36.00000000000001,1910,34.84320174594602,2.532874137544251,2.5945986281984452,0.0344517181555417,13.999960625932426,13.999960625932426,19.10523868700906,5.105278061076634,-0.006877486217200378,0.0,330.94921078196035,0.0018812769328526437
