frame,time_s,positive_normal_nodes,negative_normal_nodes,opposing_wall_clusters
0,0.0,0,0,False
1,5.005069760954939e-05,0,0,False
2,0.000100101402495,0,0,False
3,0.0001500465587014,0,0,False
4,0.0002000974782276,0,0,False
5,0.0002500431728549,0,0,False
6,0.0003000949509441,0,0,False
7,0.0003500377642922,0,0,False
8,0.0004000964399892,0,0,False
9,0.0004500411159824,0,0,False
10,0.0005000106757506,0,0,False
11,0.0005500661209225,0,0,False
12,0.0006000370485708,0,0,False
13,0.0006500027957372,0,0,False
14,0.0007000611512921,0,0,False
15,0.0007500948267988,0,0,False
16,0.0008000059169717,0,0,False
17,0.0008500217227265,0,0,False
18,0.0009000400896184,0,0,False
19,0.0009500464075244,0,0,False
20,0.001000058487989,0,0,False
21,0.00105008832179,0,0,False
22,0.0011000139638781,0,0,False
23,0.0011501018889248,0,2,False
24,0.0012000863207504,0,4,False
25,0.0012500407174229,0,0,False
26,0.0013000426115468,0,0,False
27,0.0013500681379809,0,0,False
28,0.0014000559458509,0,0,False
29,0.0014500233810395,1,0,False
30,0.0015000704443082,3,0,False
31,0.0015500304289162,0,0,False
32,0.0016000049654394,0,0,False
33,0.0016500835772603,0,0,False
34,0.0017000631196424,0,0,False
35,0.0017500647809356,0,0,False
36,0.0018000535201281,0,0,False
37,0.0018500443547964,0,0,False
38,0.0019000484608113,0,0,False
39,0.0019500425551086,0,0,False
40,0.002000059466809,0,0,False
41,0.0020500889513641,0,0,False
42,0.0021000010892748,0,0,False
43,0.0021500058937817,0,0,False
44,0.0022000833414494,0,0,False
45,0.0022500304039567,1,2,True
46,0.0023000345099717,1,2,True
47,0.002350004389882,1,0,False
48,0.002400042489171,0,0,False
49,0.0024500412400811,0,0,False
50,0.0025000090245157,0,0,False
51,0.0025500075425952,0,0,False
52,0.0026000451762229,0,0,False
53,0.002650010632351,0,0,False
54,0.0027000687550753,0,0,False
55,0.0027500945143401,0,0,False
56,0.0028000453021377,0,0,False
57,0.0028500182088464,1,0,False
58,0.002900016028434,5,0,False
59,0.0029500212986022,5,0,False
60,0.003000036580488,5,2,True
61,0.0030500260181725,4,2,True
62,0.0031000114977359,4,1,True
63,0.0031500102486461,3,0,False
64,0.0032000427599996,3,0,False
65,0.0032500673551112,4,0,False
66,0.0033000987023115,4,0,False
67,0.0033500327263027,2,0,False
68,0.003400043817237,1,0,False
69,0.0034500602632761,1,0,False
70,0.0035000653006136,1,0,False
71,0.0035500817466527,2,0,False
72,0.0036000872496515,3,0,False
73,0.0036500636488199,2,0,False
74,0.0037000402808189,2,0,False
75,0.003750100499019,3,2,True
76,0.003800090169534,3,2,True
77,0.0038500519003719,3,1,True
78,0.0039000490214675,3,0,False
79,0.0039501045830547,4,0,False
80,0.0040000760927796,4,0,False
81,0.0040500797331333,4,0,False
82,0.0041000111959874,4,0,False
83,0.0041500837542116,4,0,False
84,0.0042000487446784,4,0,False
85,0.0042501022107899,4,0,False
86,0.0043000429868698,3,0,False
87,0.004350084811449,6,0,False
88,0.0044000102207064,6,0,False
89,0.0044500487856566,6,0,False
90,0.0045000975951552,6,1,True
91,0.0045500360429286,6,1,True
92,0.004600026179105,6,1,True
93,0.004650046583265,6,0,False
94,0.0047000027261674,5,0,False
95,0.0047500790096819,5,0,False
96,0.0048000500537455,4,0,False
97,0.0048500085249543,4,0,False
98,0.004900075495243,4,0,False
99,0.0049500511959195,4,0,False
100,0.0050000296905636,4,2,True
101,0.0050500929355621,6,2,True
102,0.0051000565290451,6,2,True
103,0.0051500364206731,6,2,True
104,0.0052000349387526,6,0,False
105,0.0052500055171549,5,0,False
106,0.0053000166080892,5,0,False
107,0.0053500402718782,5,0,False
108,0.0054000713862478,5,0,False
109,0.005450002849102,5,0,False
110,0.0055000293068587,4,1,True
111,0.0055500301532447,4,1,True
112,0.0056000216864049,4,2,True
113,0.0056500933133065,3,2,True
114,0.0057000792585313,3,1,True
115,0.0057500936090946,3,1,True
116,0.0058000292629003,4,1,True
117,0.0058500482700765,3,1,True
118,0.0059000621549785,4,2,True
119,0.0059500727802515,4,2,True
120,0.0060000219382345,4,2,True
121,0.0060500619001686,3,2,True
122,0.0061000040732324,4,1,True
123,0.0061500240117311,5,1,True
124,0.0062000728212296,5,1,True
125,0.0062500489875674,4,1,True
126,0.0063000484369695,5,1,True
127,0.0063500790856778,4,1,True
128,0.0064000128768384,4,3,True
129,0.0064500705339014,4,3,True
130,0.0065000266768038,4,3,True
131,0.0065501043573021,4,1,True
132,0.0066000875085592,4,1,True
133,0.0066500538960099,4,2,True
134,0.0067001045681536,5,4,True
135,0.0067500388249754,5,4,True
136,0.0068000922910869,5,4,True
137,0.00685002701357,6,4,True
138,0.0069000264629721,7,4,True
139,0.0069500086829066,5,4,True
140,0.0070000174455344,5,4,True
141,0.0070500564761459,5,4,True
142,0.0071000130847096,5,4,True
143,0.0071500833146274,5,4,True
144,0.0072000287473201,4,4,True
145,0.0072500668466091,4,4,True
146,0.0073000458069145,4,3,True
147,0.0073500303551554,4,3,True
148,0.0074000693857669,3,3,True
149,0.0074501005001366,3,3,True
150,0.0075000310316681,2,3,True
151,0.0075500789098441,2,3,True
152,0.0076000089757144,2,3,True
153,0.0076500424183905,2,3,True
154,0.0077000549063086,2,3,True
155,0.0077500874176621,2,3,True
156,0.0078000430949032,2,4,True
157,0.0078500118106603,2,4,True
158,0.0079000853002071,2,3,True
159,0.0079500526189804,2,3,True
160,0.0080000245943665,2,3,True
161,0.0080500990152359,2,3,True
162,0.0081000914797186,2,3,True
163,0.0081500997766852,2,3,True
164,0.008200011216104,2,3,True
165,0.0082500269636511,2,3,True
166,0.0083000427111983,2,3,True
167,0.0083330003544688,2,3,True
