window,start_ms,end_ms,n,DeltaH_x_kgm2_s,DeltaH_y_kgm2_s,DeltaH_z_kgm2_s,DeltaH_norm_kgm2_s,Jmag_x_Nmm_s,Jmag_y_Nmm_s,Jmag_z_Nmm_s,Jmag_norm_Nmm_s,Jnonmag_resolved_x_kgm2_s,Jnonmag_resolved_y_kgm2_s,Jnonmag_resolved_z_kgm2_s,Jnonmag_resolved_norm_kgm2_s,DeltaKrot_J,Wmag_J,Wnonmag_resolved_J
W0_preimpact,0.0,1.1500576511025,23,9.786207420653925e-11,-4.4794806112762114e-09,-2.149130342189801e-09,4.9693143148817185e-09,4.712861429883508e-08,-6.208897919519923e-06,-3.131244075273855e-06,6.953943049827355e-06,5.073345990770417e-11,1.7294173082437117e-09,9.821137330840543e-10,1.9894736727887176e-09,1.6461752995346208e-06,2.345370119997472e-06,-6.991948204628513e-07
W1_contact,1.1500576511025,1.6500576511025,10,-9.825664866744524e-10,4.506358552061438e-09,4.6296030912178854e-09,6.534977359003415e-09,1.3497847475772362e-07,-4.51736199228959e-06,-2.0048792050495492e-06,4.944119657216096e-06,-1.117544961432176e-09,9.02372054435103e-09,6.634482296267435e-09,1.1255789378930796e-08,-1.57049797092549e-07,3.0882709246320455e-07,-4.6587688955575354e-07
W2_immediate_postimpact,1.6500576511025,3.1500576511025,30,2.7023240698713142e-09,-1.9278155640905807e-09,-3.1862666452439797e-09,4.601230635639782e-09,3.843132099292687e-06,-1.4382500961949534e-05,-4.419605277228833e-06,1.552929196903716e-05,-1.1408080294213735e-09,1.2454685397858954e-08,1.233338631984854e-09,1.256748803463841e-08,-8.29747107906062e-08,1.0544850264173796e-06,-1.1374597372079858e-06
W3_intermediate,3.1500576511025,5.150057651102499,40,-2.159919096849994e-09,4.622795618543533e-10,1.5908851965807354e-09,2.722107383433885e-09,-1.463354461348895e-06,-1.854074774965394e-05,-4.162122230284894e-06,1.9058436317171435e-05,-6.96564635501099e-10,1.900302731150829e-08,5.7530074268656295e-09,1.986699131088882e-08,-3.7700279733912455e-07,9.504567465771276e-07,-1.3274595439162521e-06
W4_late_postimpact,5.150057651102499,8.3087070558124,64,8.320561306626072e-11,8.116157738017212e-10,-6.689282286134604e-10,1.0550394842684518e-09,-3.11479991062821e-06,-3.0695746685139334e-05,-8.325679739337708e-07,3.086460776476371e-05,3.1980055236944708e-09,3.1507362458941054e-08,1.6363974532031036e-10,3.166966855549513e-08,-2.4422727502701074e-07,5.152241186607935e-07,-7.594513936878042e-07
