time_s,dt_us,dB_mT,dF_uN,dT_uNmm,drp_mm,dur
1.0559219828036989e-07,0.0,0.8723877473067214,0.0,2.0545847598644157e-08,0.0,0.0
0.000100206992711,-2.7190000061573863e-06,0.8723877473066599,2.5964742295546136e-07,0.016884309368806142,8.272131801172863e-09,1.4855931877731234e-06
0.0002003086646864,-8.396540000831301e-05,0.8723877473066565,1.4472847380260305e-05,0.06119939024390841,1.2186509836356515e-07,2.2364045949915674e-05
0.0003004117071086,-0.00039347000001721186,0.8723877473067241,0.00014640634182600033,0.12402764221153287,5.184324606812816e-07,0.00010693617820627375
0.0004004130475548,0.1231246046000064,0.8723877538300232,0.0022764392080745557,0.19730052444921292,1.8135592122134576e-05,0.000331437351417772
0.0005004329836569,0.20266779160004866,0.8723877649813929,0.004812677471514368,0.2733571393139314,2.6210049054187275e-05,0.0007531538054944211
0.0006004600089003,0.31404301999995393,0.8723877897451652,0.008753430116655291,0.34569021621424106,1.848601416691555e-05,0.0014438207967452108
0.0007004836807771,0.4041605762000874,0.8723878175959784,0.013941395425527916,0.40839666184470985,2.1996234892945258e-05,0.0024876798632740547
0.0008005334256811,0.4115611775999065,0.8723878201936938,0.020037676837064512,0.4565849940765636,3.5331273215353795e-05,0.003907534041586005
0.0009005674596595,0.48630415199998106,0.8723878490713411,0.02699075004980252,0.48726106802773367,5.810409760293901e-05,0.005761850298235003
0.001000585872233,0.5726682734000579,0.8723878884263028,0.03326334753100758,0.4971342266095547,6.974493985173103e-05,0.008085494380422447
0.0011006465097886,0.5673241411999208,0.872387885804723,0.03962826585145388,0.5008892200639209,0.00011294153974397174,0.010904612878759172
0.0012007196859615,0.5024344615998239,0.8723878559341901,0.04402521689841079,0.5083467749334395,0.0006565145306297243,0.014038641952454252
0.001300781209154,0.48425696209985003,0.8723878482163584,0.06157631514164866,0.5109718482669613,0.0012610232841263347,0.017273556214897467
0.0014007947240282,0.515418252600066,0.872387861621068,0.07719914923038307,0.5192964246734117,0.0020814741761884725,0.021121410910611035
0.0015008076790925,0.6037493869999987,0.8723879041602277,0.11166630977922617,0.5348390237566931,0.001780814450218403,0.024983128950921345
0.0016008487050241,0.7233838528000226,0.8723879724808571,0.13094559265449063,0.5408502104309492,0.003063725443458246,0.02595496923735299
0.0017009072661223,0.7559158507000359,0.8723879931893362,0.14678935446248711,0.5523805017633983,0.00598788931600169,0.027552486951210292
0.0018010020360083,0.7802399294000537,0.8723880092681008,0.15468856756680252,0.5668766921358298,0.008825479341476586,0.029554469964117744
0.0019011034441257,0.7989898108998975,0.872388022009621,0.16379285172683833,0.5845191514215471,0.011536255158070913,0.03210929643345559
0.0020011151394011,0.8256811843002434,0.8723880406698837,0.16379575052954684,0.6038032386581994,0.014438872330094433,0.03528180886715385
0.0021011611559782,0.8676985104000106,0.8723880712869875,0.1636169214543075,0.6242494426760045,0.017269976012662273,0.03886095444691319
0.0022012445860278,0.9626763102003021,0.872388146094032,0.1527905410460501,0.6427786469245497,0.019891407378779296,0.042809568577697826
0.0023012987635142,0.9843270754000648,0.8723881642333448,0.5664774118630015,0.7298489114029458,0.020825390899676405,0.04449616640588414
0.0024013079778331,1.0821937471996133,0.8723882512607295,0.4913676992485114,0.7154912576308233,0.03288095865510206,0.047084802832598985
0.0025013802147066,1.0791051241001473,0.8723882483881669,0.4745006245857612,0.7186751796530303,0.04248106552731841,0.04985569610392352
0.0026014181554271,1.2073733336001764,0.8723883745903487,0.5557430210351443,0.7136074304884195,0.04745782593338338,0.04884225084536022
0.0027014386551154,1.2267916230999758,0.8723883949299769,0.629805001593376,0.7185217561409383,0.05319169697197794,0.050825524179190236
0.0028015212234794,1.2865530130000586,0.8723884595627541,0.715106294832496,0.7358828574699401,0.05910520731812802,0.054655068125152376
0.0029015981567806,1.2916208467000576,0.8723884651850923,0.8795444447829992,0.7928353294049655,0.0636512994371659,0.060135744841876046
