time_s,phi_robot_rad,phi_field_rad,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,omega_norm_rad_s,omega_spin_rad_s,omega_wobble_rad_s,H_x_kgm2_s,H_y_kgm2_s,H_z_kgm2_s,Krot_J,Jmag_x_Nmm_s,Jmag_y_Nmm_s,Jmag_z_Nmm_s,Jmag_norm_Nmm_s,Wmag_J,driver_arc_mm,robot_arc_mm,Vt_mm_s,Tmag_norm_Nmm,Fmag_norm_N,robot_phase_equiv_Hz,B_local_phase_equiv_Hz
1.0559219828036989e-07,1.8604747726679614,-1.995604697552525,0.00296280846697977,-0.03273481854347825,-0.017956675914927722,0.037453822088008584,-0.0021938874049074685,0.03738951252764321,1.029000591187682e-14,-2.4448402382216386e-13,-1.3780894027035082e-13,5.254108975926625e-15,0.0,0.0,0.0,0.0,0.0,18.899961259553187,13.799960625932426,0.007870498024483816,3.9064860017288365e-10,2.632428345508816e-13,-0.13878618957465097,31.2310522702698
5.015628862084707e-05,1.8604311274923413,-1.985783224931131,0.022954519282848463,-0.24924950314642128,-0.13552555615092188,0.2846390717105809,-0.01737146511538594,0.28410848868699107,7.768216736336677e-14,-1.8611355588993924e-12,-1.0411873977039262e-12,3.033888856418211e-13,4.547205129534394e-11,-1.8580092390311707e-09,-1.0449350765687056e-09,2.1321715113981437e-09,6.057646641904635e-13,18.900261563731725,13.799960625932426,0.007870930185881914,8.520008262539963e-05,5.7415351874502925e-08,-0.14964822948119202,31.23739120579781
0.000100206989992,1.8603806505705578,-1.9759577644290782,0.1109629225013966,-1.2148083492614747,-0.6571725773464924,1.385621843080453,-0.08458328959254147,1.383037801053672,3.722008916454972e-13,-9.070968355796018e-12,-5.0492661813977325e-12,7.189513931669937e-12,2.592836702539855e-10,-1.0888997621729358e-08,-6.094676164981237e-09,1.2481288987267236e-08,1.257586534362431e-11,18.900561867939956,13.799960625932426,0.007871021004618292,0.0003283458493011303,2.212691775390829e-07,-0.19761961167214948,31.250017567346347
0.0001502577269247,1.8603068334577328,-1.966128342429913,0.3207889791642041,-3.551025148198327,-1.9114577517450333,4.045535305617334,-0.24607176528444497,4.038044649991644,1.0676326774799799e-12,-2.6516145554608435e-11,-1.468653909725167e-11,6.128734174909059e-11,7.775223448920834e-10,-3.364056235025235e-08,-1.8733616546614406e-08,3.851285973741248e-08,9.587612357268986e-11,18.900862172361546,13.799960625932426,0.00786993430960363,0.0007118644643977477,4.796512516908748e-07,-0.3122978651052041,31.26253977674924
0.000200308580721,1.8601842285769898,-1.9562949760635824,0.7041941234137886,-7.8455242816613175,-4.199884328499268,8.926766995411137,-0.5448081847626084,8.910126431885086,2.3186378647998156e-12,-5.858280502798969e-11,-3.2275805645261856e-11,2.9840012040643203e-10,1.7001909687554392e-09,-7.592475525359355e-08,-4.205939659882183e-08,8.68127407233829e-08,4.3943801605642936e-10,18.901162477484323,13.799960625932426,0.007866349967890832,0.0012181775260433928,8.204320522757403e-07,-0.5202178435934735,31.2749555766085
0.0002503596989157,1.8599796372052873,-1.9464576701303395,1.323015210522581,-14.572937155479055,-7.742708304032384,16.555071684113848,-1.0403904064318894,16.522348085800413,4.265381381841477e-12,-1.0879724715736875e-10,-5.955357901889367e-11,1.026122300382375e-09,3.0938226436200593e-09,-1.4281254785630435e-07,-7.869158362298883e-08,1.6308697341251152e-07,1.4676007192861277e-09,18.90146278419349,13.799960625932426,0.007858526197254688,0.0018297000003381979,1.2310762840046274e-06,-0.8399076232888228,31.287262728415506
0.0003004113136386,1.8596559557198569,-1.936616413463735,2.276114798811256,-24.137413219841143,-12.702405161850379,27.370540959552347,-1.8341840392669178,27.309014653198883,7.099582431394517e-12,-1.8012829674151104e-10,-9.788241418052404e-11,2.80366633940728e-09,4.994023069314775e-09,-2.38628213510657e-07,-1.3078055194707278e-07,2.721615647318437e-07,3.952397496517771e-09,18.90176309388183,13.799960625932426,0.0078444197773248,0.0025288353549341694,1.6984616745638288e-06,-1.2849681348818631,31.29945901202585
0.000350477280062,1.8591712724752067,-1.926768515393121,3.6087885940114197,-36.66554741024975,-18.964828861542248,41.437307535083946,-3.011634762851827,41.32772086399524,1.0699820811572288e-11,-2.7346605203557674e-10,-1.465334453708333e-10,6.422188800628518e-09,7.408590423441725e-09,-3.6698289515078154e-07,-2.0003767625948904e-07,4.1802679874453976e-07,9.093281075628524e-09,18.902063489680373,13.799960625932426,0.007821691399572119,0.0032981814903378457,2.2088588861976406e-06,-1.8342672314975474,31.31154549643412
0.0004005361721594,1.8585020387188258,-1.9169182255413215,5.093020613149741,-52.517916989438035,-26.785704350352272,59.173849134731405,-4.332050177134309,59.01506386239655,1.467105981810092e-11,-3.9165994447103907e-10,-2.0711991582508592e-10,1.3095868646124441e-08,1.0318518412343414e-08,-5.306392401406678e-07,-2.876743932977558e-07,6.036895158593721e-07,1.8590275175828914e-08,18.902363843032955,13.799960625932426,0.007788316272159287,0.00411975281324853,2.7475019336233206e-06,-2.502882733894059,31.32351473203564
0.0004505813917176,1.857597092053054,-1.9070668812972138,6.839563664062237,-72.34678598139323,-36.6456173070348,81.38635230040676,-5.859726275000302,81.17513134419923,1.9503843876152114e-11,-5.395534156145021e-10,-2.833663465369614e-10,2.477624397988153e-08,1.3682431078290438e-08,-7.315947973415033e-07,-3.9446066123169767e-07,8.312745453078157e-07,3.478061746937223e-08,18.902664114350305,13.799960625932426,0.007741299275910019,0.004975682413220861,3.298671879058887e-06,-3.344057655306673,31.335362942668247
