frame,time_s,actual_min_gap_mm,near5_nodes,near20_nodes,penetrating_nodes,opposing_wall_clusters,first_opposing_bridge_s,classification
47,0.002350004389882,0.01889038517115684,0,1,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
48,0.002400042489171,0.032838677313944596,0,0,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
49,0.0024500412400811,0.04427475849430096,0,0,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
50,0.0025000090245157,0.045459061589179124,0,0,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
51,0.0025500075425952,0.04499971587652483,0,0,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
52,0.0026000451762229,0.04302119723474573,0,0,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
53,0.002650010632351,0.0396252069366742,0,0,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
54,0.0027000687550753,0.03477489957276834,0,0,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
55,0.0027500945143401,0.028597585287441482,0,0,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
56,0.0028000453021377,0.021342368298106814,0,0,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
57,0.0028500182088464,0.013033121152268404,0,1,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
58,0.002900016028434,0.003889348002015433,1,5,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
59,0.0029500212986022,-0.0005266048999792379,4,5,1,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
60,0.003000036580488,0.0009492579596497875,2,7,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
61,0.0030500260181725,0.003307045389023648,2,6,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
62,0.0031000114977359,0.005977219952110141,0,5,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
63,0.0031500102486461,0.006606107387495386,0,3,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
64,0.0032000427599996,0.005189303513311985,0,3,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
65,0.0032500673551112,-0.0004809329767117815,2,4,1,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
66,0.0033000987023115,0.00299175089028865,1,4,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
67,0.0033500327263027,0.007150385750128102,0,2,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
68,0.003400043817237,0.00906474213942614,0,1,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
69,0.0034500602632761,0.008999283106635942,0,1,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
70,0.0035000653006136,0.0071166226899123785,0,1,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
71,0.0035500817466527,0.0035031131753077305,1,2,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
72,0.0036000872496515,-0.0014045491740554206,1,3,1,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
73,0.0036500636488199,0.00255734602643531,1,2,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
74,0.0037000402808189,0.005063097306784484,0,2,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
75,0.003750100499019,0.004793010560906928,1,5,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
76,0.003800090169534,0.003736144111788697,1,5,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
77,0.0038500519003719,0.005519572164289575,0,4,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
78,0.0039000490214675,0.0024767640960209696,2,3,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
79,0.0039501045830547,-0.000493236072772128,3,4,1,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
80,0.0040000760927796,0.0019119482068334624,2,4,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
81,0.0040500797331333,0.0009639214666565891,2,4,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
82,0.0041000111959874,-0.0009702699255415967,2,4,1,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
83,0.0041500837542116,0.0008937973904589847,1,4,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
84,0.0042000487446784,0.0002519727333142704,1,4,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
85,0.0042501022107899,-0.0005064720077330984,1,4,1,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
86,0.0043000429868698,0.0003938720732906975,1,3,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
87,0.004350084811449,-0.0008707945525349193,2,6,1,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
88,0.0044000102207064,1.3083501081417695e-05,2,6,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
89,0.0044500487856566,-0.0006221970514296191,2,6,1,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
90,0.0045000975951552,-0.00034966013146943745,4,7,1,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
91,0.0045500360429286,-0.00036946576203682863,5,7,1,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
92,0.004600026179105,0.00029290602907145526,2,7,0,True,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
93,0.004650046583265,0.0019622698698407836,1,6,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
94,0.0047000027261674,0.0020869061964052245,1,5,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
95,0.0047500790096819,0.0007474292736503596,1,5,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
96,0.0048000500537455,0.00014587293922119324,1,4,0,False,0.0022500304039567,PERSISTENT_GEOMETRIC_JAM
