time_s,H_x_kgm2_s,H_y_kgm2_s,H_z_kgm2_s,Krot_J
1.0559219828036989e-07,1.029000591187682e-14,-2.4448402382216386e-13,-1.3780894027035082e-13,5.254108975926625e-15
5.015628862084707e-05,7.768216736336677e-14,-1.8611355588993924e-12,-1.0411873977039262e-12,3.033888856418211e-13
0.000100206989992,3.722008916454972e-13,-9.070968355796018e-12,-5.0492661813977325e-12,7.189513931669937e-12
0.0001502577269247,1.0676326774799799e-12,-2.6516145554608435e-11,-1.468653909725167e-11,6.128734174909059e-11
0.000200308580721,2.3186378647998156e-12,-5.858280502798969e-11,-3.2275805645261856e-11,2.9840012040643203e-10
0.0002503596989157,4.265381381841477e-12,-1.0879724715736875e-10,-5.955357901889367e-11,1.026122300382375e-09
0.0003004113136386,7.099582431394517e-12,-1.8012829674151104e-10,-9.788241418052404e-11,2.80366633940728e-09
0.000350477280062,1.0699820811572288e-11,-2.7346605203557674e-10,-1.465334453708333e-10,6.422188800628518e-09
0.0004005361721594,1.467105981810092e-11,-3.9165994447103907e-10,-2.0711991582508592e-10,1.3095868646124441e-08
0.0004505813917176,1.9503843876152114e-11,-5.395534156145021e-10,-2.833663465369614e-10,2.477624397988153e-08
0.0005006356514485,2.588391012748381e-11,-7.172858136710149e-10,-3.750234884781561e-10,4.370530765267949e-08
0.000550710844313,3.3312905717077085e-11,-9.238056768986143e-10,-4.808636099794728e-10,7.236237944817527e-08
0.0006007740519203,4.128194022534249e-11,-1.15881700005778e-09,-6.004038536618349e-10,1.1363876629684672e-07
0.0006508473302589,4.9613495141173137e-11,-1.4211983641366311e-09,-7.333452982823322e-10,1.7062252058348564e-07
0.0007008878413533,5.841573650779838e-11,-1.7089468173037203e-09,-8.787502221652514e-10,2.46333351244454e-07
0.0007509176922431,6.802296661323428e-11,-2.018423421523388e-09,-1.0335599963823348e-09,3.430299872349937e-07
0.0008009449868587,7.853493712225925e-11,-2.3465473535944467e-09,-1.1940763161348549e-09,4.6245758318574987e-07
0.0008509499313928,8.868406675440403e-11,-2.692517831758313e-09,-1.3590831850216753e-09,6.069064954240548e-07
0.0009010537638115,9.66195091000244e-11,-3.0496915649692953e-09,-1.5262687378737003e-09,7.759011613662193e-07
0.0009511388488795,9.99136911047338e-11,-3.410358507660785e-09,-1.6886825231750948e-09,9.660372324002475e-07
0.0010011585405064,9.970846718135618e-11,-3.7760145560695435e-09,-1.8478250774472214e-09,1.1786568639244462e-06
0.0010511974063042,9.875355296002817e-11,-4.145091374060774e-09,-2.009098219136485e-09,1.414904060929945e-06
0.0011012138339298,9.787236421245114e-11,-4.4797250953000345e-09,-2.149268151130071e-09,1.6461753047887298e-06
0.0011512181130042,7.76963898332317e-11,-3.778306680491676e-09,-1.3642989538020422e-09,1.0909452308405614e-06
0.0012012221204231,-1.1457003646163703e-12,-1.8455718012654737e-09,4.97176086270636e-10,3.283070255400299e-07
0.0012512380246417,-7.512724651337856e-11,-1.0009292426345786e-09,1.4276262849190187e-09,3.429874895627668e-07
0.0013012654661161,-7.343057657327917e-11,-1.430629759343118e-09,1.2201707723838066e-09,3.736055319158959e-07
0.0013513004970717,-6.928372847219608e-11,-1.844503641067683e-09,1.0164417066021056e-09,4.297740724837084e-07
0.0014013101422808,-6.345083086675024e-11,-2.2268519387561747e-09,8.267787322520956e-10,5.056937830476044e-07
