geometry,trajectory,penetration_um,longest20_ms,first_bridge_s,longest10_ms,longest5_ms,longest0_ms,HEAD,TAIL,BODY,longest20_start_s,longest20_end_s
HEADCLEARANCE,OLD,-52.912136512454914,0.5989999999999996,0.001575,0.3110000000000004,0.24499999999999944,0.09600000000000046,188,19,0,0.004784,0.005382
HEADCLEARANCE,NEW,-5.4170982364321185,0.08800000000000027,0.002375,0.0,0.0,0.0,67,4,0,0.006327999999999999,0.006415
