node,x_mm,y_mm,z_mm
1,1.79999995231628,0.407499998807907,0.0
2,0.414235979318619,0.407499998807907,-9.98087112065018e-17
3,0.0,4.33680868994202e-19,0.0
4,1.79999995231628,0.403157413005829,0.059332475066185
5,1.79999995231628,0.390222251415253,0.117400385439396
6,1.79999995231628,0.368970155715942,0.172966107726097
7,1.79999995231628,0.339854121208191,0.224845349788666
8,1.79999995231628,0.303494662046432,0.271932423114777
9,1.79999995231628,0.260666757822037,0.313223719596863
10,1.79999995231628,0.212283194065094,0.347839176654816
11,1.79999995231628,0.159375175833702,0.37504106760025
12,1.79999995231628,0.103070355951786,0.394249618053436
13,1.79999995231628,0.0445687659084797,0.405055403709412
14,1.79999995231628,-0.0148827247321606,0.407228142023087
15,1.79999995231628,-0.0740170180797577,0.400721520185471
16,1.79999995231628,-0.131573766469955,0.385674208402634
17,1.79999995231628,-0.186326250433922,0.362406939268112
18,1.79999995231628,-0.237107515335083,0.331415563821793
19,1.79999995231628,-0.282835245132446,0.293360680341721
20,1.79999995231628,-0.322534829378128,0.249053284525871
21,1.79999995231628,-0.355360120534897,0.199437767267227
22,1.79999995231628,-0.380611568689346,0.14557158946991
23,1.79999995231628,-0.397750914096832,0.0886027961969376
24,1.79999995231628,-0.406412899494171,0.02974558994174
25,1.79999995231628,-0.406412899494171,-0.02974558994174
26,1.79999995231628,-0.397750914096832,-0.0886027961969376
27,1.79999995231628,-0.380611568689346,-0.14557158946991
28,1.79999995231628,-0.355360120534897,-0.199437767267227
29,1.79999995231628,-0.322534829378128,-0.249053284525871
30,1.79999995231628,-0.282835245132446,-0.293360680341721
31,1.79999995231628,-0.237107515335083,-0.331415563821793
32,1.79999995231628,-0.186326250433922,-0.362406939268112
33,1.79999995231628,-0.131573766469955,-0.385674208402634
34,1.79999995231628,-0.0740170180797577,-0.400721520185471
35,1.79999995231628,-0.0148827247321606,-0.407228142023087
36,1.79999995231628,0.0445687659084797,-0.405055403709412
37,1.79999995231628,0.103070355951786,-0.394249618053436
38,1.79999995231628,0.159375175833702,-0.37504106760025
39,1.79999995231628,0.212283194065094,-0.347839176654816
40,1.79999995231628,0.260666757822037,-0.313223719596863
41,1.79999995231628,0.303494662046432,-0.271932423114777
42,1.79999995231628,0.339854121208191,-0.224845349788666
43,1.79999995231628,0.368970155715942,-0.172966107726097
44,1.79999995231628,0.390222251415253,-0.117400385439396
45,1.79999995231628,0.403157413005829,-0.059332475066185
46,1.73974943161011,0.407499998807907,0.0
47,1.67949879169464,0.407499998807907,0.0
48,1.61924815177917,0.407499998807907,0.0
49,1.55899751186371,0.407499998807907,0.0
50,1.49874699115753,0.407499998807907,0.0
51,1.43849635124207,0.407499998807907,0.0
52,1.3782457113266,0.407499998807907,0.0
53,1.31799507141113,0.407499998807907,0.0
54,1.25774455070496,0.407499998807907,0.0
55,1.19749391078949,0.407499998807907,0.0
56,1.13724327087402,0.407499998807907,0.0
57,1.07699275016785,0.407499998807907,0.0
58,1.01674211025238,0.407499998807907,0.0
59,0.956491470336914,0.407499998807907,0.0
60,0.896240890026093,0.407499998807907,0.0
61,0.835990250110626,0.407499998807907,0.0
62,0.775739669799805,0.407499998807907,0.0
63,0.715489029884338,0.407499998807907,0.0
64,0.655238449573517,0.407499998807907,0.0
65,0.594987809658051,0.407499998807907,0.0
66,0.534737229347229,0.407499998807907,0.0
