geometry,trajectory,penetration_um,longest20_ms,first_bridge_s,longest10_ms,longest5_ms,longest0_ms,HEAD,TAIL,BODY,longest20_start_s,longest20_end_s
DENSE035,NEW,-0.6583424495652029,0.5469999999998999,0.002291,0.038000000000100315,0.0,0.0,49,13,7,0.006246,0.0067919999999999
MESH060,NEW,-0.5844888951251715,0.5289999999999998,0.0022949999999999997,0.03000000000000038,0.0,0.0,20,8,2,0.006252,0.00678
