nose_axial_x_mm,old_L1800_envelope_mm,current_FreeCAD_mm,HeadClearance_candidate_mm,current_minus_old_um,candidate_minus_old_um
0.0025,0.06419838401835641,0.0391545704343881,0.014621016440973258,-25.04381358396831,-49.57736757738315
0.0075,0.07892121054410255,0.07197010476476269,0.03811259026008243,-6.951105779339856,-40.808620284020115
0.0125,0.0936440370698487,0.09442975682800236,0.05727465075036295,0.785719758153669,-36.36938631948575
0.0175,0.10836686359559483,0.11253199615658699,0.0738031532583249,4.1651325609921575,-34.56371033726993
0.0225,0.12308969012134097,0.12804340460497216,0.08850468598817379,4.953714483631188,-34.585004133167175
0.0275,0.1378125166470871,0.1417776988839014,0.10183862456661338,3.965182236814302,-35.97389208047372
0.0325,0.15253534317283324,0.15419037057776838,0.11409634890741455,1.6550274049351443,-38.43899426541869
0.037500000000000006,0.1672581696985794,0.1655671922603959,0.12547655728739102,-1.6909774381834997,-41.781612411188384
0.042499999999999996,0.17978130383366625,0.17610157045791772,0.1361220141040052,-3.679733375748534,-43.65928972966104
0.0475,0.19230443796875316,0.1859317001604512,0.14613943593245002,-6.372737808301943,-46.165002036303136
0.052500000000000005,0.1592437625443628,0.19516044660885776,0.15561110914100548,35.916684064494966,-3.6326534033573052
0.057499999999999996,0.1634821219317348,0.20386686269239027,0.16460209058532155,40.38474076065546,1.1199686535867392
0.0625,0.16741289157995784,0.21211328057526077,0.17316488629093094,44.70038899530293,5.751994710973096
0.0675,0.17134366122818087,0.21994989516587748,0.18134261099898402,48.606233937696615,9.99894977080315
0.07250000000000001,0.1922312771076764,0.22741784594443937,0.18917119154791312,35.186568836762966,-3.0600855597632814
0.0775,0.2131188929871719,0.23455135836783111,0.19668094587138973,21.43246538065921,-16.43794711578217
0.0825,0.23400650886666743,0.2413792737515713,0.20389774130525667,7.3727648849038765,-30.108767561410758
0.0875,0.2548941247461629,0.24792616860079753,0.21084386170016772,-6.967956145365384,-44.05026304599519
0.0925,0.2509013620747917,0.2542131906418007,0.21753866818776973,3.311828567009012,-33.362693887021955
0.0975,0.24690859940342044,0.26025869463974277,0.22399911067738176,13.350095236322328,-22.909488726038678
0.10250000000000001,0.24291583673204922,0.2660787337236179,0.23024012938018296,23.162896991568676,-12.675707351866267
0.1075,0.2542814245576641,0.2716874444788994,0.23627497397999414,17.406019921235306,-18.006450577669973
0.1125,0.2656470123832791,0.2770973526343534,0.24211546022324826,11.450340251074332,-23.531552160030834
0.1175,0.26944934589817804,0.2823196185073392,0.24777217832012383,12.870272609161182,-21.677167578054213
0.1225,0.30790025115577235,0.28736423613019335,0.2532546637907484,-20.536015025579,-54.64558736502395
0.1275,0.3140586787426397,0.2922401963270721,0.25857153872153926,-21.81848241556761,-55.487140021100444
0.1325,0.320217106329507,0.2969556214212709,0.2637306294724977,-23.261484908236095,-56.48647685700931
0.1375,0.32637553391637436,0.3015178773893793,0.2687390654695218,-24.857656526995065,-57.636468446852554
0.14250000000000002,0.32842322263469925,0.30593366791836074,0.2736033626742109,-22.48955471633851,-54.81985996048833
0.1475,0.3304709113530241,0.31020911381594934,0.27832949454331907,-20.261797537074745,-52.14141680970502
0.1525,0.332518600071349,0.3143498204723483,0.2829229526990737,-18.168779599000707,-49.59564737227529
0.1575,0.33456628878967387,0.31836093550211264,0.28738879907952236,-16.20535328756123,-47.17748971015151
0.1625,0.340870991197753,0.32224719826025783,0.29173171098902506,-18.623792937495164,-49.13928020872793
0.1675,0.33342331169487743,0.3260129825912265,0.29595602019713363,-7.4103291036509145,-37.4672914977438
0.17250000000000001,0.3441199083287878,0.3296623339083595,0.30006574702060773,-14.457574420428331,-44.05416130818007
0.1775,0.35481650496269806,0.33319900149675524,0.30406463015438556,-21.61750346594282,-50.7518748083125
0.1825,0.3622089822477068,0.3366264667705187,0.30795615288269285,-25.582515477188096,-54.252829365013966
0.1875,0.366977418913476,0.33994796808648764,0.3117435661934531,-27.029450826988377,-55.2338527200229
0.1925,0.36938891807823326,0.34316652261316893,0.31542990923194175,-26.22239546506433,-53.95900884629151
0.1975,0.3718004172429905,0.3462849456702193,0.31901802745877234,-25.515471572771233,-52.782389784218175
0.2025,0.37421191640774776,0.34930586788610446,0.3225105888194289,-24.9060485216433,-51.701327588318854
0.20750000000000002,0.376623415572505,0.35223175046630034,0.32591009818501954,-24.391665106204663,-50.71331738748547
0.2125,0.37903491473726225,0.355064898819028,0.3292189102846878,-23.970015918234278,-49.81600445257445
0.2175,0.3814464139020195,0.3578074747480838,0.33243924131756925,-23.638939153935723,-49.00717258445025
0.2225,0.38385791306677675,0.3604615073912897,0.3355731794050565,-23.396405675487063,-48.28473366172026
0.2275,0.38626941223153405,0.3630289030572388,0.33862269402143585,-23.240509174295266,-47.64671821009819
0.2325,0.3886809113962913,0.36551145409138497,0.3415896445218798,-23.169457304906327,-47.09126687441151
0.2375,0.39109241056104854,0.3679108468843566,0.34447578787068084,-23.18156367669194,-46.616622690367706
0.2425,0.3935039097258058,0.3702286691200455,0.3472827856589757,-23.275240605760306,-46.2211240668301
0.2475,0.39591540889056304,0.37246641634804717,0.3500122104896173,-23.448992542515867,-45.903198400945755
0.2525,0.3983269080553203,0.37462549795399636,0.3526655517969647,-23.701410101323926,-45.6613562583556
0.2575,0.40073840722007753,0.3767072425919339,0.35524422116089366,-24.031164628143642,-45.494186059183875
0.2625,0.40726941817551243,0.3787129031347907,0.35774955716706824,-28.55651504072171,-49.51986100844419
0.2675,0.40655969970018957,0.3806436611921608,0.3601828298592479,-25.91603850802876,-46.376869840941694
0.2725,0.40584998122486665,0.3825006312385803,0.36254524482400224,-23.34934998628635,-43.30473640086441
0.2775,0.4051402627495438,0.38428486439038606,0.3648379469435174,-20.85539835915773,-40.30231580602639
0.28250000000000003,0.40443054427422087,0.38599735186476875,0.36706202384810976,-18.433192409452126,-37.368520426111104
0.2875,0.403720825798898,0.3876390281507609,0.36921850909651666,-16.08179764813711,-34.50231670238135
0.2925,0.40301110732357515,0.38921077391852604,0.37130838510894004,-13.800333405049104,-31.702722214635102
