time_s,A1,A2,A3,AR1,AR2,AR3,RF1,RF2,RF3,RM1,RM2,RM3,U1,U2,U3,UR1,UR2,UR3,V1,V2,V3,VR1,VR2,VR3
0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
5.0099999498343095e-05,-3.615234375,-3.954962968826294,2.0266478061676025,912.5245361328125,-11165.6015625,-6893.31494140625,0.0,0.0,0.0,0.0,-0.0,0.0,-7.666268175832158e-10,-8.38671299074889e-10,4.2976211478418236e-10,1.9439015375155577e-07,-2.3656855319131864e-06,-1.4653927564722835e-06,-6.089553062338382e-05,-6.661814404651523e-05,3.413726153667085e-05,0.015414728783071041,-0.1879739612340927,-0.11629275977611542
0.00010009999823523685,-13.934024810791016,-15.243267059326172,7.811107158660889,3477.03759765625,-43129.359375,-26404.716796875,0.0,0.0,0.0,0.0,-0.0,0.0,-1.1967979496319003e-08,-1.3092601669484338e-08,6.709057753795378e-09,3.014179810634232e-06,-3.69785338989459e-05,-2.2792530216975138e-05,-0.00047325348714366555,-0.0005177231505513191,0.00026529727620072663,0.11878165602684021,-1.4632091522216797,-0.8996175527572632
0.0001500999933341518,-30.203693389892578,-33.04128646850586,16.93129539489746,7450.73486328125,-93713.9140625,-56888.9375,0.0,0.0,0.0,0.0,-0.0,0.0,-5.92443747393645e-08,-6.481112535539069e-08,3.321118668964118e-08,1.4820090655121021e-05,-0.00018329432350583375,-0.0001124171685660258,-0.001553491223603487,-0.0016994532197713852,0.0008708501700311899,0.3866013288497925,-4.8112688064575195,-2.9396300315856934
0.00020009999570902437,-51.649803161621094,-56.50162124633789,28.952945709228516,12597.2041015625,-160720.21875,-96727.4296875,0.0,0.0,0.0,0.0,-0.0,0.0,-1.8310883831418323e-07,-2.0031296799061238e-07,1.0264625416311901e-07,4.54973014711868e-05,-0.000567316310480237,-0.0003462126769591123,-0.003579919459298253,-0.003916248679161072,0.00200679711997509,0.8833986520767212,-11.108309745788574,-6.74440336227417
0.0002500000118743628,-77.4021224975586,-84.67210388183594,43.388118743896484,18671.9921875,-241751.109375,-144222.828125,0.0,0.0,0.0,0.0,-0.0,0.0,-4.363283778729965e-07,-4.773209525410493e-07,2.445928544148046e-07,0.00010769864456960931,-0.0013539866777136922,-0.0008221692405641079,-0.0067834556102752686,-0.007420694455504417,0.0038025660905987024,1.6601403951644897,-21.095783233642578,-12.727249145507812
0.00030009998590685427,-106.75221252441406,-116.77758026123047,59.839569091796875,25485.3515625,-335084.5,-198103.984375,0.0,0.0,0.0,0.0,-0.0,0.0,-8.852764494804433e-07,-9.684410997579107e-07,4.962558932675165e-07,0.00021709801512770355,-0.002752184635028243,-0.0016627712175250053,-0.011383830569684505,-0.012453129515051842,0.006381308194249868,2.7637715339660645,-35.500152587890625,-21.2799015045166
0.0003499999875202775,-138.51687622070312,-151.5236053466797,77.64397430419922,32755.1171875,-437705.0,-256382.03125,0.0,0.0,0.0,0.0,-0.0,0.0,-1.599205234015244e-06,-1.7494269286544295e-06,8.964528319665988e-07,0.00038974007475189865,-0.004982523620128632,-0.0029950567986816168,-0.017494872212409973,-0.01913803443312645,0.009806804358959198,4.215339660644531,-54.74592208862305,-32.60341262817383
0.0004000999906565994,-171.9076385498047,-188.04754638671875,96.35926818847656,40307.8046875,-548118.3125,-317966.46875,0.0,0.0,0.0,0.0,-0.0,0.0,-2.6634029381966684e-06,-2.913571506724111e-06,1.4929886447134777e-06,0.000645248219370842,-0.008320149965584278,-0.004975750111043453,-0.025267040356993675,-0.027639957144856453,0.01416336465626955,6.044995307922363,-79.41481018066406,-46.981231689453125
0.00045009999303147197,-205.59352111816406,-224.8933868408203,115.23933410644531,47861.4140625,-663330.25,-380947.75,0.0,0.0,0.0,0.0,-0.0,0.0,-4.155695478402777e-06,-4.546003310679225e-06,2.3294840048038168e-06,0.0010012147249653935,-0.013023646548390388,-0.007748390547931194,-0.03470555320382118,-0.037964560091495514,0.019453883171081543,8.249665260314941,-109.68510437011719,-64.45098876953125
