window,end_time_s,mDeltaV_x_kgm_s,mDeltaV_y_kgm_s,mDeltaV_z_kgm_s,Jmag_plus_Jhyd_x_Ns,Jmag_plus_Jhyd_y_Ns,Jmag_plus_Jhyd_z_Ns,residual_norm_kgm_s,relative_residual
W0_precontact,0.0061499997973442,4.996126708984375e-06,2.3825904846191413e-06,-6.700657606124879e-09,-1.3727628056889402e-08,-8.22519604034894e-09,6.6130389934405465e-09,5.551109560419036e-06,1.0028803835147488
all,0.0083330003544688,4.787337646484376e-06,4.641481876373291e-08,-2.1315814208984373e-06,-1.8682627732370348e-08,-1.1731549188891084e-08,8.140251623368173e-09,5.2611425291611335e-06,1.003910613501866
