time_s,UR1,UR2,UR3,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,VR1,VR2,VR3,omega_norm_rad_s,omega_wobble_rad_s,omega_spin_rad_s,omega_reconstruction_abs_diff_rad_s,omega_reconstruction_rel_diff,H_x_kgm2_s,H_y_kgm2_s,H_z_kgm2_s,Krot_J,Jmag_x_Nmm_s,Jmag_y_Nmm_s,Jmag_z_Nmm_s,Jmag_norm_Nmm_s,Jhydro_norm_Nmm_s,Wmag_J,Whydro_J,Wnonmag_resolved_J,Fhydro_power_W,Thydro_power_W,driver_arc_mm,robot_arc_server_mm,srobot_mm,Vt_mm_s,Fmag_norm_N,Tmag_norm_Nmm,Fhydro_norm_N,Thydro_norm_Nmm,robot_phase_rate_Hz
0.0,0.0,0.0,0.0,0.0038800430279043144,-0.04721927256688744,-0.02924935670948953,0.0,-0.0,0.0,0.05567979259626743,0.05562419960819784,0.002487513117698483,0.05567979259626743,55679792.596267425,1.5581951668986767e-14,-3.5296181410037636e-13,-2.2297284359947391e-13,1.1624435493806675e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.899961226,13.799960625932426,0.0,0.0,2.3609919820510705e-13,3.496913517033817e-10,0.0,0.0,-0.005025295321214365
5.0099999498343095e-05,1.9439015375155577e-07,-2.3656855319131864e-06,-1.4653927564722835e-06,0.030111686950802574,-0.36941592957933195,-0.22769760857957919,0.015414728783071,-0.1879739612340927,-0.1162927597761154,0.4349954524714532,0.4345585257931779,0.019491827295158207,0.21342031017056803,0.963193279595842,1.1990653042546792e-13,-2.761345515275177e-12,-1.7359468862779553e-12,7.094832814746423e-13,7.427145601054503e-11,-1.7999194870001122e-09,-1.1348760475025472e-09,2.1291242453308536e-09,1.653805094032663e-14,9.255606108012538e-13,-7.19074949232405e-18,-2.2770176482041816e-13,-9.592915132099877e-17,-2.8705587083137043e-10,18.900261225996992,13.799960625932426,2.416984483243579e-09,9.648640748283892e-05,5.739883670622545e-08,8.499463101574455e-05,1.0455576171784858e-12,6.602016409550494e-10,-0.03919405260449343
0.0001000999982352,3.014179810634232e-06,-3.69785338989459e-05,-2.2792530216975138e-05,0.14625700075690914,-1.8092864905897408,-1.1095178293437509,0.1187816560268402,-1.4632091522216797,-0.8996175527572632,2.1274253286384965,2.125275345609432,0.095620260809749,0.4056877429884241,0.23562607506652875,5.772561976227706e-13,-1.3524111934267636e-11,-8.459736491292695e-12,1.696982462433288e-11,4.256507709464918e-10,-1.0527652402766344e-08,-6.602306345336865e-09,1.243394920248409e-08,1.616786664569881e-13,1.9240301472945774e-11,-2.8790671265604406e-16,-2.2821012841066992e-12,-5.8287435564042634e-15,-1.094158293938498e-08,18.90056122598941,13.799960625932426,2.3575309414368118e-08,0.0007498466111429367,2.2100366413588678e-07,0.0003271991882931969,8.150080459616254e-12,5.145427342375656e-09,-0.19068447012645115
0.0001500999933341,1.482009065512102e-05,-0.0001832943235058,-0.000112417168566,0.42483058666880485,-5.3033778670027445,-3.234201687037236,0.3866013288497925,-4.81126880645752,-2.9396300315856934,6.226263597055496,6.219929586632132,0.28077449555949907,0.5748088933024245,0.10170949794088978,1.6603164534296272e-12,-3.964138435124075e-11,-2.4662741201452585e-11,1.453514363996931e-10,1.2860668991649644e-09,-3.251451063407282e-08,-2.0275371119078542e-08,3.833977104598731e-08,7.129689067238073e-13,1.469255421212864e-10,-3.1918189050111948e-15,-1.5857301570870993e-12,-6.293757058402362e-14,-1.052149161407134e-07,18.900861225960004,13.799960625932426,1.0385690663600773e-07,0.0024614175924971876,4.788899921148976e-07,0.0007090380096717024,2.6781660451422667e-11,1.6906219236901956e-08,-0.5559834580160483
0.000200099995709,4.54973014711868e-05,-0.0005673163104802,-0.0003462126769591,0.9297075127965322,-11.718639620598264,-7.104625658632906,0.8833986520767212,-11.108309745788574,-6.74440336227417,13.735595231591196,13.721524769579155,0.6215580133314205,0.7102162835786993,0.05452534757811586,3.595155895858248e-12,-8.759222882057323e-11,-5.418469100817385e-11,7.073830763005503e-10,2.8363505107955062e-09,-7.338476256529306e-08,-4.549277943044572e-08,8.638843233495855e-08,2.1102321235477572e-12,6.734488353164027e-10,-1.9202960078111634e-14,3.392261654865384e-11,-3.34639289916234e-13,-5.352307003634183e-07,18.901161225974253,13.799960625932426,3.071960717352388e-07,0.00567214862514393,8.187871185035072e-07,0.001212921950291917,6.175789657203373e-11,3.898445506437475e-08,-1.222682758608844
0.0002500000118743,0.0001076986445696,-0.0013539866777136,-0.0008221692405641,1.715959691387711,-21.848682923146114,-13.165596991059344,1.6601403951644895,-21.095783233642575,-12.727249145507812,25.566431257992086,25.540054144607918,1.1610519196533597,0.8729963172803489,0.035353224092072554,6.561722479699243e-12,-1.6330573809756317e-10,-1.0042698463646454e-10,2.4507280746281187e-09,5.203735893732557e-09,-1.3789579384940736e-07,-8.497565524418072e-08,1.6205922007953707e-07,4.927394152446719e-12,2.249016129550574e-09,-7.969289726215475e-14,2.01700320642051e-10,-1.202842980603242e-12,-1.8892148943499255e-06,18.90146062607125,13.799960625932426,7.168761382500058e-07,0.010747888801603626,1.2269635772276227e-06,0.0018200081666777004,1.170988454462823e-10,7.392826978572909e-08,-2.263206089606443
0.0003000999859068,0.0002170980151277,-0.0027521846350282,-0.001662771217525,2.8202089893536413,-36.285367470066454,-21.72892563060841,2.7637715339660645,-35.500152587890625,-21.2799015045166,42.387824669849465,42.34377599864288,1.9319198789426322,0.9062947993746499,0.0218480501557974,1.0659833582680272e-11,-2.711996283894642e-10,-1.65783424469178e-10,6.7364684167152095e-09,8.49274878044027e-09,-2.307078268257788e-07,-1.4131147137110824e-07,2.7067907211601853e-07,9.890813231525592e-12,6.0837313987461634e-09,-2.588484210448538e-13,6.527253935335522e-10,-3.391900286578228e-12,-5.262705929660094e-06,18.901761225915443,13.799960625932426,1.4379310921426354e-06,0.01803675501577157,1.6919696846000388e-06,0.0025161869862299472,1.9667437315291324e-10,1.2421346111227015e-07,-3.746614599927742
0.0003499999875202,0.0003897400747518,-0.0049825236201286,-0.0029950567986816,4.280800547957882,-55.67961323635453,-33.12994087974017,4.215339660644531,-54.74592208862305,-32.60341262817383,64.93179164459042,64.86381903785869,2.9702770915221075,1.0739163313859637,0.016817207662214898,1.598630042425172e-11,-4.1612755656116853e-10,-2.5283766871698826e-10,1.5807376293348104e-08,1.272171436612846e-08,-3.5452586528901936e-07,-2.1583956078394757e-07,4.152555203422932e-07,1.77614189818119e-11,1.4050746551737186e-08,-6.998335218613731e-13,1.7566181171754239e-09,-8.024618764645687e-12,-1.2412047038608293e-05,18.90206062592512,13.799960625932426,2.5795387708072947e-06,0.027719062288975613,2.1953359537258546e-06,0.0032785926008168606,3.0259524413518844e-10,1.9124415552787312e-07,-5.711434997974255
0.0004000999906565,0.0006452482193708,-0.0083201499655842,-0.0049757501110434,6.1066409271621165,-80.33078457243873,-47.48629086400729,6.044995307922363,-79.41481018066406,-46.981231689453125,93.51616883436763,93.4175466988024,4.293693309381348,1.0478043894543283,0.011331429661620545,2.25225072074504e-11,-6.003072090442872e-10,-3.62527291688038e-10,3.278788118527644e-08,1.792842602781946e-08,-5.130737436104249e-07,-3.104636737498848e-07,5.999614883978187e-07,2.9489724729215346e-11,2.8966131981826278e-08,-1.6592440497071882e-12,3.821737579014668e-09,-1.6777040599123467e-11,-2.588777203468327e-05,18.902361225943938,13.799960625932426,4.276732056130673e-06,0.04003316042869823,2.7244355176787166e-06,0.004095125555998665,4.3771418870913097e-10,2.769565203014103e-07,-8.213350204991325
0.0004500999930314,0.0010012147249653,-0.0130236465483903,-0.0077483905479311,8.310184565865725,-110.62332218239766,-64.95690565960066,8.249665260314941,-109.6851043701172,-64.45098876953125,128.55340590999356,128.41681543564445,5.924498664629695,1.0676456103418317,0.008374577428877393,3.02570342725659e-11,-8.265812496558244e-10,-4.96124185718389e-10,6.195864867849073e-08,2.404873760125293e-08,-7.074620552555931e-07,-4.2548452354689685e-07,8.25904341424969e-07,4.596014376207706e-11,5.440760649480198e-08,-3.5331227983887303e-12,7.551030559253254e-09,-3.175019749906614e-11,-4.906737435235888e-05,18.902661225958187,13.799960625932426,6.652243057098966e-06,0.05498727509675286,3.258222448270953e-06,0.004942950777908554,6.025045297525782e-10,3.818689735026608e-07,-11.268557992462695
