time_s,V1,V2,V3,dU1_dt,dU2_dt,dU3_dt,V_vs_dU_abs_mm_s,VR1_direct,VR2_direct,VR3_direct
0.0,0.0,0.0,0.0,-1.5301932639910895e-05,-1.6739946256938098e-05,8.57808620933011e-06,2.4247855703468827e-05,0.0,-0.0,0.0
5.0099999498343095e-05,-6.089553062338382e-05,-6.661814404651523e-05,3.413726153667085e-05,-0.00011976875503783856,-0.00013102333607717607,6.71404469965938e-05,9.329145493539651e-05,0.015414728783071,-0.1879739612340927,-0.1162927597761154
0.0001000999982352,-0.0004732534871436,-0.0005177231505513,0.0002652972762007,-0.0005847775415128152,-0.0006397246087114395,0.0003278142806698001,0.0001767210976197732,0.1187816560268402,-1.4632091522216797,-0.8996175527572632
0.0001500999933341,-0.0015534912236034,-0.0016994532197713,0.0008708501700311,-0.001711408519961303,-0.001872203588585419,0.0009593719258528863,0.0002502332185545632,0.3866013288497925,-4.81126880645752,-2.9396300315856934
0.000200099995709,-0.0035799194592982,-0.003916248679161,0.002006797119975,-0.0037772134353709014,-0.004132070408047509,0.002117389392341182,0.0003126253066551927,0.8833986520767212,-11.108309745788574,-6.74440336227417
0.0002500000118743,-0.0067834556102752,-0.0074206944555044,0.0038025660905987,-0.007013905425131201,-0.007672780777041044,0.003931740501092891,0.00036515840261393837,1.6601403951644895,-21.095783233642575,-12.727249145507812
0.0003000999859068,-0.0113838305696845,-0.0124531295150518,0.0063813081942498,-0.011639462212814027,-0.012732757680448946,0.0065245940610306665,0.0004050559066000883,2.7637715339660645,-35.500152587890625,-21.2799015045166
0.0003499999875202,-0.0174948722124099,-0.0191380344331264,0.0098068043589591,-0.017767395377255392,-0.019436132232665573,0.009959553135751725,0.0004318140366860973,4.215339660644531,-54.74592208862305,-32.60341262817383
0.0004000999906565,-0.0252670403569936,-0.0276399571448564,0.0141633646562695,-0.025547957523441484,-0.027947227341602418,0.014320813167381015,0.000445106124272266,6.044995307922363,-79.41481018066406,-46.981231689453125
0.0004500999930314,-0.0347055532038211,-0.0379645600914955,0.0194538831710815,-0.03498333153469354,-0.03826839223853638,0.019609569232025545,0.000440128304304579,8.249665260314941,-109.6851043701172,-64.45098876953125
0.0005000000237487,-0.0457881912589073,-0.0500874929130077,0.0256658736616373,-0.04605399052215454,-0.05037821228228904,0.025814837924808993,0.0004211381622702931,10.821772575378418,-145.7132110595703,-85.03112030029297
0.0005500999977812,-0.0585109591484069,-0.0640043318271637,0.032797060906887,-0.05875358846036403,-0.06426971125869477,0.032933033788614764,0.00038442665134703723,13.759864807128906,-187.80227661132807,-108.81456756591795
0.0006000999710522,-0.0726602301001548,-0.0794813707470893,0.0407276712357997,-0.07286723005502814,-0.07970776594807462,0.04084366315674476,0.00032796020196248495,17.015974044799805,-235.6612091064453,-135.5504150390625
0.0006501000025309,-0.0880492851138114,-0.0963143035769462,0.0493530072271823,-0.08820952020953035,-0.09648952590505075,0.04944278966820617,0.0002538484525906064,20.5499324798584,-289.1811828613281,-165.0876922607422
0.0006999999750405,-0.1043658480048179,-0.1141615435481071,0.0584980212152004,-0.10446885258727617,-0.11427416956685241,0.05855572458294259,0.0001631693683097756,24.29320526123047,-347.9169921875,-197.08702087402344
0.0007500000065192,-0.1213318184018135,-0.132718876004219,0.0680068135261535,-0.12136789100952539,-0.13275826662602977,0.06802699472313513,5.709759036410112e-05,28.18410873413086,-411.64111328125,-231.32737731933597
0.0008000999805517,-0.1385465711355209,-0.1515480726957321,0.0776548311114311,-0.13850703164954387,-0.1515047587533918,0.07763262094650913,6.271172121897368e-05,32.12995147705078,-479.7698974609375,-267.395263671875
0.0008501000120304,-0.1554888635873794,-0.1700790077447891,0.0871499255299568,-0.15536832736341522,-0.1699471638496864,0.08708233637133656,0.00019099761340496076,36.005271911621094,-551.2665405273438,-304.6481628417969
0.0009000999853014,-0.1717075854539871,-0.1878182739019394,0.0962392687797546,-0.17150423766453976,-0.18759583888051778,0.09612527227453607,0.0003222155573990574,39.69335174560547,-625.3439331054688,-342.59136962890625
0.0009500000160187,-0.1866756230592727,-0.2041894048452377,0.1046274900436401,-0.18639129126019388,-0.20387835953328948,0.1044681097545545,0.00045055059050164376,43.05094528198242,-700.776611328125,-380.5252380371094
0.0010000000474974,-0.1999678313732147,-0.2187274098396301,0.112076349556446,82.19351322425129,187.97612640889383,-207.3788407391462,291.9905296385979,45.94718551635742,-776.6483154296875,-417.9319458007813
0.0010500999633222,180.4090576171875,412.4405212402344,-454.8954772949219,172.5777155625547,394.49867219196517,-435.0997360051802,27.84081965133071,379.011962890625,-183.15570068359372,432.1463012695313
0.0011000999948009,180.3805694580078,412.4032897949219,-454.8637390136719,180.38042903369723,412.40302741641887,-454.8634477370053,0.000416417533664797,383.3873596191406,-253.8181915283203,397.3111877441406
0.0011500000255182,180.3520050048828,412.365966796875,-454.8320617675781,180.35190130131423,412.36568400849467,-454.8317572649182,0.0004283054611777972,387.4588317871094,-325.2041015625,364.6932067871094
0.0012001000577583,180.32334899902344,412.32855224609375,-454.8003845214844,180.32348065686563,412.3288011152249,-454.80068395775436,0.000411013030978111,391.1863098144531,-397.61468505859375,334.1832580566406
0.0012499999720603,180.2949676513672,412.2915954589844,-454.7691650390625,193.10983904696707,290.3318239995384,-303.66394828189505,194.60522427354465,394.4477844238281,-470.3274230957031,306.09033203125
0.0013001000043004,226.198974609375,-22.80802726745605,84.34245300292969,216.0855304283968,72.42873182960443,-33.677097709660075,151.98992199127824,391.1544799804688,188.898193359375,978.8436889648438
0.0013501000357791,226.17958068847656,-22.82364654541016,84.3498764038086,226.17940675893306,-22.82393900216084,84.35002325611595,0.00037060496124408955,409.3949279785156,134.57711791992188,937.3743896484376
0.0013999999500811,226.15866088867188,-22.840805053710938,84.35816955566406,226.15851588104397,-22.84099799272485,84.35833248367567,0.0002912013259015614,427.5763244628906,78.78005981445312,898.1654663085938
0.0014500999823212,226.13626098632807,-22.859378814697266,84.36727142333984,226.135959811372,-22.85952280311676,84.36736002876592,0.00034538375850398884,445.9217529296875,21.27921295166016,861.220947265625
0.0015000000130385,226.11276245117188,-22.878990173339844,84.37701416015625,226.1123615628103,-22.879188010251255,84.37708131984061,0.0004520634304749609,464.3679504394531,-37.3568229675293,827.037353515625
0.0015501000452786,226.0878143310547,-22.8999137878418,84.38755798339844,226.0877764492093,-22.900036749600304,84.38766842251277,0.00016956245528055745,483.1126708984375,-97.49026489257812,795.5140991210938
