time_s,s_COM_mm,Vt_direct_mm_s,Vt_from_s_mm_s,projection_residual_mm
0.0,13.814214392213609,0.0,1.1817276040830467e-05,0.5126674210434573
5.0099999498343095e-05,13.814214392805654,4.702812276129181e-05,9.249462164007127e-05,0.5126674221017838
0.0001000999982352,13.814214401456198,0.0003654829046013339,0.00045161083107814193,0.5126674375651131
0.0001500999933341,13.814214437966735,0.0011997287785882934,0.0013216859370004386,0.5126675028291533
0.000200099995709,13.8142145336248,0.002764703587956199,0.0029170716006774455,0.5126676738201553
0.0002500000118743,13.814214729181687,0.005238746212223879,0.0054167211637832224,0.5126680233792287
0.0003000999859068,13.814215075897035,0.00879155831398025,0.0089889821538236,0.5126686431288515
0.0003499999875202,13.814215627254045,0.01351105598736792,0.013721526775043458,0.5126696286634774
0.0004000999906565,13.814216449120845,0.019513447144508134,0.0197304024186451,0.5126710977112375
0.0004500999930314,13.814217601602921,0.026802771791482098,0.027017303975299,0.5126731576972451
0.0005000000237487,13.81421914735789,0.03536188003769894,0.03556716308230534,0.512675920604674
0.0005500999977812,13.814221160158606,0.04518769789938815,0.045375087327556685,0.5126795182792968
0.0006000999710522,13.814223688362894,0.0561152506584789,0.05627512652426958,0.5126840371392631
0.0006501000025309,13.814226787672194,0.06800034820195922,0.06812410839484073,0.512689576720805
0.0006999999750405,13.814230492734506,0.08060182245085698,0.0806813832023181,0.5126961989317395
0.0007500000065192,13.814234849031067,0.09370490186890075,0.09373277393751778,0.5127039850417094
0.0008000999805517,13.814239876707632,0.10700018316414538,0.10696966177783906,0.5127129710299174
0.0008501000120304,13.814245555373525,0.1200851045367202,0.11999201981234364,0.5127231204370705
0.0009000999853014,13.814251875909436,0.1326112648620171,0.1324542232323438,0.5127344169474702
0.0009500000160187,13.814258786344165,0.1441715473618026,0.14395196171244606,0.5127467676468753
0.0010000000474974,13.814266257813745,0.15443759544986496,-21.520473706594203,0.5127601209524207
0.0010500999633222,13.812100254768046,-47.309017806332335,-45.26882245141314,0.48536264292470893
0.0011000999948009,13.809735257227057,-47.29085825132627,-47.29080357940984,0.45566908056595956
0.0011500000255182,13.807375898727477,-47.27261804023324,-47.272603480902035,0.42635693652568957
0.0012001000577583,13.80500799755048,-47.25429544652329,-47.25434082510765,0.397322090014694
0.0012499999720603,13.802650463526104,-47.23610797119147,-101.24376256548567,0.36888825312691925
0.0013001000043004,13.794861971228489,-240.100482805561,-197.81787926983088,0.3570238488332655
0.0013501000357791,13.782857344626196,-240.08434952335847,-240.08423337491695,0.35785102303664335
0.0013999999500811,13.770877567701751,-240.0670313174424,-240.0669394331344,0.3586836803251714
0.0014500999823212,13.75885066719097,-240.04855046490326,-240.04828689817805,0.3595269080261035
0.0015000000130385,13.746872720125419,-240.02921439536772,-240.02885309737758,0.36037401285503845
0.0015501000452786,13.7348477707851,-240.00873613954897,-240.00873210444115,0.3612318204220173
0.001600099960342,13.72284785667657,-239.98758660126344,-239.98772768082563,0.3620952447373767
0.0016499999910593,13.710873007614042,-239.96596668909285,-239.96576156301307,0.3629642455149774
0.0017001000232994,13.69885126983185,-239.94387778531544,-239.94355927713332,0.36384405473076775
0.0017501000547781,13.68685463981724,-239.92162872982553,-239.92177241735044,0.3647294025319815
0.0018000999698415,13.674859105413342,-239.89930693761696,-239.89957504763152,0.36562199070811513
0.0018501000013202,13.662864695139687,-239.8770653846672,-239.8768966704083,0.3665217745054497
