time_s,Krot_J,Wmag_J,Whydro_J,Wnonmag_resolved_J,Fhydro_power_W,Thydro_power_W
0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0099999498343095e-05,7.094832814746423e-13,9.255601233717095e-13,-7.19074949232405e-18,-2.1607684189706718e-13,-9.592915132099878e-17,-2.8705587083137043e-10
0.0001000999982352,1.696982462433288e-11,1.924030098551623e-11,-2.8790671265604406e-16,-2.2704763611833504e-12,-5.8287435564042634e-15,-1.094158293938498e-08
0.0001500999933341,1.453514363996931e-10,1.4692554163385685e-10,-3.1918189050111948e-15,-1.5741052341637537e-12,-6.293757058402362e-14,-1.052149161407134e-07
0.000200099995709,7.073830763005503e-10,6.734488348289731e-10,-1.9202960078111634e-14,3.393424147157713e-11,-3.34639289916234e-13,-5.352307003634183e-07
0.0002500000118743,2.4507280746281187e-09,2.2490161290631444e-09,-7.969289726215475e-14,2.0171194556497428e-10,-1.2028429806032418e-12,-1.8892148943499255e-06
0.0003000999859068,6.7364684167152095e-09,6.083731398258734e-09,-2.588484210448538e-13,6.527370184564755e-10,-3.391900286578228e-12,-5.262705929660094e-06
0.0003499999875202,1.5807376293348104e-08,1.4050746551249756e-08,-6.998335218613731e-13,1.756629742098348e-09,-8.024618764645687e-12,-1.2412047038608293e-05
0.0004000999906565,3.278788118527644e-08,2.8966131981338847e-08,-1.6592440497071882e-12,3.821749203937594e-09,-1.6777040599123467e-11,-2.588777203468327e-05
0.0004500999930314,6.195864867849073e-08,5.440760649431455e-08,-3.5331227983887303e-12,7.551042184176177e-09,-3.1750197499066134e-11,-4.906737435235888e-05
0.0005000000237487,1.0868048422859903e-07,9.48848732916118e-08,-6.907566865660328e-12,1.3795610936987226e-08,-5.548837979269832e-11,-8.61808016012364e-05
0.0005500999977812,1.7904047832536196e-07,1.5606553832907278e-07,-1.2631237212952284e-11,2.2974939996289175e-08,-9.107332338068749e-11,-0.0001423091510513934
0.0006000999710522,2.8033005446898717e-07,2.436529659845499e-07,-2.1764963034653e-11,3.667708848443726e-08,-1.4133208427615206e-10,-0.0002230400771250254
0.0006501000025309,4.1956520021019286e-07,3.6412608957558104e-07,-3.5696124165434664e-11,5.543911063461183e-08,-2.0910723605166182e-10,-0.0003342060172785888
0.0006999999750405,6.044980534254601e-07,5.23475539753893e-07,-5.605317296159594e-11,8.102251367156709e-08,-2.963733369068831e-10,-0.0004817082116218329
0.0007500000065192,8.418089729138264e-07,7.281697475821719e-07,-8.487704411582396e-11,1.1363922533165453e-07,-4.0457741024464896e-10,-0.0006712459086773508
0.0008000999805517,1.1370123937237357e-06,9.831631423487255e-07,-1.2442195615185657e-10,1.5384925137501023e-07,-5.333867285659462e-10,-0.0009073941125881174
0.0008501000120304,1.4940538368030754e-06,1.2904855604028917e-06,-1.769245038013425e-10,2.0356827640018364e-07,-6.798292327672616e-10,-0.0011927064712225952
0.0009000999853014,1.9125848743349123e-06,1.6512788727574852e-06,-2.449322908654724e-10,2.61306001577427e-07,-8.393701519894759e-10,-0.0015276064655674938
0.0009500000160187,2.391119493223067e-06,2.0623934023402476e-06,-3.3070207932957804e-10,3.2872609088281957e-07,-1.0045111054835546e-09,-0.0019100582905934539
0.0010000000474974,7.594606576639033e-07,2.395311198032111e-06,-4.0641720301687066e-10,-1.6358505403682078e-06,-1.1666397638985206e-09,-0.0011185447501685282
0.0010500999633222,4.217770982424573e-07,2.5125114450548907e-06,-4.452149191351958e-10,-2.0907343468124334e-06,-0.0047413911439932906,-0.0004302688747485706
0.0011000999948009,4.745137559461232e-07,2.5283529176082226e-06,-4.675088358202779e-10,-2.053839161662099e-06,-0.004744063214466947,-0.0004614872312282557
0.0011500000255182,5.341215681764703e-07,2.578111095215124e-06,-4.917549512988394e-10,-2.0439895270386536e-06,-0.004740785826284485,-0.0005103003660950291
0.0012001000577583,6.462409147629867e-07,2.673393672173896e-06,-5.19602855476227e-10,-2.027152757410909e-06,-0.0047314311073957775,-0.0006013917000469172
0.0012499999720603,6.523233439007325e-07,2.740117508122907e-06,-5.485877219182727e-10,-2.0877941642221744e-06,-0.004715712388275456,-0.0005603283889546823
0.0013001000043004,1.604962047575789e-06,2.6502087262504695e-06,-6.066076298349865e-10,-1.0452466786746805e-06,-0.0002520571067370188,-0.0017558341092512421
0.0013501000357791,2.274396230448841e-06,2.4197004338557943e-06,-6.998235816924899e-10,-1.453042034069534e-07,-0.0002475036362452926,-0.001972801617596785
0.0013999999500811,1.993512932750151e-06,2.1768323078207267e-06,-7.927214536731108e-10,-1.8331937507057572e-07,-0.00024463212759909394,-0.0017505663793257126
0.0014500999823212,1.765690614533448e-06,1.9777993685434193e-06,-8.759052452347774e-10,-2.1210875400997132e-07,-0.00024318713298826243,-0.0015701417257316143
0.0015000000130385,1.5909328083248554e-06,1.8255021211563582e-06,-9.508300247700747e-10,-2.345693128315027e-07,-0.0002429717149737197,-0.0014328536014564834
0.0015501000452786,1.471602167600739e-06,1.719648639127793e-06,-1.0202776461399844e-09,-2.480464715270541e-07,-0.00024381444537652466,-0.001339504749016741
