time_s,H_x_kgm2_s,H_y_kgm2_s,H_z_kgm2_s,Krot_J
0.0,1.5581951668986767e-14,-3.5296181410037636e-13,-2.2297284359947391e-13,1.1624435493806675e-14
5.0099999498343095e-05,1.1990653042546792e-13,-2.761345515275177e-12,-1.7359468862779553e-12,7.094832814746423e-13
0.0001000999982352,5.772561976227706e-13,-1.3524111934267636e-11,-8.459736491292695e-12,1.696982462433288e-11
0.0001500999933341,1.6603164534296272e-12,-3.964138435124075e-11,-2.4662741201452585e-11,1.453514363996931e-10
0.000200099995709,3.595155895858248e-12,-8.759222882057323e-11,-5.418469100817385e-11,7.073830763005503e-10
0.0002500000118743,6.561722479699243e-12,-1.6330573809756317e-10,-1.0042698463646454e-10,2.4507280746281187e-09
0.0003000999859068,1.0659833582680272e-11,-2.711996283894642e-10,-1.65783424469178e-10,6.7364684167152095e-09
0.0003499999875202,1.598630042425172e-11,-4.1612755656116853e-10,-2.5283766871698826e-10,1.5807376293348104e-08
0.0004000999906565,2.25225072074504e-11,-6.003072090442872e-10,-3.62527291688038e-10,3.278788118527644e-08
0.0004500999930314,3.02570342725659e-11,-8.265812496558244e-10,-4.96124185718389e-10,6.195864867849073e-08
0.0005000000237487,3.91152790726251e-11,-1.0965417950334225e-09,-6.541156694061263e-10,1.0868048422859903e-07
0.0005500999977812,4.894091266940286e-11,-1.4097186618142968e-09,-8.357767996534719e-10,1.7904047832536196e-07
0.0006000999710522,5.959492966851328e-11,-1.766827010820387e-09,-1.0410603939341144e-09,2.8033005446898717e-07
0.0006501000025309,7.081211401750304e-11,-2.1649701358009566e-09,-1.267857167179991e-09,4.1956520021019286e-07
0.0006999999750405,8.234980148886693e-11,-2.6027639541833467e-09,-1.5149451528952022e-09,6.044980534254601e-07
0.0007500000065192,9.38781649561089e-11,-3.07622907931879e-09,-1.779684705548446e-09,8.418089729138264e-07
0.0008000999805517,1.0503589007296309e-10,-3.5806028617414676e-09,-2.0590716415833447e-09,1.1370123937237357e-06
0.0008501000120304,1.1542567183936061e-10,-4.110600976562678e-09,-2.349858253692372e-09,1.4940538368030754e-06
0.0009000999853014,1.2460095633584466e-10,-4.657606630002439e-09,-2.647116202563698e-09,1.9125848743349123e-06
0.0009500000160187,1.321424195574123e-10,-5.215135290720375e-09,-2.9471443545381237e-09,2.391119493223067e-06
0.0010000000474974,1.4571755878252355e-10,-3.1417532446409314e-09,-8.286881903453851e-10,7.594606576639033e-07
0.0010500999633222,1.0660122445588504e-10,-8.699300554963451e-10,1.5754837480147028e-09,4.217770982424573e-07
0.0011000999948009,1.1008413848852537e-10,-1.1802233239735933e-09,1.524497686529391e-09,4.745137559461232e-07
0.0011500000255182,1.2702727059448102e-10,-1.7362584890763561e-09,1.2412628602880698e-09,5.341215681764703e-07
0.0012001000577583,1.4844797330436713e-10,-2.2909995283602962e-09,9.645620024932568e-10,6.462409147629867e-07
0.0012499999720603,-6.665430883813854e-11,-1.2244138598743012e-09,2.0090906787702242e-09,6.523233439007325e-07
0.0013001000043004,-5.374685670435664e-10,1.0411654669907977e-09,4.128770128540156e-09,1.604962047575789e-06
0.0013501000357791,-7.416057461437948e-10,1.7044872668554012e-09,4.928338334556671e-09,2.274396230448841e-06
0.0013999999500811,-6.701399393106044e-10,1.156549948333522e-09,4.6533551247693074e-09,1.993512932750151e-06
0.0014500999823212,-5.866620932381792e-10,6.038742739980062e-10,4.384350074152916e-09,1.765690614533448e-06
0.0015000000130385,-4.901127269823875e-10,4.578936789870553e-11,4.119939959008072e-09,1.5909328083248554e-06
0.0015501000452786,-3.814277656849842e-10,-5.143627905785271e-10,3.862799050329402e-09,1.471602167600739e-06
0.001600099960342,-2.6016577312522227e-10,-1.0764211993769372e-09,3.6123846772946753e-09,1.4076523122685276e-06
0.0016499999910593,-1.266490944702826e-10,-1.6393503081738357e-09,3.3694875786751053e-09,1.3995638322323562e-06
0.0017001000232994,1.8647941615267075e-11,-2.201102114074487e-09,3.134879076009919e-09,1.4471455837211217e-06
0.0017501000547781,1.7566806451547651e-10,-2.761829695120825e-09,2.908503964765234e-09,1.5500835200522375e-06
0.0018000999698415,3.435554004978004e-10,-3.3190791186864743e-09,2.691255734508792e-09,1.7072902600201202e-06
0.0018501000013202,5.216943694625252e-10,-3.871528980457492e-09,2.4834251022787846e-09,1.917278258058961e-06
0.0019000000320374,7.094509487401543e-10,-4.419206406405934e-09,2.2853825148790442e-09,2.179003843877708e-06
0.0019500999478623,1.0650788663807508e-09,-3.714810555420935e-09,1.6372528726216874e-09,1.6475504443213877e-06
0.0020000000949949,1.5470140155681008e-09,-1.6461137584488112e-09,5.815721783755785e-10,7.847843596516155e-07
0.0020500998944044,1.8733073121992117e-09,-8.318942237836724e-10,-1.489370433235399e-11,6.802592909768331e-07
0.0021001000422984,2.323125828862329e-09,-3.5801712283474683e-10,-5.033735187767432e-10,8.321410015989037e-07
0.0021500000730156,3.133034829916211e-09,1.7862536137504949e-09,-1.4103857305018674e-09,1.5691181845618954e-06
0.0022001001052558,3.656853473710726e-09,2.915588378342204e-09,-1.978419661009751e-09,2.3765815643918695e-06
0.0022501000203192,3.832451512782877e-09,2.347341675202556e-09,-2.1875309832431006e-09,2.3309870280824957e-06
0.0023000000510364,3.9840111995938954e-09,1.7717585789252994e-09,-2.3970893324136615e-09,2.323892207375129e-06
0.0023499999660998,4.110837175291865e-09,1.1910795589763366e-09,-2.6060746330724363e-09,2.3551364344302867e-06
0.00240009999834,4.212510369809762e-09,6.078398498186798e-10,-2.813741239463948e-09,2.4242216339146525e-06
0.0024500000290572,4.288783850149273e-09,2.037460066460758e-11,-3.020230156357725e-09,2.5304993867851066e-06
0.0024999999441206,4.338800308025244e-09,-5.662141009251454e-10,-3.2238375316606224e-09,2.6724013646282684e-06
0.0025500999763607,4.362400926159833e-09,-1.1507003233559898e-09,-3.424389804326488e-09,2.8485484626987994e-06
