time_s,exact_gap_mm,nearest_node,nearest_wall_element,CPRESS_max_MPa,CNORMF_max_N,CSHEARF_max_N,near_wall,geometric_contact,solver_contact
0.0,0.2693853981525386,119,450,0.0,0.0,0.0,False,False,False
5.0099999498343095e-05,0.269382860056602,119,450,0.0,0.0,0.0,False,False,False
0.0001000999982352,0.2693464031093052,119,450,0.0,0.0,0.0,False,False,False
0.0001500999933341,0.2691923041942245,119,450,0.0,0.0,0.0,False,False,False
0.000200099995709,0.2687906065735331,119,450,0.0,0.0,0.0,False,False,False
0.0002500000118743,0.2679705173912673,119,450,0.0,0.0,0.0,False,False,False
0.0003000999859068,0.266519263230853,119,450,0.0,0.0,0.0,False,False,False
0.0003499999875202,0.2642154451026827,119,450,0.0,0.0,0.0,False,False,False
0.0004000999906565,0.260784196921808,119,450,0.0,0.0,0.0,False,False,False
0.0004500999930314,0.2559754054018375,119,450,0.0,0.0,0.0,False,False,False
0.0005000000237487,0.2495225001911323,119,450,0.0,0.0,0.0,False,False,False
0.0005500999977812,0.2411103265502653,119,450,0.0,0.0,0.0,False,False,False
0.0006000999710522,0.2305202025074166,119,450,0.0,0.0,0.0,False,False,False
0.0006501000025309,0.2174940855409514,119,450,0.0,0.0,0.0,False,False,False
0.0006999999750405,0.2018539630258927,119,450,0.0,0.0,0.0,False,False,False
0.0007500000065192,0.18021392537567,130,441,0.0,0.0,0.0,False,False,False
0.0008000999805517,0.1475931275079192,130,429,0.0,0.0,0.0,False,False,False
0.0008501000120304,0.1165439831083665,130,429,0.0,0.0,0.0,False,False,False
0.0009000999853014,0.0818114156641417,130,429,0.0,0.0,0.0,False,False,False
0.0009500000160187,0.0436660561917512,130,429,0.0,0.0,0.0,False,False,False
0.0010000000474974,0.0022790546266628,130,429,0.0,0.0,0.0,True,False,False
0.0010500999633222,0.0350264467329996,130,429,0.0,0.0,0.0,False,False,False
0.0011000999948009,0.0712804737932546,130,429,0.0,0.0,0.0,False,False,False
0.0011500000255182,0.0933997824212482,74,388,0.0,0.0,0.0,False,False,False
0.0012001000577583,0.060035670810114,74,388,0.0,0.0,0.0,False,False,False
0.0012499999720603,0.0236730842791823,74,388,0.0,0.0,0.0,False,False,False
0.0013001000043004,0.0268036663919287,74,388,0.0,0.0,0.0,False,False,False
0.0013501000357791,0.0562564119134643,7,389,0.0,0.0,0.0,False,False,False
0.0013999999500811,0.0745744258128517,7,389,0.0,0.0,0.0,False,False,False
0.0014500999823212,0.0898409757077506,7,389,0.0,0.0,0.0,False,False,False
0.0015000000130385,0.101756868741561,7,389,0.0,0.0,0.0,False,False,False
0.0015501000452786,0.1102861971789622,7,389,0.0,0.0,0.0,False,False,False
0.001600099960342,0.1152913727743219,7,389,0.0,0.0,0.0,False,False,False
0.0016499999910593,0.1167672098021493,7,389,0.0,0.0,0.0,False,False,False
0.0017001000232994,0.1147322487458498,7,389,0.0,0.0,0.0,False,False,False
