frame,time_s,min_signed_gap_mm,signed_node,signed_wall_element,min_unsigned_distance_mm,nearest_node,nearest_wall_element,CPRESS_max_MPa,CPRESS_active_values,CNORMF_max_N,CSHEARF_max_N,discrepancy_flag,contact_surface_name,geometric_wall_source
28,0.0013999999500811,0.0745744258128517,7,389,0.0855875484697684,7,389,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
29,0.0014500999823212,0.0898409757077506,7,389,0.0966880406546174,7,389,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
30,0.0015000000130385,0.101756868741561,7,389,0.1072334314056966,7,389,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
31,0.0015501000452786,0.1102861971789622,7,389,0.1160574553717761,7,389,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
32,0.001600099960342,0.1152913727743219,7,389,0.1229016726687669,7,389,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
33,0.0016499999910593,0.1167672098021493,7,389,0.1282541049539056,7,389,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
34,0.0017001000232994,0.1147322487458498,7,389,0.1312359916359927,56,401,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
35,0.0017501000547781,0.1092620036444125,7,389,0.1219959725339553,56,401,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
36,0.0018000999698415,0.092304201770318,7,401,0.1036985287032613,56,401,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
37,0.0018501000013202,0.0719001100925886,58,404,0.0834708279781405,56,401,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
38,0.0019000000320374,0.0438240060233264,58,404,0.0614239027321807,56,401,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
39,0.0019500999478623,0.0144364682705729,58,404,0.0376110890806209,56,401,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
40,0.0020000000949949,0.0126342305679894,58,404,0.0380890855777521,56,401,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
41,0.0020500998944044,0.0393908910735426,58,404,0.0691376689702625,57,401,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
42,0.0021001000422984,0.0340887910873371,55,442,0.0405773961594512,53,443,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
43,0.0021500000730156,0.0180703562607203,55,442,0.0236054598717672,53,443,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
44,0.0022001001052558,0.0346825007340594,55,442,0.0452560270333153,53,443,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
45,0.0022501000203192,0.0486169093280622,55,442,0.0651234254312822,53,443,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
46,0.0023000000510364,0.0545594598209304,54,442,0.0668534378006247,153,442,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
47,0.0023499999660998,0.0536240306266789,54,442,0.0602671450497379,153,442,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
48,0.00240009999834,0.0498392694680743,54,442,0.0573208592778494,153,442,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
49,0.0024500000290572,0.0433034013472735,54,442,0.0606228518656947,54,442,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
50,0.0024999999441206,0.0340847076939342,54,442,0.0459805239757818,54,442,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
51,0.0025500999763607,0.0223082533084563,54,442,0.0330675484026757,54,442,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
52,0.0026000998914241,0.0081939850754625,54,442,0.0171975205684496,55,441,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
53,0.0026499999221414,0.0164315022554433,55,441,0.0168572204835544,55,441,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
54,0.0027000999543815,0.0475750283216374,55,441,0.0531204301636461,54,453,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
55,0.0027501001022756,0.0705517074684684,54,453,0.0758054634634746,54,453,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
56,0.0027999999001622,0.0809185625958164,57,400,0.094284575335825,58,400,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
57,0.0028500999324023,0.0630472263442564,57,400,0.0768343181843798,57,400,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
58,0.0029001000802963,0.042674040779912,58,400,0.0461136013974181,57,400,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
59,0.0029500001110136,0.0184345720557596,58,400,0.0273400260392247,57,400,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
60,0.003000000026077,0.0320706198705723,58,400,0.036523311125047,60,400,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
