time_s,s_COM_mm,projection_residual_mm,Vt_direct_mm_s,Vt_from_s_mm_s,UR1,UR2,UR3,HEAD_x_mm,HEAD_y_mm,HEAD_z_mm,TAIL_x_mm,TAIL_y_mm,TAIL_z_mm,axis_x,axis_y,axis_z,phi_robot_rad,phi_B_local_rad,phi_cmd_rad,f_robot_phase_equiv_Hz,omega_direct_norm_rad_s,omega_relative_norm_rad_s,omega_wobble_norm_rad_s,omega_spin_rad_s,omega_reconstruction_diff_rad_s,H_x_kgm2_s,H_y_kgm2_s,H_z_kgm2_s,Krot_J,Jmag_x_Nmm_s,Jmag_y_Nmm_s,Jmag_z_Nmm_s,Jmag_norm_Nmm_s,Jhydro_norm_Nmm_s,Wmag_J,Whydro_J,Wnonmag_resolved_J,Fhydro_power_W,Thydro_power_W,Tmag_norm_Nmm,Fmag_norm_N
0.0,13.814214392213609,0.5126674210434573,0.0,1.1817276040830467e-05,0.0,0.0,0.0,-6.180442935294117,-3.8511320705882346,-9.264861500000002,-8.761933823529413,-3.5503388794117647,-9.872618867647061,0.9671869911545063,-0.1126958312576524,0.22770369728803178,-1.2493388018759648,-0.576874588669117,4.3284353945018585,122.48996952822067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.496913517033817e-10,2.3609919820510705e-13
5.0099999498343095e-05,13.814214392805654,0.5126674221017838,4.702812276129181e-05,9.249462164007127e-05,1.9439015375155577e-07,-2.3656855319131864e-06,-1.4653927564722835e-06,-6.18044380882353,-3.851134005882353,-9.26485863235294,-8.761932823529412,-3.5503369205882347,-9.872621764705883,0.9671863111545247,-0.11269729279277893,0.22770586227078513,-1.2492989310031466,-0.5731556490735803,4.337860172368068,122.48996952822067,0.22157578825728483,0.4349954524714532,0.4345843327976313,0.01890770630409635,0.21342031017056803,1.1990653042546792e-13,-2.761345515275177e-12,-1.7359468862779553e-12,7.094832814746423e-13,7.427145601054503e-11,-1.7999194870001122e-09,-1.1348760475025472e-09,2.1291242453308536e-09,1.653805094032663e-14,9.255601233717095e-13,-7.19074949232405e-18,-2.1607684189706718e-13,-9.592915132099878e-17,-2.8705587083137043e-10,8.499463101574455e-05,5.739883670622545e-08
0.0001000999982352,13.814214401456198,0.5126674375651131,0.0003654829046013339,0.00045161083107814193,3.014179810634232e-06,-3.69785338989459e-05,-2.2792530216975138e-05,-6.180457511764706,-3.851162329411765,-9.264814529411765,-8.761918867647058,-3.550308408823529,-9.872666176470588,0.9671760167515493,-0.11271859478956231,0.2277390414691196,-1.2486801693514475,-0.5694126411187602,4.3472849500907405,122.48996952822067,1.721743838723616,2.1274253286384965,2.125404027084763,0.09271596725746595,0.4056877429884241,5.772561976227706e-13,-1.3524111934267636e-11,-8.459736491292695e-12,1.696982462433288e-11,4.256507709464918e-10,-1.0527652402766344e-08,-6.602306345336865e-09,1.243394920248409e-08,1.616786664569881e-13,1.924030098551623e-11,-2.8790671265604406e-16,-2.2704763611833504e-12,-5.8287435564042634e-15,-1.094158293938498e-08,0.0003271991882931969,2.2100366413588678e-07
0.0001500999933341,13.814214437966735,0.5126675028291533,0.0011997287785882934,0.0013216859370004386,1.482009065512102e-05,-0.0001832943235058,-0.000112417168566,-6.180514967647059,-3.8512811147058823,-9.264628102941177,-8.761860632352942,-3.550188714705883,-9.872853985294118,0.9671325793433028,-0.1128079332474226,0.2278792315442877,-1.2460711027363218,-0.5656457567474945,4.356709727127674,122.48996952822067,5.651477049237668,6.226263597055496,6.22031408714608,0.2721232023743494,0.5748088933024245,1.6603164534296272e-12,-3.964138435124075e-11,-2.4662741201452585e-11,1.453514363996931e-10,1.2860668991649644e-09,-3.251451063407282e-08,-2.0275371119078542e-08,3.833977104598731e-08,7.129689067238073e-13,1.4692554163385685e-10,-3.1918189050111948e-15,-1.5741052341637537e-12,-6.293757058402362e-14,-1.052149161407134e-07,0.0007090380096717024,4.788899921148976e-07
0.000200099995709,13.8142145336248,0.5126676738201553,0.002764703587956199,0.0029170716006774455,4.54973014711868e-05,-0.0005673163104802,-0.0003462126769591,-6.1806658676470585,-3.851591126470588,-9.264138794117647,-8.761707205882352,-3.5498765441176476,-9.873346779411763,0.9670185834652333,-0.11304104421559916,0.22824719397079246,-1.2392913766697642,-0.5618551900500607,4.366134505536102,122.48996952822067,13.025433401615759,13.735595231591196,13.722391441409563,0.602120830764354,0.7102162835786993,3.595155895858248e-12,-8.759222882057323e-11,-5.418469100817385e-11,7.073830763005503e-10,2.8363505107955062e-09,-7.338476256529306e-08,-4.549277943044572e-08,8.638843233495855e-08,2.1102321235477572e-12,6.734488348289731e-10,-1.9202960078111634e-14,3.393424147157713e-11,-3.34639289916234e-13,-5.352307003634183e-07,0.001212921950291917,8.187871185035072e-07
0.0002500000118743,13.814214729181687,0.5126680233792287,0.005238746212223879,0.0054167211637832224,0.0001076986445696,-0.0013539866777136,-0.0008221692405641,-6.180975229411764,-3.8522219382352936,-9.263136897058825,-8.761392676470587,-3.5492411205882353,-9.874356220588236,0.9667848221306452,-0.11351545318056108,0.229000763289183,-1.2257315298708644,-0.5580487678657573,4.3755404369880555,122.48996952822067,24.693541811257482,25.566431257992086,25.541703006908858,1.1241951683305813,0.8729963172803489,6.561722479699243e-12,-1.6330573809756317e-10,-1.0042698463646454e-10,2.4507280746281187e-09,5.203735893732557e-09,-1.3789579384940736e-07,-8.497565524418072e-08,1.6205922007953707e-07,4.927394152446719e-12,2.2490161290631444e-09,-7.969289726215475e-14,2.0171194556497428e-10,-1.2028429806032418e-12,-1.8892148943499255e-06,0.0018200081666777004,1.2269635772276227e-06
0.0003000999859068,13.814215075897035,0.5126686431288515,0.00879155831398025,0.0089889821538236,0.0002170980151277,-0.0027521846350282,-0.001662771217525,-6.181526932352941,-3.853335791176471,-9.261356411764705,-8.76083163235294,-3.548119261764706,-9.876149588235295,0.9663679262563706,-0.11435309081040868,0.23033975281107782,-1.2026966332407607,-0.5542038304265089,4.384984059609969,122.48996952822067,41.48172458923817,42.387824669849465,42.346570363248766,1.8696680754401767,0.9062947993746499,1.0659833582680272e-11,-2.711996283894642e-10,-1.65783424469178e-10,6.7364684167152095e-09,8.49274878044027e-09,-2.307078268257788e-07,-1.4131147137110824e-07,2.7067907211601853e-07,9.890813231525592e-12,6.083731398258734e-09,-2.588484210448538e-13,6.527370184564755e-10,-3.391900286578228e-12,-5.262705929660094e-06,0.0025161869862299472,1.6919696846000388e-06
0.0003499999875202,13.814215627254045,0.5126696286634774,0.01351105598736792,0.013721526775043458,0.0003897400747518,-0.0049825236201286,-0.0029950567986816,-6.182412497058823,-3.855100373529412,-9.258517999999999,-8.759930602941179,-3.546342044117647,-9.879009102941177,0.9656985579648626,-0.11568006944048627,0.2324745506046399,-1.1685997147456433,-0.5503511638619404,4.3943899883189355,122.48996952822067,63.85818341286536,64.93179164459042,64.86819535615707,2.8731163241231465,1.0739163313859637,1.598630042425172e-11,-4.1612755656116853e-10,-2.5283766871698826e-10,1.5807376293348104e-08,1.272171436612846e-08,-3.5452586528901936e-07,-2.1583956078394757e-07,4.152555203422932e-07,1.77614189818119e-11,1.4050746551249756e-08,-6.998335218613731e-13,1.756629742098348e-09,-8.024618764645687e-12,-1.2412047038608293e-05,0.0032785926008168606,2.1953359537258546e-06
0.0004000999906565,13.814216449120845,0.5126710977112375,0.019513447144508134,0.0197304024186451,0.0006452482193708,-0.0083201499655842,-0.0049757501110434,-6.183751485294117,-3.8577221558823527,-9.254274117647059,-8.758567661764706,-3.5437015676470587,-9.883283955882353,0.964686237169088,-0.11765163759129799,0.23566619610931047,-1.1230016980207422,-0.5464601614931835,4.403833616426805,122.48996952822067,92.46886057133926,93.51616883436763,93.4239903653911,4.151127276447067,1.0478043894543283,2.25225072074504e-11,-6.003072090442872e-10,-3.62527291688038e-10,3.278788118527644e-08,1.792842602781946e-08,-5.130737436104249e-07,-3.104636737498848e-07,5.999614883978187e-07,2.9489724729215346e-11,2.8966131981338847e-08,-1.6592440497071882e-12,3.821749203937594e-09,-1.6777040599123467e-11,-2.588777203468327e-05,0.004095125555998665,2.7244355176787166e-06
0.0004500999930314,13.814217601602921,0.5126731576972451,0.026802771791482098,0.027017303975299,0.0010012147249653,-0.0130236465483903,-0.0077483905479311,-6.185667820588235,-3.8613889705882354,-9.248301529411764,-8.756616411764707,-3.5400086705882354,-9.889299661764706,0.9632372051651429,-0.12040904397293968,0.24015775797414365,-1.0680276588991802,-0.5425542449512312,4.413258394835233,122.48996952822067,127.48650536806237,128.55340590999356,128.4258719158375,5.724822592576343,1.0676456103418317,3.02570342725659e-11,-8.265812496558244e-10,-4.96124185718389e-10,6.195864867849073e-08,2.404873760125293e-08,-7.074620552555931e-07,-4.2548452354689685e-07,8.25904341424969e-07,4.596014376207706e-11,5.440760649431455e-08,-3.5331227983887303e-12,7.551042184176177e-09,-3.1750197499066134e-11,-4.906737435235888e-05,0.004942950777908554,3.258222448270953e-06
0.0005000000237487,13.81421914735789,0.512675920604674,0.03536188003769894,0.03556716308230534,0.0014759345212951,-0.0193714518100023,-0.0114648351445794,-6.18830994117647,-3.8662981235294116,-9.240256220588234,-8.753925441176472,-3.535064797058823,-9.897402558823531,0.9612391543425322,-0.12410060768133499,0.2462078945362576,-1.0073846614885615,-0.5386337196579736,4.422664329030155,122.48996952822067,169.05544078345125,170.25937966747222,170.08936374892303,7.6068853178543705,1.2049789071428918,3.91152790726251e-11,-1.0965417950334225e-09,-6.541156694061263e-10,1.0868048422859903e-07,3.100261002400718e-08,-9.386542077715082e-07,-5.611017912240856e-07,1.0940146725297315e-06,6.812246292765354e-11,9.48848732916118e-08,-6.907566865660328e-12,1.3795610936987226e-08,-5.548837979269832e-11,-8.61808016012364e-05,0.005803496801507649,3.7772578345581324e-06
0.0005500999977812,13.814221160158606,0.5126795182792968,0.04518769789938815,0.045375087327556685,0.0020911386236548,-0.027701336890459,-0.0163075998425483,-6.191875276470587,-3.87268475,-9.229726705882353,-8.750293661764706,-3.528633373529412,-9.908007102941175,0.9585426297768145,-0.12890304145564424,0.2541260175661543,-0.9451468166875547,-0.5346752581134515,4.432107951652088,122.48996952822067,217.484801985026,218.53126336758496,218.31159973749348,9.795840397291407,1.0480541306567437,4.894091266940286e-11,-1.4097186618142968e-09,-8.357767996534719e-10,1.7904047832536196e-07,3.872086178081802e-08,-1.2085355073921607e-06,-7.180343980753164e-07,1.4062826083629346e-06,9.71281078353138e-11,1.5606553832907278e-07,-1.2631237212952284e-11,2.2974939996289175e-08,-9.107332338068749e-11,-0.0001423091510513934,0.006663092173514117,4.264006412883196e-06
0.0006000999710522,13.814223688362894,0.5126840371392631,0.0561152506584789,0.05627512652426958,0.0028609884902834,-0.0382639542222023,-0.0224041771143674,-6.1965575500000005,-3.8807074764705884,-9.216422014705882,-8.74552370588235,-3.5205547999999998,-9.921405441176471,0.9550012525828512,-0.13493559196803778,0.26413063734716685,-0.8856929080643143,-0.5307026728667349,4.44153272457456,122.48996952822067,272.39615244615175,273.44850770208603,273.1717922727905,12.298710134366466,1.0545732383240614,5.959492966851328e-11,-1.766827010820387e-09,-1.0410603939341144e-09,2.8033005446898717e-07,4.7008074172120956e-08,-1.5151613837945124e-06,-8.947677808399486e-07,1.7602650821989054e-06,1.3381644754386307e-10,2.436529659845499e-07,-2.1764963034653e-11,3.667708848443726e-08,-1.4133208427615206e-10,-0.0002230400771250254,0.00749732855042226,4.693926490367684e-06
0.0006501000025309,13.814226787672194,0.512689576720805,0.06800034820195922,0.06812410839484073,0.003802303224802,-0.0513622164726257,-0.0299081746488809,-6.202614305882353,-3.8905539647058824,-9.199998867647057,-8.739353500000002,-3.5106405323529413,-9.937942397058823,0.9504202347821032,-0.14233919451043534,0.2764795309292393,-0.8316383895910247,-0.5267082848715725,4.450957508468924,122.48996952822067,333.61954736193314,334.5363271621503,334.19548675914865,15.097377949729214,0.9200595419381126,7.081211401750304e-11,-2.1649701358009566e-09,-1.267857167179991e-09,4.1956520021019286e-07,5.56891494650014e-08,-1.8577368894337706e-06,-1.0904782554339887e-06,2.154862050643974e-06,1.7920389927726566e-10,3.6412608957558104e-07,-3.5696124165434664e-11,5.543911063461183e-08,-2.0910723605166182e-10,-0.0003342060172785888,0.008288051575439227,5.046156523225867e-06
0.0006999999750405,13.814230492734506,0.5126961989317395,0.08060182245085698,0.0806813832023181,0.004926067776978,-0.0672369822859764,-0.0389331690967083,-6.210325482352941,-3.90235164117647,-9.180212205882354,-8.73149863235294,-3.4987627764705884,-9.957864147058824,0.9445882295573298,-0.15120948403785023,0.29135677187729186,-0.7843910074113927,-0.522700407560461,4.460363431691953,122.48996952822067,400.5991600985441,401.5539588044634,401.14200034070984,18.184537227838277,0.9591196370943242,8.234980148886693e-11,-2.6027639541833467e-09,-1.5149451528952022e-09,6.044980534254601e-07,6.451923902686952e-08,-2.23329321405261e-06,-1.3031278380750321e-06,2.5864847717518367e-06,2.3408445252930025e-10,5.23475539753893e-07,-5.605317296159594e-11,8.102251367156709e-08,-2.963733369068831e-10,-0.0004817082116218329,0.009013462259401953,5.299037557509189e-06
0.0007500000065192,13.814234849031067,0.5127039850417094,0.09370490186890075,0.09373277393751778,0.0062472494319081,-0.0862075686454773,-0.0496326871216297,-6.220069670588236,-3.916269479411765,-9.156743676470587,-8.721574705882354,-3.4847520323529406,-9.98148938235294,0.937219353019197,-0.16167327142774116,0.3090010317654778,-0.7439499058459136,-0.5186631986248372,4.469788215586318,122.48996952822067,473.02759499421023,473.86672896546247,473.37715340515103,21.53479636456217,0.8453734497907838,9.38781649561089e-11,-3.07622907931879e-09,-1.779684705548446e-09,8.418089729138264e-07,7.327137377682223e-08,-2.640233889308791e-06,-1.5314962159631351e-06,3.053143354639472e-06,2.9951759126932647e-10,7.281697475821719e-07,-8.487704411582396e-11,1.1363922533165453e-07,-4.0457741024464896e-10,-0.0006712459086773508,0.009655448063357653,5.4337223450346625e-06
