time_s,exact_gap_mm,nearest_node,nearest_wall_element,CPRESS_max_MPa,CNORMF_max_N,CSHEARF_max_N
0.0,0.2693853308852156,118,438,0.0,0.0,0.0
5.0099999498343095e-05,0.2693828253988974,118,438,0.0,0.0,0.0
0.0001000999982352,0.2692942987980045,118,450,0.0,0.0,0.0
0.0001500999933341,0.2691924820556862,118,438,0.0,0.0,0.0
0.000200099995709,0.2687904338659564,118,438,0.0,0.0,0.0
0.0002500000118743,0.2679703274316065,118,438,0.0,0.0,0.0
0.0003000999859068,0.2665191482998402,118,438,0.0,0.0,0.0
0.0003499999875202,0.2642150666737832,118,438,0.0,0.0,0.0
0.0004000999906565,0.2607841876472516,119,450,0.0,0.0,0.0
0.0004500999930314,0.2559751577479654,119,450,0.0,0.0,0.0
0.0005000000237487,0.2495227882044934,119,450,0.0,0.0,0.0
0.0005500999977812,0.241110700444377,119,450,0.0,0.0,0.0
0.0006000999710522,0.2305199860279217,119,450,0.0,0.0,0.0
0.0006501000025309,0.2174942612345516,119,450,0.0,0.0,0.0
0.0006999999750405,0.2018538020367694,119,450,0.0,0.0,0.0
0.0007500000065192,0.1802139788033903,119,450,0.0,0.0,0.0
0.0008000999805517,0.1475931507128714,119,450,0.0,0.0,0.0
0.0008501000120304,0.1165440623633431,119,450,0.0,0.0,0.0
0.0009000999853014,0.0818118049495905,130,429,0.0,0.0,0.0
0.0009500000160187,0.0436660785724494,130,429,0.0,0.0,0.0
0.0010000000474974,0.0022791614147367,141,429,0.0,0.0,0.0
0.0010500999633222,0.0350263466615186,130,429,0.0,0.0,0.0
0.0011000999948009,0.0723894717967108,141,429,0.0,0.0,0.0
0.0011500000255182,0.0933996732246581,74,388,0.0,0.0,0.0
0.0012001000577583,0.0600354818852424,75,400,0.0,0.0,0.0
0.0012499999720603,0.0236729883093787,75,400,0.0,0.0,0.0
0.0013001000043004,0.0268036431858122,75,400,0.0,0.0,0.0
0.0013501000357791,0.0562562759961279,75,400,0.0,0.0,0.0
0.0013999999500811,0.0745740834834416,7,389,0.0,0.0,0.0
0.0014500999823212,0.0898414526568305,7,389,0.0,0.0,0.0
0.0015000000130385,0.1017566360681959,7,389,0.0,0.0,0.0
0.0015501000452786,0.1102864827646457,7,389,0.0,0.0,0.0
0.001600099960342,0.1152921164679131,7,389,0.0,0.0,0.0
0.0016499999910593,0.1167672391301223,7,389,0.0,0.0,0.0
0.0017001000232994,0.1147325832011171,56,401,0.0,0.0,0.0
0.0017501000547781,0.1092625760485615,56,401,0.0,0.0,0.0
0.0018000999698415,0.0923049327084922,56,401,0.0,0.0,0.0
0.0018501000013202,0.0718999259525586,56,401,0.0,0.0,0.0
0.0019000000320374,0.0438246894489225,56,401,0.0,0.0,0.0
0.0019500999478623,0.0144366474952738,56,401,0.0,0.0,0.0
0.0020000000949949,0.0126344910594809,56,401,0.0,0.0,0.0
0.0020500998944044,0.0393916865015587,57,401,0.0,0.0,0.0
0.0021001000422984,0.0184415974501589,53,443,0.0,0.0,0.0
0.0021500000730156,0.0180698405154945,53,443,0.0,0.0,0.0
0.0022001001052558,0.0346827628149824,53,443,0.0,0.0,0.0
0.0022501000203192,0.0486167573167528,53,443,0.0,0.0,0.0
0.0023000000510364,0.0545597227131103,153,442,0.0,0.0,0.0
0.0023499999660998,0.0536240324260528,153,442,0.0,0.0,0.0
0.00240009999834,0.0498398397617401,153,442,0.0,0.0,0.0
0.0024500000290572,0.0433034002930568,54,442,0.0,0.0,0.0
0.0024999999441206,0.0340853154557747,54,442,0.0,0.0,0.0
0.0025500999763607,0.0223081776238687,54,442,0.0,0.0,0.0
