time_s,Wmag_J,Whydro_J,Wnonmag_resolved_J,Krot_J,Fhydro_power_W,Thydro_power_W
0.0,0.0,0.0,0.0,1.1624435493806675e-14,0.0,0.0
5.0099999498343095e-05,9.255606108012538e-13,-7.19074949232405e-18,-2.2770176482041816e-13,7.094832814746423e-13,-9.592915132099877e-17,-2.8705587083137043e-10
0.0001000999982352,1.9240301472945774e-11,-2.8790671265604406e-16,-2.2821012841066992e-12,1.696982462433288e-11,-5.8287435564042634e-15,-1.094158293938498e-08
0.0001500999933341,1.469255421212864e-10,-3.1918189050111948e-15,-1.5857301570870993e-12,1.453514363996931e-10,-6.293757058402362e-14,-1.052149161407134e-07
0.000200099995709,6.734488353164027e-10,-1.9202960078111634e-14,3.392261654865384e-11,7.073830763005503e-10,-3.34639289916234e-13,-5.352307003634183e-07
0.0002500000118743,2.249016129550574e-09,-7.969289726215475e-14,2.01700320642051e-10,2.4507280746281187e-09,-1.202842980603242e-12,-1.8892148943499255e-06
0.0003000999859068,6.0837313987461634e-09,-2.588484210448538e-13,6.527253935335522e-10,6.7364684167152095e-09,-3.391900286578228e-12,-5.262705929660094e-06
0.0003499999875202,1.4050746551737186e-08,-6.998335218613731e-13,1.7566181171754239e-09,1.5807376293348104e-08,-8.024618764645687e-12,-1.2412047038608293e-05
0.0004000999906565,2.8966131981826278e-08,-1.6592440497071882e-12,3.821737579014668e-09,3.278788118527644e-08,-1.6777040599123467e-11,-2.588777203468327e-05
0.0004500999930314,5.440760649480198e-08,-3.5331227983887303e-12,7.551030559253254e-09,6.195864867849073e-08,-3.175019749906614e-11,-4.906737435235888e-05
0.0005000000237487,9.488487329209923e-08,-6.907566865660328e-12,1.3795599312064303e-08,1.0868048422859903e-07,-5.548837979269832e-11,-8.61808016012364e-05
0.0005500999977812,1.5606553832956023e-07,-1.2631237212952284e-11,2.2974928371366252e-08,1.7904047832536196e-07,-9.10733233806875e-11,-0.0001423091510513934
0.0006000999710522,2.436529659850373e-07,-2.1764963034653e-11,3.6677076859514364e-08,2.8033005446898717e-07,-1.4133208427615206e-10,-0.0002230400771250254
