time_s,driver_arc_mm,robot_arc_server_mm,srobot_mm,Vt_mm_s
0.0,18.899961226,13.799960625932426,0.0,0.0
5.0099999498343095e-05,18.900261225996992,13.799960625932426,2.416984483243579e-09,9.648640748283892e-05
0.0001000999982352,18.90056122598941,13.799960625932426,2.3575309414368118e-08,0.0007498466111429367
0.0001500999933341,18.900861225960004,13.799960625932426,1.0385690663600773e-07,0.0024614175924971876
0.000200099995709,18.901161225974253,13.799960625932426,3.071960717352388e-07,0.00567214862514393
0.0002500000118743,18.90146062607125,13.799960625932426,7.168761382500058e-07,0.010747888801603626
0.0003000999859068,18.901761225915443,13.799960625932426,1.4379310921426354e-06,0.01803675501577157
0.0003499999875202,18.90206062592512,13.799960625932426,2.5795387708072947e-06,0.027719062288975613
0.0004000999906565,18.902361225943938,13.799960625932426,4.276732056130673e-06,0.04003316042869823
0.0004500999930314,18.902661225958187,13.799960625932426,6.652243057098966e-06,0.05498727509675286
0.0005000000237487,18.902960626142495,13.799960625932426,9.834204238213135e-06,0.07254616066969073
0.0005500999977812,18.90326122598669,13.799960625932426,1.3973704542909737e-05,0.09270343814292727
0.0006000999710522,18.903561225826312,13.799960625932426,1.9169303125029267e-05,0.11512061624043683
0.0006501000025309,18.903861226015184,13.799960625932426,2.553486779569757e-05,0.13950181028263567
0.0006999999750405,18.904160625850242,13.799960625932426,3.314097264786723e-05,0.16535225955503224
0.0007500000065192,18.904460626039118,13.799960625932426,4.2080568248214464e-05,0.19223133933352066
0.0008000999805517,18.90476122588331,13.799960625932426,5.239454112179457e-05,0.21950431812967075
0.0008501000120304,18.90506122607218,13.799960625932426,6.404079130653067e-05,0.24634539597290553
0.0009000999853014,18.905361225911808,13.799960625932426,7.700041661373503e-05,0.27203989343367796
0.0009500000160187,18.90566062609611,13.799960625932426,9.116685274326896e-05,0.2957527882899621
0.0010000000474974,18.905960626284987,13.799960625932426,0.00010648094611426791,0.31681056089603965
0.0010500999633222,18.906261225779932,13.799960625932426,-0.013805848399647781,-555.7001526971815
0.0011000999948009,18.906561225968805,13.799960625932426,-0.041589504522368065,-555.6453925373698
0.0011500000255182,18.906860626153108,13.799960625932426,-0.06931485815648851,-555.5905420132005
0.0012001000577583,18.907161226346552,13.799960625932426,-0.09714858517711251,-555.5355701311294
0.0012499999720603,18.907460625832364,13.799960625932426,-0.12486840714456217,-555.48124643838
0.0013001000043004,18.9077612260258,13.799960625932426,-0.14129728565106306,-100.36178487013939
0.0013501000357791,18.908061226214674,13.799960625932426,-0.14631473540861173,-100.33607907765054
0.0013999999500811,18.908360625700485,13.799960625932426,-0.15132079756935057,-100.30803948502253
0.0014500999823212,18.90866122589393,13.703952677187518,-0.1563454663587975,-100.27741185228031
0.0015000000130385,18.90896062607823,13.699960625932428,-0.16134850274940896,-100.24496533643389
0.0015501000452786,18.90926122627167,13.699960625932428,-0.1663699253415503,-100.21089736946608
0.001600099960342,18.90956122576205,13.699960625932428,-0.17137958196208988,-100.17570785525665
