time_s,cycle_fraction,rp_x_mm,rp_y_mm,rp_z_mm,center_x_mm,center_y_mm,center_z_mm,head_x_mm,head_y_mm,head_z_mm,tail_x_mm,tail_y_mm,tail_z_mm,B_x_T,B_y_T,B_z_T,axis_x,axis_y,axis_z,tangent_x,tangent_y,tangent_z,e1_x,e1_y,e1_z,e2_x,e2_y,e2_z,directed_tilt_deg,robot_phase_deg,delta_s_mm,Vt_mm_s,contact_state
0.0,0.0,-7.468174204284,-3.676918015967,-9.550745259298,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.535085591631189,-3.5454540919147,-9.81045467208546,-6.509135245585878,-3.7950899900640938,-9.317294339420682,-0.0005643314542209,-0.0062270140616668,0.0078042184673149,0.9647382600215763,-0.11887423721399708,0.2348382536498942,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.36237457089361,0.0,0.0,0.0,NONE
9.999949725170154e-06,0.0002999984917551046,-7.468174204280651,-3.6769180159592216,-9.550745259307485,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.535085589430645,-3.5454540866811954,-9.810454678475988,-6.509135247557572,-3.7950899947536834,-9.317294333694294,-0.0005575927469267875,-0.006219495860344294,0.0078106951460829525,0.9647382580347971,-0.11887424193927983,0.23483825941985492,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.362374986173952,-6.575351907936977e-07,2.8368418725222e-12,1.1331349625410857e-06,NONE
1.9999899450340308e-05,0.0005999969835102092,-7.468174204230643,-3.676918015843142,-9.550745259449242,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.535085556560176,-3.5454540085787842,-9.810454773970953,-6.509135277009641,-3.795090064738955,-9.317294248123739,-0.0005507994617869823,-0.006211884568584377,0.00781723133490895,0.9647382283573983,-0.11887431245722416,0.23483834564153003,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.362381187155247,-1.0494874170536857e-05,4.517453078278777e-11,9.01531341332133e-06,NONE
2.9999850085005164e-05,0.0008999955025501549,-7.46817420401497,-3.6769180153430163,-9.550745260060886,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.53508541479202,-3.545453672075625,-9.810455186009552,-6.509135404034474,-3.7950903662695357,-9.317293878906657,-0.000544019827471569,-0.006204255978893222,0.00782376153009255,0.9647381003607363,-0.1188746162828145,0.23483871766804468,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.362407920849302,-5.29962278935989e-05,2.276951960311635e-10,3.0259812270147854e-05,NONE
3.9999798900680616e-05,0.0011999939670204185,-7.468174203437175,-3.676918014004538,-9.550745261700293,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.535085034973724,-3.545452771495192,-9.810456290404675,-6.509135744353234,-3.7950911732531716,-9.317292889286897,-0.0005372538699108205,-0.0061966101204494264,0.007830285706657515,0.9647377574383286,-0.11887542940856183,0.23483971481799015,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.36247951466138,-0.00016706632639553511,7.164704385331788e-10,7.13322617987062e-05,NONE
4.9999751354334876e-05,0.0014999925406300463,-7.468174202224963,-3.676918011199337,-9.550745265141432,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.535084238077848,-3.5454508840409242,-9.810458608544977,-6.509136458375334,-3.795092864545437,-9.317290812061636,-0.0005305016094445568,-0.0061889470162384465,0.00783680384499047,0.9647370379535786,-0.11887713357357751,0.23484180784921033,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.362629661680048,-0.0004068233616808798,1.7414958364270205e-09,0.00013855148831500467,NONE
5.999970017001033e-05,0.0017999910051003098,-7.468174200031802,-3.6769180061294593,-9.550745271370207,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.535082796246623,-3.5454474728083545,-9.810462804586438,-6.509137750262456,-3.79509592125066,-9.317287052097978,-0.0005237630749736168,-0.006181266699049792,0.007843315917194942,0.9647357361829368,-0.11888021354395502,0.23484559642307623,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.362901206459972,-0.000841385029825058,3.5952236743241883e-09,0.0002380908540834789,NONE
6.999965262366459e-05,0.0020999895787099376,-7.468174196438514,-3.676917997831832,-9.550745281580278,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.535080433827169,-3.5454418897880036,-9.810469682635649,-6.509139867001012,-3.7951009240311215,-9.31728088885693,-0.0005170382855251253,-0.006173569190581479,0.007849821904880778,0.9647336032505506,-0.11888525440148465,0.2348518065612946,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.363345931373237,-0.0015546460891756844,6.63112409426958e-09,0.0003759802738628993,NONE
7.999959780136123e-05,0.002399987934040837,-7.468174190954846,-3.6769179851827074,-9.55074529716884,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.535076828395246,-3.545433378858318,-9.810480183911418,-6.509143097484892,-3.795108550425161,-9.317271478936814,-0.0005103272723228811,-0.006165854526577679,0.007856321777839074,0.964730348052549,-0.11889293884135363,0.23486128808314505,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.36402434338269,-0.002645041743648592,1.1262255128485776e-08,0.0005581089517926423,NONE
8.999955025501549e-05,0.0026999865076504648,-7.46817418302101,-3.676917966902109,-9.550745319732409,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.53507161175594,-3.5454210787667106,-9.810495383906108,-6.509147771618872,-3.7951195721759854,-9.317257858616905,-0.0005036300494295147,-0.006158122723225145,0.007862815522445147,0.9647256381605084,-0.11890404448060701,0.2348750120424776,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.36500546216223,-0.004225297299144242,1.7959882470108823e-08,0.0007902290680418269,NONE
