time_s,exact_gap_mm,nearest_wall_element,nearest_node,CPRESS_max_MPa,contact_flag
0.0,0.2693853308852156,438,118,8.683991026270377e-12,False
5.005069760954939e-05,0.2693837066949018,438,118,0.0002524212759453,False
0.000100101402495,0.2693602592981955,438,118,0.0008854995830915,False
0.0001500465587014,0.2692620587719982,438,118,0.0019510568818077,False
0.0002000974782276,0.2690049954175337,438,118,0.0031921460758894,False
0.0002500431728549,0.2684805406652,438,118,0.0047844629734754,False
0.0003000949509441,0.2675572526842342,438,118,0.0069003980606794,False
0.0003500377642922,0.2660960547064295,450,118,0.0080109508708119,False
0.0004000964399892,0.2639262256586495,438,118,0.0075501655228435,False
0.0004500411159824,0.2609475538925098,450,119,0.0099793188273906,False
0.0005000106757506,0.2569862434186767,450,119,0.0128884743899106,False
0.0005500661209225,0.2517990160046375,450,119,0.0219577699899673,False
0.0006000370485708,0.2452359516159495,450,119,0.0132687240839004,False
0.0006500027957372,0.2371350478635719,450,119,0.0185604821890592,False
0.0007000611512921,0.2273306471118486,450,119,0.0288423243910074,False
0.0007500948267988,0.2157306301778118,450,119,0.0304996874183416,False
0.0008000059169717,0.2022746164027316,450,119,0.045111034065485,False
0.0008500217227265,0.1840079052802148,450,119,0.0357243753969669,False
0.0009000400896184,0.1563614711083245,450,119,0.0370610021054744,False
0.0009500464075244,0.1316793947743502,450,119,0.0438062399625778,False
0.001000058487989,0.104695699957085,450,119,0.0398051515221595,False
0.00105008832179,0.0755117757266754,429,130,0.0323110520839691,False
0.0011000139638781,0.0444267465556867,429,130,0.0492751076817512,False
0.0011501018889248,0.0114790488133007,429,141,0.0488415621221065,True
0.0012000863207504,0.0072179891042899,429,130,0.0249926336109638,True
0.0012500407174229,0.03668452728892,429,130,0.0915564969182014,False
0.0013000426115468,0.0629301755649659,429,141,0.4501559138298034,False
0.0013500681379809,0.0805401447144866,429,141,0.0154363485053181,False
0.0014000559458509,0.0526197426303562,400,75,0.0100899366661906,False
0.0014500233810395,0.0159196232780925,400,75,0.0521051734685897,True
0.0015000704443082,-0.0005329405560095,400,74,0.2813631594181061,True
0.0015500304289162,0.0282271033669299,400,75,0.0260814763605594,False
0.0016000049654394,0.053915350588782,388,74,0.0158653389662504,False
0.0016500835772603,0.0662497882438311,389,7,0.0191535633057355,False
0.0017000631196424,0.0758018963950246,389,7,0.0167243480682373,False
0.0017500647809356,0.0826668675448809,389,7,0.1404041796922683,False
0.0018000535201281,0.0870676251850996,389,7,0.0309663582593202,False
0.0018500443547964,0.0887412573100777,401,2,0.0943583473563194,False
0.0019000484608113,0.0877802389930277,401,2,0.0879325717687606,False
0.0019500425551086,0.0843520041446222,401,2,0.7340483665466309,False
0.002000059466809,0.0788780574725675,401,2,0.0407341420650482,False
0.0020500889513641,0.0606576895753832,401,2,0.0317424088716506,False
0.0021000010892748,0.0493322466302501,401,56,0.0869006291031837,False
0.0021500058937817,0.0362320668715991,401,7,0.2679439783096313,False
0.0022000833414494,0.0212890215009941,401,7,0.1340675055980682,False
0.0022500304039567,0.0047264406122243,401,7,0.1064541563391685,True
0.0023000345099717,0.0027124503788952,442,5,0.0253176372498273,True
0.002350004389882,0.0188399781626344,401,7,0.0112399421632289,True
0.002400042489171,0.0328258837537995,401,7,0.0237584356218576,False
0.0024500412400811,0.044274758494301,401,7,0.0464020408689975,False
0.0025000090245157,0.0454590615891799,401,7,0.028602510690689,False
0.0025500075425952,0.0449997158765231,401,7,0.0216290038079023,False
0.0026000451762229,0.0430211972347467,401,7,0.161019816994667,False
0.002650010632351,0.0396252069366736,401,7,0.0226967930793762,False
0.0027000687550753,0.0347748995727678,404,58,0.0116765275597572,False
0.0027500945143401,0.0285975852874424,404,61,0.0116458237171173,False
0.0028000453021377,0.0213423682981053,404,61,0.0178794637322425,False
0.0028500182088464,0.0130331211522676,404,61,0.0412121824920177,True
0.002900016028434,0.0038893480020161,404,58,0.101051926612854,True
0.0029500212986022,-0.0005266048999802,404,58,1.006442904472351,True
0.003000036580488,0.0009492579596513,401,58,0.0379833467304706,True
0.0030500260181725,0.0033070453890226,401,56,0.011300659738481,True
0.0031000114977359,0.0059772199521111,401,56,0.0259178578853607,True
0.0031500102486461,0.0066061073874948,401,58,0.0139758046716451,True
0.0032000427599996,0.0051893035133128,401,58,0.017513383179903,True
0.0032500673551112,0.0007786673993091,401,58,1.366579294204712,True
0.0033000987023115,0.0049981081914502,401,58,0.0123934391885995,True
0.0033500327263027,0.0099981532085421,401,58,0.0173720140010118,True
0.003400043817237,0.0129720481993626,401,61,0.0164394322782754,True
0.0034500602632761,0.0141748651741369,401,57,0.0154024409130215,True
0.0035000653006136,0.0137482254924109,401,57,0.0147945554926991,True
0.0035500817466527,0.0035031131753063,401,57,0.0191588141024112,True
0.0036000872496515,-0.0014045491740561,401,60,4.2101731300354,True
0.0036500636488199,0.0025573460264372,401,60,0.1002967059612274,True
0.0037000402808189,0.0050630973067818,413,61,0.430206298828125,True
0.003750100499019,0.0047933578585505,413,61,0.0222194995731115,True
0.003800090169534,0.0037361441117881,413,61,0.0090035954490304,True
0.0038500519003719,0.006185528063066,413,61,0.0476596876978874,True
0.0039000490214675,0.0040827667146504,413,61,0.0214097164571285,True
0.0039501045830547,0.0003752098306259,413,61,1.3775709867477417,True
0.0040000760927796,0.0016271086915521,413,61,0.0119651444256305,True
0.0040500797331333,0.0009639214666556,413,61,0.0514862835407257,True
0.0041000111959874,-0.0009702699255444,413,61,1.2321150302886963,True
0.0041500837542116,0.0008937973904588,413,61,0.0826301202178001,True
0.0042000487446784,-6.235701990845496e-05,413,61,0.020182654261589,True
0.0042501022107899,-0.0005064720077319,412,58,0.0114394212141633,True
0.0043000429868698,0.0001219207628296,412,58,0.0385551154613494,True
0.004350084811449,-0.0008707945525361,412,58,0.9080886244773864,True
0.0044000102207064,1.3083501081175355e-05,413,61,0.0175268612802028,True
0.0044500487856566,-0.0006221970514288,413,61,0.115430474281311,True
0.0045000975951552,-0.0003496601314678,413,61,0.0187331680208444,True
0.0045500360429286,-0.000369465762037,413,61,0.3792325854301452,True
0.004600026179105,0.000292906029069,454,53,0.0099234087392687,True
0.004650046583265,0.0019622698698408,413,61,0.0072599439881742,True
0.0047000027261674,0.0020869061964063,413,61,0.0076865735463798,True
0.0047500790096819,0.0007474292736499,413,61,0.0249907150864601,True
0.0048000500537455,0.0001458729392207,412,58,0.0101608298718929,True
0.0048500085249543,0.0014600734865574,412,58,0.1111589148640632,True
0.004900075495243,0.0012710131572262,412,58,1.9769525527954104,True
0.0049500511959195,0.0046547972228936,412,56,0.0107969501987099,True
0.0050000296905636,0.0067694186144405,413,62,0.0268093179911375,True
0.0050500929355621,-0.0020593229167395,413,62,6.867815971374512,True
0.0051000565290451,0.0008208051714997,413,62,0.0125003783032298,True
0.0051500364206731,0.0011213106057926,412,60,0.1503367871046066,True
0.0052000349387526,-0.0014453131538321,412,60,3.3433547019958496,True
0.0052500055171549,0.0020752291896523,424,58,0.0090871145948767,True
0.0053000166080892,0.0025924156332127,424,58,0.014329488389194,True
0.0053500402718782,0.0004632128003679,413,62,0.0281328409910202,True
0.0054000713862478,0.0029862628905874,413,62,0.0089288605377078,True
0.005450002849102,0.0057282724580689,413,65,0.0142288133502006,True
0.0055000293068587,0.0045078479353896,413,65,0.0212808549404144,True
0.0055500301532447,0.0033187746545809,466,52,0.1469414383172989,True
0.0056000216864049,0.0014528379336074,466,52,0.021505132317543,True
0.0056500933133065,0.0018759340726274,466,52,0.0176506116986274,True
0.0057000792585313,0.0062179584679984,425,63,0.0067461575381457,True
0.0057500936090946,0.0040303211208699,425,63,0.0611989609897136,True
0.0058000292629003,-0.0014929732862913,425,63,0.0014679643791168,True
0.0058500482700765,0.0018972831568971,425,65,0.1874256879091262,True
0.0059000621549785,0.001141143356535,425,65,0.0304553639143705,True
0.0059500727802515,-0.0009928192655616,466,53,1.4285876750946045,True
0.0060000219382345,0.0011559311919983,425,61,5.750101089477539,True
0.0060500619001686,0.0028734696885321,425,61,0.0290869660675525,True
0.0061000040732324,0.0020121107212505,425,61,0.0208352319896221,True
0.0061500240117311,-0.0015393509605567,425,62,2.480739116668701,True
0.0062000728212296,0.0010581338144535,425,62,0.129803866147995,True
0.0062500489875674,0.0013338493733342,425,64,0.0123670883476734,True
0.0063000484369695,-0.0007483845316157,425,64,1.7458460330963137,True
0.0063500790856778,0.0009040198222238,437,12,0.0104567389935255,True
