window,start_ms,end_ms,n,DeltaH_x_kgm2_s,DeltaH_y_kgm2_s,DeltaH_z_kgm2_s,DeltaH_norm_kgm2_s,Jmag_x_Nmm_s,Jmag_y_Nmm_s,Jmag_z_Nmm_s,Jmag_norm_Nmm_s,Jnonmag_resolved_x_kgm2_s,Jnonmag_resolved_y_kgm2_s,Jnonmag_resolved_z_kgm2_s,Jnonmag_resolved_norm_kgm2_s,DeltaKrot_J,Wmag_J,Wnonmag_resolved_J
W0_preimpact,0.0,1.1501018889248,23,1.4011229674998675e-10,-4.321222881873466e-09,-2.2946261572870033e-09,4.894681588442e-09,1.204578812934591e-07,-5.999888048051281e-06,-3.3470649467999004e-06,6.871390721565099e-06,1.965441545652765e-11,1.6786651661778144e-09,1.0524387895128972e-09,1.981396084042032e-09,1.5968850380176164e-06,2.285665842444519e-06,-6.887808044269026e-07
W1_contact,1.1501018889248,1.6501018889248,10,-8.950540359231976e-10,4.2996575980553055e-09,4.6746173518365016e-09,6.414064590712197e-09,1.3761679209504186e-07,-4.310256837280637e-06,-2.1086740428943858e-06,4.800391505280331e-06,-1.0326708280182395e-09,8.609914435335943e-09,6.783291394730887e-09,1.100954484838843e-08,-1.3795235581991747e-07,2.550766895941965e-07,-3.93029045414114e-07
W2_immediate_postimpact,1.6501018889248,3.1501018889248,30,2.043074482476851e-09,9.108573162663054e-10,-2.831554315915625e-09,3.6085335297769246e-09,3.4868905247150385e-06,-1.3598650476590802e-05,-4.879684813897088e-06,1.486247032625494e-05,-1.4438160422381876e-09,1.4509507792857106e-08,2.0481304979814636e-09,1.4724308462252725e-08,-3.120029682306853e-07,1.1904839288844845e-06,-1.5024868971151698e-06
W3_intermediate,3.1501018889248,5.1501018889248,40,-1.5995062612208814e-09,-5.271556478906972e-10,7.916950312140413e-10,1.860939112178812e-09,-1.6609960124190135e-07,-1.7762308887746453e-05,-3.722709697480946e-06,1.814898822504902e-05,-1.43340665997898e-09,1.7235153239855757e-08,4.514404728694987e-09,1.7874143669240385e-08,-3.4056878659951317e-07,7.923884921841632e-07,-1.1329572787836764e-06
W4_late_postimpact,5.1501018889248,8.3083786472229,64,6.255251925295902e-10,-1.7497350293737294e-10,-8.267161779679832e-10,1.0513596587911036e-09,-3.874391586018072e-06,-2.9063182298882274e-05,3.938807883708147e-07,2.9322936714717356e-05,4.499916778547662e-09,2.88882087959449e-08,-1.220596966338798e-09,2.9262052481092275e-08,-4.708874570365988e-08,5.556804690741762e-07,-6.027692147778361e-07
