time_s,H_x_kgm2_s,H_y_kgm2_s,H_z_kgm2_s,Krot_J
1.0559219828036989e-07,1.39864946776848e-14,-2.366895575427053e-13,-1.4983430737493743e-13,5.240432521702295e-15
5.015628871596957e-05,1.0509849943711108e-13,-1.8020949045990398e-12,-1.1325103991498987e-12,3.0251693198635867e-13
0.000100206992711,5.047076929326481e-13,-8.78569498064511e-12,-5.490052878125864e-12,7.166874860168946e-12
0.0001502577470048,1.4509629793780741e-12,-2.5688473200760145e-11,-1.59628815104339e-11,6.107490801908647e-11
0.0002003086646864,3.156947939791632e-12,-5.676843774899122e-11,-3.506811024092267e-11,2.972694016137315e-10
0.0002503599485667,5.808955595352413e-12,-1.0545706985071597e-10,-6.472102777418622e-11,1.022184909577093e-09
0.0003004117071086,9.612100753561045e-12,-1.7458114278536157e-10,-1.06405985103333e-10,2.7911060503606006e-09
0.0003504600251311,1.4742460174991588e-11,-2.6678397445528607e-10,-1.614993840705795e-10,6.494742522539224e-09
0.0004005185849263,2.0606870482605788e-11,-3.8192856315648967e-10,-2.288575578053895e-10,1.3237928553609082e-08
0.00045056893628,2.7177003874189214e-11,-5.224169124169348e-10,-3.088262863646337e-10,2.4590015398751165e-08
0.0005006441234374,3.5559511160661584e-11,-6.931781906757899e-10,-4.0616715009817804e-10,4.309676327640909e-08
0.0005506997269771,4.5273673121142084e-11,-8.939704594924112e-10,-5.209761628079299e-10,7.148024183857189e-08
0.000600777214526,5.588551428770276e-11,-1.121790325385521e-09,-6.50179431783881e-10,1.1223864340904262e-07
0.0006508479161937,6.759129210002681e-11,-1.3757872646963463e-09,-7.933586285792217e-10,1.6838508817233908e-07
0.0007009063099565,8.056707815910151e-11,-1.6541214527152428e-09,-9.485226342262675e-10,2.4273601426526246e-07
0.0007509399507375,9.457547627510189e-11,-1.954119249270271e-09,-1.1136414199210074e-09,3.3775592728394236e-07
0.0008009554148667,1.092048765226369e-10,-2.271536367469704e-09,-1.2848589480379995e-09,4.547671133574516e-07
0.0008509704904745,1.2360783888785194e-10,-2.604921815149178e-09,-1.460218385861654e-09,5.955083223678808e-07
0.0009009893593656,1.3554294253289305e-10,-2.9488575373137904e-09,-1.637966172197572e-09,7.597898241146126e-07
0.0009509966554257,1.424986706750456e-10,-3.2976985382740533e-09,-1.8127202909984725e-09,9.453369098796659e-07
0.0010010070296765,1.4574453067670154e-10,-3.6504040942890493e-09,-1.9849056542966125e-09,1.1522565334716527e-06
0.0010510383240949,1.4480899311117475e-10,-3.9997266776753085e-09,-2.1526029945195255e-09,1.3764542069087117e-06
0.0011010684189865,1.4012628324466443e-10,-4.321459571431009e-09,-2.294775991594378e-09,1.596885043258049e-06
0.0011511563456506,1.310628143936794e-10,-3.592892250846311e-09,-1.493452596822078e-09,1.0242336079152e-06
0.0012012484227706,8.295183540367527e-11,-1.6929641208699294e-09,3.5294107366486825e-10,2.803401198222589e-07
0.001251305437513,3.005507545783897e-11,-8.960687014198919e-10,1.2450542475770472e-09,2.897241681820392e-07
0.0013013086032314,3.9001309189183774e-11,-1.3077178072148887e-09,1.0240636998484394e-09,3.154653165328056e-07
0.0013513336071394,4.540247552396741e-11,-1.701906823112322e-09,8.093803630512856e-10,3.647385571082056e-07
0.001401427007714,4.677725443614726e-11,-2.050668735750589e-09,6.159812461134478e-10,4.277227142650634e-07
0.0014514988455595,-5.89227217060426e-11,-1.7654222369616365e-09,9.043484642116898e-10,3.8418664835584253e-07
0.0015015449307459,-4.882988957381045e-10,5.585613253585248e-11,2.3896990104892786e-09,5.276416873405719e-07
0.0015516107087437,-8.159803874814128e-10,1.1701346947226764e-09,3.4093882982191453e-09,1.0473716278961005e-06
0.0016016918461323,-7.639912215295183e-10,7.067653472089946e-10,3.181164755014424e-09,8.862812520952825e-07
0.0016517698107643,-7.085686951812699e-10,2.6261856753282165e-10,2.9652354861100934e-09,7.654781441631282e-07
0.0017018564751782,-6.517832852621606e-10,-1.65149413628558e-10,2.763853025180165e-09,6.818030212170002e-07
0.0017518584707451,-5.872387758118611e-10,-5.697446618789573e-10,2.5698726087383008e-09,6.284461055612152e-07
0.0018019503655862,-5.135109924396924e-10,-9.730188953942626e-10,2.3749796362371658e-09,6.01226700634437e-07
0.0018520474963645,-4.338835388124713e-10,-1.3852343835809383e-09,2.1803402873659387e-09,6.023448880570868e-07
0.0019020518690141,-3.499775413018162e-10,-1.7939375142761118e-09,1.98991697360762e-09,6.313597858007781e-07
0.0019521530746689,-2.718059880909751e-10,-2.1534251271008106e-09,1.811589532183621e-09,6.744434239346474e-07
0.0020021695284418,-1.899614376391405e-10,-2.5091512128269857e-09,1.6394939397134277e-09,7.394404063000605e-07
0.0020521997019835,-9.416046822977017e-11,-2.8907377815138596e-09,1.464053174949849e-09,8.366933132317986e-07
0.00210221641897,-5.390626302339076e-12,-3.230517883276266e-09,1.3002862904314997e-09,9.40280607104378e-07
0.0021522185936368,8.826479588734505e-11,-3.5644984666980334e-09,1.138847465843451e-09,1.0610930717235758e-06
0.0022023006099916,1.946069497602604e-10,-3.852180223486738e-09,9.930997921212248e-10,1.1842394616594648e-06
0.0022523448520384,2.8897778373239594e-10,-2.6747922534043502e-09,1.1361534465040027e-09,7.533295140111201e-07
0.0023023508563621,2.987653187139084e-10,3.968346537840945e-10,1.6316674761063392e-09,5.256487833770222e-07
0.0023524315362897,3.014644014010908e-10,1.9455792790356165e-09,1.883194942942278e-09,9.180327398834414e-07
0.0024024674731407,4.3396421409307336e-10,1.5119213749078598e-09,1.7323974526958209e-09,7.892862005450684e-07
0.0024524680118199,5.631204317904744e-10,1.0787704597706768e-09,1.585849871579892e-09,6.91048568354156e-07
0.0025025401314598,6.836814434049482e-10,6.511493976037737e-10,1.4457146318990726e-09,6.215475522674927e-07
0.0025525404116153,7.970916494144511e-10,2.40717630670969e-10,1.3079450069164488e-09,5.782967248639209e-07
0.0026025788090918,9.093014952329992e-10,-1.614065984758511e-10,1.1664265183482761e-09,5.58415731960171e-07
0.0026526429700164,1.0190097410871176e-09,-5.615084113644103e-10,1.0337693608173147e-09,5.665356507439493e-07
0.0027027041353129,1.1300068803939986e-09,-9.563330389859552e-10,9.082567630518193e-10,6.028715144001468e-07
0.002752727751742,1.2383803691764412e-09,-1.3274456442802324e-09,7.799232536450454e-10,6.564893576153086e-07
0.0028027851466076,1.3454384877677677e-09,-1.699967679577392e-09,6.550292709483485e-10,7.326349696478441e-07
0.0028528684454959,1.4593052392047817e-09,-2.060998242959495e-09,5.303060960817217e-10,8.316527388314676e-07
0.0029029691188732,1.6661959917692386e-09,-2.078419880526569e-09,3.553498245182381e-10,8.931392369520612e-07
0.0029529749390644,1.9838519735120275e-09,-1.4223009132577922e-09,1.235921354815746e-10,8.712754047851313e-07
0.0030029920890958,1.9108058339225043e-09,-2.4722341302235567e-10,4.968803394370147e-11,6.722907468752017e-07
0.0030530837572461,1.4793106942320555e-09,8.969812033649215e-10,1.3725966931191436e-10,4.919519444992652e-07
0.0031031766318364,1.3345057872955814e-09,1.1734758837991272e-09,1.336811701944682e-10,4.534751759324429e-07
0.0031531785532825,1.4377450662652707e-09,7.509565136374051e-10,2.383914217340261e-11,4.1966239234633307e-07
0.0032032105389651,1.5242101252512326e-09,3.7472293542619025e-10,-7.902211334041405e-11,4.0900461541266517e-07
0.0032532344797396,1.4683541502044634e-09,5.242797242195004e-10,-9.689203932116995e-11,3.8198853152965834e-07
0.0033032675086567,1.3743300573694346e-09,7.357159446712164e-10,-8.520960814112221e-11,3.546618939472492e-07
0.0033533046221682,1.4255593969746884e-09,4.255833335620638e-10,-1.6976356160538622e-10,3.3898610627800913e-07
0.0034033132819934,1.5005727198731118e-09,7.991262060167057e-12,-2.6757728759154985e-10,3.477108539453416e-07
