time_s,phi_robot_rad,phi_field_rad,omega_wobble_rad_s,omega_spin_rad_s
1.0559219828036989e-07,1.8604747724650375,-1.9914700802675798,0.03734194172990511,-0.0021123304468572157
5.015628871596957e-05,1.860431028372231,-1.9817324642783911,0.28371356709758316,-0.016421088124384274
0.000100206992711,1.8603791508828047,-1.9719916998601226,1.3809231945726486,-0.08007005198951461
0.0001502577470048,1.8602994954899241,-1.9622478046078449,4.031230199311684,-0.232722262078715
0.0002003086646864,1.860161766190239,-1.952500782961773,8.893650006850878,-0.5152285169850858
0.0002503599485667,1.8599264375478388,-1.942750622394394,16.491464452748268,-0.9826444887911443
0.0003004117071086,1.8595487431613154,-1.9329973292571627,27.249561614858965,-1.719302536478264
0.0003504600251311,1.8589785269974344,-1.92324169484122,41.56451918580511,-2.797825121050455
0.0004005185849263,1.8581614266727715,-1.913481080159498,59.33960039734772,-4.052874215850912
0.00045056893628,1.8570651778884417,-1.903719111694575,80.87407041600657,-5.5752142468770005
0.0005006441234374,1.8556398685252327,-1.893949372654353,107.06206087373651,-7.617091117111244
0.0005506997269771,1.853805347657807,-1.884180559118423,137.8798544604206,-9.907695137098607
0.000600777214526,1.8515141935916806,-1.8744046088950876,172.77363272779786,-12.44969558602588
0.0006508479161937,1.848720961118756,-1.8646271488491553,211.61871905644395,-15.35755195239151
0.0007009063099565,1.8453862808398143,-1.8548492907431653,254.07105815577103,-18.89475930295088
0.0007509399507375,1.8414872780955827,-1.8450735008971646,299.68726423058314,-23.071928167220673
0.0008009554148667,1.8370055873632278,-1.8352985307659047,347.72143148707244,-27.99745652186268
0.0008509704904745,1.8319545040173584,-1.825520938683684,397.87647447010244,-33.50165360492372
0.0009009893593656,1.8263387395653217,-1.8157399406828647,449.40732425279424,-38.38014982830905
0.0009509966554257,1.8201887722057675,-1.805958576488771,501.30496790774515,-41.96819154320541
0.0010010070296765,1.8135668203881345,-1.7961740158743569,553.4870582525018,-44.82366738798863
0.0010510383240949,1.806479334434075,-1.7863828015330316,604.9897884830636,-46.54959468059104
0.0011010684189865,1.7989902812348904,-1.776589296682517,651.648693692586,-49.38170633367571
0.0011511563456506,1.791263569314113,-1.76678197796986,517.0829011549284,-147.3475848185981
0.0012012484227706,1.7910421945562598,-1.7569713886625753,214.61628496556358,-339.74646432554243
0.001251305437513,1.7993660914435965,-1.7471652483589082,173.40735344774274,-435.9618915124995
0.0013013086032314,1.8069659862192444,-1.7373672816304275,193.3630863466584,-433.80695324517205
0.0013513336071394,1.8137930365673767,-1.7275626983908159,227.5168127172747,-427.9366632180913
0.001401427007714,1.8199200020752306,-1.7177424060327886,265.68880147619865,-418.13688754227167
0.0014514988455595,1.8254017542977825,-1.7079240763148194,243.14059778613748,-417.55504056151136
0.0015015449307459,1.8347616221130993,-1.6981085738478676,306.6034947373083,-433.27667889877426
0.0015516107087437,1.8551994690062603,-1.6882870261417113,479.6398491426985,-444.11293872323546
0.0016016918461323,1.8748897967442846,-1.6784603217883443,431.62621256944635,-447.9812202083027
0.0016517698107643,1.8937877848357285,-1.6686321375579174,391.85040336478136,-450.60746067368814
0.0017018564751782,1.91195446621076,-1.6588001847492786,361.78881242206216,-452.274798950563
0.0017518584707451,1.9293619165263416,-1.64898283824718,341.0416347627264,-453.9355052381581
0.0018019503655862,1.9459896915806036,-1.6391458657601734,329.7486616209416,-455.38579757978226
0.0018520474963645,1.961754641941368,-1.6293059307782105,329.9581669310878,-456.0924565527449
0.0019020518690141,1.9766251880049246,-1.6194823294533147,341.5912617206845,-455.71376585780996
0.0019521530746689,1.9906263643423712,-1.60963785934584,359.48136969835076,-450.9538339850365
0.0020021695284418,2.0037675119030625,-1.59980824392385,384.35381477591375,-445.5853382957214
0.0020521997019835,2.0160014539674997,-1.5899741792352675,417.4763265882328,-442.5847231060521
0.00210221641897,2.027320871040112,-1.580141052106602,450.9346019111735,-435.8281736247373
0.0021522185936368,2.0377924345102048,-1.570309122790504,486.96370447187655,-428.26336397733206
0.0022023006099916,2.0473284054828063,-1.5604598751763288,519.619346056515,-427.9014454503178
0.0022523448520384,2.0559814653396313,-1.5506164841228847,367.33973209242885,-514.882553116391
0.0023023508563621,2.063472402436739,-1.5407790909350116,149.87544566462873,-688.7570191659454
0.0023524315362897,2.0695961316710165,-1.5309255281959562,307.2837831203679,-778.2707582797946
0.0024024674731407,2.075029775457484,-1.5210793380332153,244.59129822860115,-779.0827083932018
0.0024524680118199,2.0798332924723413,-1.511238732638281,183.21678901913336,-779.3309946621258
0.0025025401314598,2.083974852317906,-1.5013827040578325,125.53863349765233,-777.5168537921658
0.0025525404116153,2.0875616377417314,-1.491539531080118,77.09145849171894,-773.0890443570199
0.0026025788090918,2.09046731002617,-1.4816876174021822,56.52360616440917,-766.4128390158472
0.0026526429700164,2.0927192866084305,-1.4718294421154552,86.06087433408244,-760.9970306409111
0.0027027041353129,2.094342197386949,-1.4619707168821094,134.98326418896056,-757.9733435790895
0.002752727751742,2.0953094594689685,-1.452118297539457,185.5686558482236,-752.7982142522552
0.0028027851466076,2.0955373843103504,-1.4422581860187738,237.975134315555,-747.6357094564061
0.0028528684454959,2.0950931933941765,-1.4323919820053326,289.81254013323127,-744.9562570779718
0.0029029691188732,2.0937963312692967,-1.4225214153367522,303.1278848565198,-767.5843716380895
0.0029529749390644,2.08972733318834,-1.412668649664444,253.73618915373171,-822.6242333170553
0.0030029920890958,2.0815941025601887,-1.402812816920158,169.08847678372044,-779.2850888100899
0.0030530837572461,2.0743289183084235,-1.392941515360411,166.8470067510667,-645.3404414741839
0.0031031766318364,2.067798984048254,-1.3830692422875224,187.29162976429265,-588.1119692640565
0.0031531785532825,2.060901693188065,-1.3732142144755806,158.80158577736415,-591.0419797616834
0.0032032105389651,2.0535595390019385,-1.3633526337680029,149.46873336164947,-591.1747299875922
0.0032532344797396,2.0458999443358814,-1.3534920637729242,154.96273823781772,-560.0840951452276
0.0033032675086567,2.0386846512665455,-1.3436291800107198,162.29330174484875,-524.3381815903441
0.0033533046221682,2.0313287099597344,-1.3337650216043826,152.03419664692692,-520.6694606637858
0.0034033132819934,2.023612261920591,-1.3239060565513765,155.7671401729681,-525.2022409699863
0.0034533278612902,2.015681174049306,-1.3140455619876947,175.51994960875086,-529.188567696062
0.0035033350198284,2.00754494879949,-1.3041862215243687,205.18246158093598,-531.8634356689034
0.003553351234828,1.9992527359334298,-1.2943248402608818,236.9065789085432,-534.3470449294407
0.003603353770244,1.990810069891323,-1.2844659548552055,227.93016940824376,-552.5951371381354
0.0036534359712563,1.9821800457908556,-1.274591214475264,220.76782055853508,-570.4053081474386
0.0037035201375785,1.9733939205672264,-1.2647159934341905,251.20116120477093,-565.3408466582104
0.0037535809599474,1.9645347995289135,-1.2548453366798755,202.96116848143532,-493.63366073454654
0.0038036731880079,1.956466901310703,-1.2449685038219338,159.01812001380915,-376.0057127425861
0.0038537393811051,1.9492547083755292,-1.2350968754984735,170.2319939714158,-326.87301373644084
0.0039037413296049,1.9420600497882237,-1.2252380402476806,152.9501827171031,-333.74301738538423
0.0039537950733146,1.9348367489301606,-1.215369173600229,159.38590504802428,-346.3253559138405
0.004003864377662,1.9275238760379683,-1.2054974753236107,155.3678573293252,-356.91367946194566
0.004053870480625,1.9202917966122357,-1.1956385290583937,141.86818719415308,-355.66626811007126
0.0041039108849171,1.913147195788293,-1.1857731667298532,139.260914253786,-338.61803821820473
0.0041539831374274,1.9061537816123537,-1.175901928117483,137.97608693082122,-326.1154729480022
0.0042040534091753,1.89923742988128,-1.1660315381998565,149.19000309335166,-325.2001641736328
0.0042541055202333,1.8923947807521584,-1.1561652418741513,156.14129209047272,-318.1048235078187
0.00430415093,1.8856700491419758,-1.1463008355104956,170.32205623800962,-313.54668742513786
0.0043541912664787,1.8790526661258065,-1.1364380536693384,186.10471282537313,-312.1769355921098
0.0044042249174187,1.8725193936433415,-1.1265772695689944,200.54737459179194,-311.6167450479427
0.0044542656038197,1.8661451068744388,-1.1167158347407906,211.14976302927687,-310.8128741914808
0.004504309991464,1.8597919535530305,-1.106854462217939,172.1098160925274,-317.635608500991
0.0045543586924016,1.8535943355844258,-1.0969930873332454,115.4009094338796,-342.41159548240324
0.0046044485808657,1.8485975572169502,-1.0871245015414905,147.32662096240344,-349.45955913537756
0.0046544707839777,1.8453138513928666,-1.0772702097133515,101.00807826277801,-341.85064713869633
0.0047045374667427,1.842243592853144,-1.067408170603921,60.62048565449181,-344.7364660675376
0.0047546121569375,1.8395747168099594,-1.0575456257828315,42.429966476549616,-343.5292133152061
0.004804687440815,1.8381618326405353,-1.0476840914412646,43.739397280552666,-338.78890966375997
