time_s,driver_arc_mm,robot_arc_mm,Vt_mm_s
1.0559219828036989e-07,18.899961259553187,13.799960625932426,0.007870498024483816
5.015628871596957e-05,18.900261563732293,13.799960625932426,0.007870929563179968
0.000100206992711,18.900561867956263,13.799960625932426,0.007871011356556877
0.0001502577470048,18.90086217248203,13.799960625932426,0.007869887033091483
0.0002003086646864,18.90116247798812,13.799960625932426,0.007866205114864851
0.0002503599485667,18.9014627856914,13.799960625932426,0.007858183329619186
0.0003004117071086,18.90176309624265,13.799960625932426,0.00784372561901131
0.0003504600251311,18.902063386150783,13.799960625932426,0.007820459372792039
0.0004005185849263,18.90236373750956,13.799960625932426,0.007785690543963095
0.00045056893628,18.90266403961768,13.799960625932426,0.007737262033286346
0.0005006441234374,18.902964490740622,13.799960625932426,0.007672064371259727
0.0005506997269771,18.903264824361862,13.799960625932426,0.007586363250380657
0.000600777214526,18.903565289287155,13.799960625932426,0.00747699885313928
0.0006508479161937,18.90386571349716,13.799960625932426,0.007340910933379672
0.0007009063099565,18.904166063859737,13.799960625932426,0.007174925431471336
0.0007509399507375,18.904466265704425,13.799960625932426,0.006976342676171447
0.0008009554148667,18.9047663584892,13.799960625932426,0.0067424529667055285
0.0008509704904745,18.905066448942847,13.799960625932426,0.00647127662336506
0.0009009893593656,18.905366562156196,13.799960625932426,0.006160340263331132
0.0009509966554257,18.905666605932552,13.799960625932426,0.0058088399122115456
0.0010010070296765,18.905966668178056,13.799960625932426,0.005415792789754037
0.0010510383240949,18.90626685594457,13.799960625932426,0.004980166955737369
0.0011010684189865,18.90656703651392,13.799960625932426,0.004502787791319233
0.0011511563456506,18.906867564073902,13.799960625932426,0.003982809755274317
0.0012012484227706,18.907168116536624,13.799960625932426,0.003742727684206287
0.001251305437513,18.907468458625075,13.799960625932426,0.0038109636743837282
0.0013013086032314,18.90776847761939,13.799960625932426,0.003829504306348122
0.0013513336071394,18.908068627642837,13.799960625932426,0.0037994267575721264
0.001401427007714,18.908369188046283,13.799960625932426,0.003722858164734303
0.0014514988455595,18.908669619073358,13.799960625932426,0.003602467166043165
0.0015015449307459,18.908969895584477,13.799960625932426,0.0036229722213576452
0.0015516107087437,18.90927029025246,13.799960625932426,0.004041823797410026
0.0016016918461323,18.909570777076794,13.799960625932426,0.004402887598678644
0.0016517698107643,18.909871244864583,13.799960625932426,0.004708409949479974
0.0017018564751782,18.910171764851068,13.799960625932426,0.004961169726305235
0.0017518584707451,18.91047177682447,13.799960625932426,0.005163137276870086
0.0018019503655862,18.91077232819352,13.799960625932426,0.005317134045509209
0.0018520474963645,18.911072910978184,13.699960625932428,0.005524473566459949
0.0019020518690141,18.91137293721408,13.699960625932428,0.005577734284356236
0.0019521530746689,18.91167354444801,13.699960625932428,0.005579337018979399
0.0020021695284418,18.91197364317065,13.699960625932428,0.005538850981534272
0.0020521997019835,18.9122738242119,13.699960625932428,0.00544678179708939
0.00210221641897,18.91257392451382,13.699960625932428,0.005306181380431356
0.0021522185936368,18.91287393756182,13.699960625932428,0.005121988069404223
0.0022023006099916,18.91317442965995,13.699960625932428,0.004888196793298486
0.0022523448520384,18.913474695112228,13.699960625932428,0.004605585022892368
0.0023023508563621,18.91377473113817,13.699960625932428,0.004577634850521296
0.0023524315362897,18.914075215217736,13.699960625932428,0.004863744619200749
0.0024024674731407,18.91437543083884,13.599960625932429,0.005192861367155596
0.0024524680118199,18.91467543407092,13.599960625932429,0.005378646448512344
0.0025025401314598,18.91497586678876,13.599960625932429,0.0055118930560936
0.0025525404116153,18.91527586846969,13.599960625932429,0.005596814331719372
0.0026025788090918,18.91557609885455,13.599960625932429,0.005633621999421473
0.0026526429700164,18.915876483820096,13.599960625932429,0.005622498488241904
0.0027027041353129,18.91617685081188,13.599960625932429,0.0055645463537994004
0.002752727751742,18.91647699251045,13.599960625932429,0.005459776260523847
0.0028027851466076,18.916777336879644,13.499960625932426,0.005409838996510762
0.0028528684454959,18.917077836672973,13.499960625932426,0.005209862795471915
0.0029029691188732,18.91737844071324,13.499960625932426,0.004963490607637463
0.0029529749390644,18.917678475634386,13.499960625932426,0.004714851813044014
0.0030029920890958,18.917978578534573,13.499960625932426,0.004504314673249148
0.0030530837572461,18.918279128543475,13.499960625932426,0.004461230581295869
