time_s,phi_robot_rad,phi_field_rad,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,omega_norm_rad_s,omega_spin_rad_s,omega_wobble_rad_s,H_x_kgm2_s,H_y_kgm2_s,H_z_kgm2_s,Krot_J,Jmag_x_Nmm_s,Jmag_y_Nmm_s,Jmag_z_Nmm_s,Jmag_norm_Nmm_s,Wmag_J,driver_arc_mm,robot_arc_mm,Vt_mm_s,Tmag_norm_Nmm,Fmag_norm_N,robot_phase_equiv_Hz,B_local_phase_equiv_Hz,omega_direct_VR_norm_rad_s,omega_relative_norm_rad_s,omega_direct_relative_abs_diff_rad_s,omega_direct_relative_rel_diff
1.0559219828036989e-07,1.8604747724650372,-1.99147008026758,0.0033957876455635,-0.0316902279447945,-0.0195724457120092,0.0374016383608572,-0.0021123304468572,0.0373419417299051,1.3986494677684801e-14,-2.366895575427053e-13,-1.4983430737493745e-13,5.240432521702295e-15,0.0,0.0,0.0,0.0,0.0,18.899961259553187,13.799960625932426,0.0078704980244838,3.8989433640016124e-10,2.632428345508816e-13,-0.1391007335684934,30.964398628544856,0.00030341188149961745,0.037401638360857185,0.03709822685460028,0.9918877482497012
5.015628871596957e-05,1.860431028372231,-1.9817324642783911,0.0259150563373233,-0.2413094930457326,-0.1478552627114384,0.2841883887325863,-0.0164210881243842,0.2837135670975831,1.0509849943711108e-13,-1.80209490459904e-12,-1.1325103991498989e-12,3.025169319863587e-13,7.422145339705452e-11,-1.798659948239726e-09,-1.1340899437512942e-09,2.1276386991366554e-09,6.036359360842289e-13,18.900261563732293,13.799960625932426,0.0078709295631799,8.501895438010137e-05,5.741534754614819e-08,-0.1520323113094981,30.96940211942794,0.1458624829653772,0.2841883887325863,0.13832674043132354,0.48674311096321854
0.000100206992711,1.8603791508828047,-1.9719916998601223,0.1253297429871849,-1.176450266905054,-0.7166709897548005,1.383242597137007,-0.0800700519895146,1.3809231945726486,5.047076929326481e-13,-8.78569498064511e-12,-5.490052878125864e-12,7.166874860168946e-12,4.263121763749e-10,-1.0543883807195086e-08,-6.612508246186933e-09,1.2453131859787177e-08,1.252785098855916e-11,18.900561867956263,13.799960625932426,0.0078710113565568,0.0003275831719756,2.2126891789165997e-07,-0.2091288609891012,30.97936786878496,1.11864286088941,1.383242597137007,0.2646038501915701,0.19129243904087326
0.0001502577470048,1.860299495489924,-1.9622478046078449,0.3621384452332693,-3.4397148541019487,-2.083793185530655,4.037942120822135,-0.232722262078715,4.031230199311684,1.4509629793780741e-12,-2.5688473200760145e-11,-1.59628815104339e-11,6.107490801908646e-11,1.2887809687367622e-09,-3.2583052919177594e-08,-2.0318132572594503e-08,3.842060391452522e-08,9.548133949845832e-11,18.90086217248203,13.799960625932426,0.0078698870330914,0.000710066640878,4.796484913776074e-07,-0.345626776450273,30.98925029863784,3.6651485627208165,4.037942120822135,0.3728095084791687,0.09232661026930812
0.0002003086646864,1.860161766190239,-1.952500782961773,0.7943439031981092,-7.601493072602696,-4.576985001034903,8.90856166106927,-0.5152285169850858,8.893650006850878,3.156947939791632e-12,-5.676843774899122e-11,-3.506811024092267e-11,2.9726940161373147e-10,2.8430013010861942e-09,-7.35576746437735e-08,-4.5599823204185945e-08,8.65919051161841e-08,4.3749370166944874e-10,18.90116247798812,13.799960625932426,0.0078662051148648,0.0012148388211763,8.204175794283601e-07,-0.5931328279251912,30.99904770968601,8.437527027299035,8.90856166106927,0.4710853243048233,0.05288006551758887
0.0002503599485667,1.8599264375478388,-1.942750622394394,1.4866333163310956,-14.1234195586759,-8.441145143876918,16.520713967247644,-0.9826444887911444,16.491464452748268,5.808955595352413e-12,-1.0545706985071595e-10,-6.472102777418622e-11,1.022184909577093e-09,5.222274970527372e-09,-1.3839607908611208e-07,-8.528223009061907e-08,1.6264625919924033e-07,1.4607435493844171e-09,18.9014627856914,13.799960625932426,0.0078581833296191,0.0018242521776924,1.2310247812698011e-06,-0.9746500011156302,31.008758422867945,16.007479191218913,16.520713967247644,0.513744635453499,0.031096999589242873
0.0003004117071086,1.8595487431613156,-1.9329973292571627,2.527308097854952,-23.38932209176119,-13.85809998810459,27.303747167997575,-1.719302536478264,27.249561614858965,9.612100753561044e-12,-1.7458114278536155e-10,-1.06405985103333e-10,2.7911060503606006e-09,8.514746095772376e-09,-2.313051142703962e-07,-1.4167529507345738e-07,2.713787869802423e-07,3.932491191056691e-09,18.90176309624265,13.799960625932426,0.0078437256190113,0.0025206226550786,1.698315268222003e-06,-1.5071592503936937,31.018380744820732,26.70921751796865,27.303747167997578,0.5962602663400536,0.021838037931984796
0.0003504600251311,1.8589785269974344,-1.92324169484122,3.9920207755624126,-35.75816834340513,-20.996529413389244,41.6585775147825,-2.797825121050455,41.56451918580511,1.4742460174991588e-11,-2.6678397445528607e-10,-1.614993840705795e-10,6.494742522539224e-09,1.2765715864171422e-08,-3.557497135507368e-07,-2.1657682497603603e-07,4.166849449040084e-07,9.069085666925176e-09,18.902063386150783,13.799960625932426,0.007820459372792,0.0032861455574951,2.2083266509659225e-06,-2.205545175788829,31.02791221797545,40.89866061322901,41.6585775147825,0.7705790035502289,0.018497487180804236
0.0004005185849263,1.8581614266727715,-1.913481080159498,5.68105510638895,-51.19934075005226,-29.73158395317392,59.47784431808553,-4.052874215850912,59.33960039734772,2.0606870482605788e-11,-3.8192856315648967e-10,-2.2885755780538947e-10,1.3237928553609082e-08,1.7982079386854297e-08,-5.145049845665273e-07,-3.1131885318194975e-07,6.016295892568799e-07,1.8581622026184464e-08,18.90236373750956,13.799960625932426,0.007785690543963,0.0041032138866655,2.746378385719072e-06,-3.041949561640445,31.037353729706407,59.17685619743914,59.47784431808553,0.32981344898924625,0.005545147992005475
0.00045056893628,1.8570651778884415,-1.903719111694575,7.65527234813623,-70.04245944452417,-40.08926240017169,81.06601186410845,-5.5752142468770005,80.87407041600657,2.717700387418921e-11,-5.224169124169347e-10,-3.0882628636463367e-10,2.4590015398751165e-08,2.4130856655066664e-08,-7.094965301721649e-07,-4.2668749112946763e-07,8.282691830894161e-07,3.4699984822344995e-08,18.90266403961768,13.799960625932426,0.0077372620332863,0.0049536137335029,3.296808411626918e-06,-4.007893666452906,31.0467000895636,79.97824911752863,81.06601186410845,1.0945700108644472,0.013502206235324403
