time_s,Wmag_J,Krot_J,Tmag_norm_Nmm,omega_wobble_rad_s
1.0559219828036989e-07,0.0,5.240432521702295e-15,3.8989433640016124e-10,0.03734194172990511
5.015628871596957e-05,6.036359360842289e-13,3.0251693198635867e-13,8.501895438010137e-05,0.28371356709758316
0.000100206992711,1.252785098855916e-11,7.166874860168946e-12,0.00032758317197569735,1.3809231945726486
0.0001502577470048,9.548133949845832e-11,6.107490801908647e-11,0.0007100666408780943,4.031230199311684
0.0002003086646864,4.374937016694488e-10,2.972694016137315e-10,0.0012148388211763626,8.893650006850878
0.0002503599485667,1.4607435493844171e-09,1.022184909577093e-09,0.0018242521776924985,16.491464452748268
0.0003004117071086,3.93249119105669e-09,2.7911060503606006e-09,0.0025206226550786096,27.249561614858965
0.0003504600251311,9.069085666925176e-09,6.494742522539224e-09,0.003286145557495134,41.56451918580511
0.0004005185849263,1.8581622026184464e-08,1.3237928553609082e-08,0.004103213886665571,59.33960039734772
0.00045056893628,3.4699984822344995e-08,2.4590015398751165e-08,0.0049536137335029155,80.87407041600657
0.0005006441234374,6.033053410103693e-08,4.309676327640909e-08,0.005819841942320058,107.06206087373651
0.0005506997269771,9.898529107321809e-08,7.148024183857189e-08,0.006682860879012404,137.8798544604206
0.000600777214526,1.546074707810975e-07,1.1223864340904262e-07,0.007524913832312271,172.77363272779786
0.0006508479161937,2.3126641464359707e-07,1.6838508817233908e-07,0.008326811975670593,211.61871905644395
0.0007009063099565,3.330370006722621e-07,2.4273601426526246e-07,0.009069550256011288,254.07105815577103
0.0007509399507375,4.636462936310637e-07,3.3775592728394236e-07,0.009733902903578581,299.68726423058314
0.0008009554148667,6.26148141772362e-07,4.547671133574516e-07,0.010300825810217924,347.72143148707244
0.0008509704904745,8.22665943489117e-07,5.955083223678808e-07,0.010751421875226033,397.87647447010244
0.0009009893593656,1.0539939313148154e-06,7.597898241146126e-07,0.011066684874045768,449.40732425279424
0.0009509966554257,1.319042543115175e-06,9.453369098796659e-07,0.011228278508945049,501.30496790774515
0.0010010070296765,1.6150120475515607e-06,1.1522565334716527e-06,0.011218961926430996,553.4870582525018
0.0010510383240949,1.9384725155850246e-06,1.3764542069087117e-06,0.011112470696715027,604.9897884830636
0.0011010684189865,2.285665842444519e-06,1.596885043258049e-06,0.010985365915762747,651.648693692586
0.0011511563456506,2.6050033099921975e-06,1.0242336079152e-06,0.010834955160724137,517.0829011549284
0.0012012484227706,2.7933303038283376e-06,2.803401198222589e-07,0.010746721519337003,214.61628496556358
0.001251305437513,2.850036443631567e-06,2.897241681820392e-07,0.01073777408048556,173.40735344774274
0.0013013086032314,2.883966388638494e-06,3.154653165328056e-07,0.010713866484611622,193.3630863466584
0.0013513336071394,2.9509885363649595e-06,3.647385571082056e-07,0.010675003271886212,227.5168127172747
0.001401427007714,3.0484287885056674e-06,4.277227142650634e-07,0.010620973791023447,265.68880147619865
0.0014514988455595,3.1463237626795795e-06,3.8418664835584253e-07,0.010552053302407471,243.14059778613748
0.0015015449307459,3.1500963152972857e-06,5.276416873405719e-07,0.010521656186495256,306.6034947373083
0.0015516107087437,3.021837683245841e-06,1.0473716278961005e-06,0.010605204441000743,479.6398491426985
0.0016016918461323,2.8600799995863936e-06,8.862812520952825e-07,0.010668665958675449,431.62621256944635
0.0016517698107643,2.734157737417204e-06,7.654781441631282e-07,0.010714246393539023,391.85040336478136
0.0017018564751782,2.6430757028743776e-06,6.818030212170002e-07,0.010743614024970646,361.78881242206216
0.0017518584707451,2.5857406347899373e-06,6.284461055612152e-07,0.010758070241911503,341.0416347627264
0.0018019503655862,2.561326936620371e-06,6.01226700634437e-07,0.010758816376219782,329.7486616209416
0.0018520474963645,2.5703144836274912e-06,6.023448880570868e-07,0.010744914432521931,329.9581669310878
0.0019020518690141,2.6126970546151303e-06,6.313597858007781e-07,0.010716443734605612,341.5912617206845
0.0019521530746689,2.686441749446692e-06,6.744434239346474e-07,0.010672659711510947,359.48136969835076
0.0020021695284418,2.7889419161714218e-06,7.394404063000605e-07,0.010616071336447059,384.35381477591375
0.0020521997019835,2.9206418877422974e-06,8.366933132317986e-07,0.010542639047115969,417.4763265882328
0.00210221641897,3.0802416092915168e-06,9.40280607104378e-07,0.010452303202195519,450.9346019111735
0.0021522185936368,3.265223720604371e-06,1.0610930717235758e-06,0.010345455091380414,486.96370447187655
0.0022023006099916,3.473346510403366e-06,1.1842394616594648e-06,0.010218751291982056,519.619346056515
0.0022523448520384,3.6537884498890216e-06,7.533295140111201e-07,0.010070733647279013,367.33973209242885
0.0023023508563621,3.698085803718364e-06,5.256487833770222e-07,0.01002579422907946,149.87544566462873
0.0023524315362897,3.5941396032661456e-06,9.180327398834414e-07,0.010111319569824305,307.2837831203679
0.0024024674731407,3.456132644480331e-06,7.892862005450684e-07,0.010176107783159952,244.59129822860115
0.0024524680118199,3.3501187081412237e-06,6.91048568354156e-07,0.010222055654058287,183.21678901913336
0.0025025401314598,3.2759914087539485e-06,6.215475522674927e-07,0.010249349033348837,125.53863349765233
0.0025525404116153,3.233341185600902e-06,5.782967248639209e-07,0.010259694995745474,77.09145849171894
0.0026025788090918,3.2213410164061037e-06,5.58415731960171e-07,0.010253550648278684,56.52360616440917
0.0026526429700164,3.2396052994370086e-06,5.665356507439493e-07,0.010230851962920577,86.06087433408244
0.0027027041353129,3.2875716451921537e-06,6.028715144001468e-07,0.01019158051953011,134.98326418896056
0.002752727751742,3.3639186623825517e-06,6.564893576153086e-07,0.010135360238893644,185.5686558482236
0.0028027851466076,3.467564933288557e-06,7.326349696478441e-07,0.010062936208727528,237.975134315555
0.0028528684454959,3.5976311656339863e-06,8.316527388314676e-07,0.009971609589804312,289.81254013323127
0.0029029691188732,3.743994650805708e-06,8.931392369520612e-07,0.009861511628977474,303.1278848565198
0.0029529749390644,3.877817285994203e-06,8.712754047851313e-07,0.009756792873688209,253.73618915373171
0.0030029920890958,3.960042212202495e-06,6.722907468752017e-07,0.009678791691262286,169.08847678372044
0.0030530837572461,3.967074098861472e-06,4.919519444992652e-07,0.009669865229969533,166.8470067510667
0.0031031766318364,3.924641666301688e-06,4.534751759324429e-07,0.009702734226555421,187.29162976429265
0.0031531785532825,3.8859335493806905e-06,4.1966239234633307e-07,0.009717548255951183,158.80158577736415
0.0032032105389651,3.873312790949823e-06,4.0900461541266517e-07,0.00971436810161062,149.46873336164947
0.0032532344797396,3.867564479343432e-06,3.8198853152965834e-07,0.0096946088664795,154.96273823781772
0.0033032675086567,3.848583310880536e-06,3.546618939472492e-07,0.009709999042219988,162.29330174484875
0.0033533046221682,3.831677571928196e-06,3.3898610627800913e-07,0.009715104019828516,152.03419664692692
0.0034033132819934,3.838107863514998e-06,3.477108539453416e-07,0.009702409678148,155.7671401729681
0.0034533278612902,3.870426090948118e-06,3.7619408097328105e-07,0.009672601579328628,175.51994960875086
0.0035033350198284,3.926867600780791e-06,4.2123984926564463e-07,0.009626934257443393,205.18246158093598
0.003553351234828,4.004962912552798e-06,4.763689771010949e-07,0.009565064089158097,236.9065789085432
0.003603353770244,4.0881939116033235e-06,4.791514564224869e-07,0.009489480799589318,227.93016940824376
0.0036534359712563,4.16321061654694e-06,4.856891309801283e-07,0.009441618896118161,220.76782055853508
0.0037035201375785,4.2439622806060825e-06,5.342760712011282e-07,0.009376429130722275,251.20116120477093
0.0037535809599474,4.3170571644418265e-06,3.813653825736649e-07,0.009293206380500584,202.96116848143532
