time_s,dt_us,dB_mT,dF_uN,dT_uNmm,drp_mm,dur
1.0559219828036989e-07,0.0,0.0,0.0,0.0,0.0,0.0
0.000100206992711,0.0,0.0,0.0,0.0,0.0,0.0
0.0002003086646864,0.0,0.0,0.0,0.0,0.0,0.0
0.0003004117071086,0.0,0.0,0.0,0.0,0.0,0.0
0.0004004130475548,0.10553737149997244,9.946662937199494e-05,0.0011528913038260265,0.0017644578380543847,5.45233606993935e-08,6.238387596763206e-06
0.0005004329836569,0.2111397805000699,0.00019899455499383157,0.0022718243882248594,0.003660619741754029,3.286051655328118e-07,2.2465165186088965e-05
0.0006004600089003,0.31720562569995636,0.0002989592589475753,0.0029122952387559587,0.005231304630416758,7.223767655857697e-07,5.460115311995379e-05
0.0007004836807771,0.4226291794000173,0.00039831861741869055,0.0026124401191870354,0.005979466202485716,1.5782349143332613e-06,0.00010727502903738329
0.0008005334256811,0.42198918559998266,0.0003977154374439302,0.0008170377371672001,0.004339221234619259,2.2993138870633215e-06,0.00014693880989501376
0.0009005674596595,0.42189970610000127,0.0003976311050224335,0.0013228695349440348,0.0020821649316101884,2.8538510545460546e-06,0.00019027240554980878
0.001000585872233,0.4211574434998758,0.0003969315390839026,0.003490097372790089,0.0009222840393485315,3.428027510823551e-06,0.00023399211115643077
0.0011006465097886,0.4219091978999254,0.000397640050804708,0.004202454113473952,0.0012462119738119513,3.574627260925319e-06,0.00027721047055262357
0.0012007196859615,0.5287368090999174,0.000498322702308079,0.0010147630524204522,0.0009744336349467422,0.0002714748521790309,0.00024870891611284264
0.001300781209154,0.5273940774000018,0.0004970572076748251,6.373716667150719e-05,0.00100455256518911,0.00026486663140691205,0.0002513445027641938
0.0014007947240282,0.6322836858000878,0.0005959133342827392,0.0012273549370146965,0.0013432583916330714,0.0003100498719950184,0.00031112210055942563
0.0015008076790925,0.7372516533999448,0.0006948433128606138,0.0066221345241319444,0.0030337606369387933,0.00016204128162075358,0.0005133168100799939
0.0016008487050241,0.843141108199932,0.0007946417726128825,0.005619847991880369,0.003205322719184399,0.00018429920715046878,0.0005272843629943693
0.0017009072661223,0.949209055900067,0.000894608457820287,0.004300434733029119,0.003474240605037911,0.00020463601341973417,0.0005520319392950625
0.0018010020360083,0.9483295779000919,0.0008937795694562169,0.0024378356935735868,0.0033945684678054235,0.00019862335772480864,0.0005349057144144909
0.0019011034441257,0.9484248883998188,0.0008938693973311207,0.0005217805235058065,0.0033866389579282987,0.0001903426699007061,0.0005412569072380189
0.0020011151394011,1.0543890407001613,0.0009937382577325897,0.0013819170959052573,0.003828417209846609,0.00020436647282281323,0.0006204096869513448
0.0021011611559782,1.0552629918000185,0.0009945619371178986,0.0034026852029053136,0.0040075877668635795,0.00020080416951525823,0.0006580732621089932
0.0022012445860278,1.0560239638002753,0.0009952791364133695,0.005433004264271685,0.004394796665564439,0.00019746615908337864,0.0007152664031102303
0.0023012987635142,1.0520928479000256,0.0009915741468567653,0.00659628595337547,0.002202309684653291,0.00024591453090251153,0.0009232216470124584
0.0024013079778331,1.1594953075997652,0.0010927985799439883,0.004922350897161541,0.0016081972536447025,0.0002694873776321957,0.0009605073824868328
0.0025013802147066,1.1599167531999717,0.0010931957829304645,0.0025180591410369174,0.0010835611520031612,0.00026587026648253415,0.0009257131084632067
0.0026014181554271,1.1606536647001084,0.0010938903058455409,0.00037039987266624806,0.001059764930337962,0.0002660035118169477,0.0008936688852594468
0.0027014386551154,1.2654801975001129,0.001192686984674069,0.0020449497426873026,0.001630266913088357,0.00028814463584757874,0.0009803482711406187
0.0028015212234794,1.2639231282002283,0.0011912194815444422,0.004441154685308895,0.00232971002686561,0.0002888101794777966,0.0009945833321513122
0.0029015981567806,1.3709620926001358,0.0012921013278881324,0.007214927393204595,0.003420929221780401,0.00031383602057102195,0.0011111518294650768
