episode,start_s,end_s,duration_ms,region,minimum_gap_mm,HEAD_min_gap_mm,TAIL_min_gap_mm,BODY_min_gap_mm,peak_contact_force_N,reopen_after_episode
1,0.010031299665570259,0.010032599791884422,0.0014007091522216797,TAIL,0.0006886086971947813,0.049801419944217495,0.0006886086971947813,0.03534351167324301,0.3200087499881258,True
2,0.011306400410830975,0.011307800188660622,0.0015003606677055359,HEAD+BODY,0.00010573194208396419,0.018858502960283463,0.03303332957049532,0.00010573194208396419,0.23096900242986582,True
3,0.01227710023522377,0.012278500013053417,0.0015003606677055359,HEAD+BODY,-2.9837996626813634e-06,0.017212389024180874,0.04091035362585227,-2.9837996626813634e-06,0.11385745339566751,True
4,0.01323730032891035,0.013238700106739998,0.0015003606677055359,HEAD+BODY,7.986481198962725e-05,0.016315305619287068,0.02957476093131106,7.986481198962725e-05,0.14204773916283536,True
5,0.015017700381577015,0.01501889992505312,0.001300126314163208,TAIL,5.198038125187043e-05,0.042325838557567,5.198038125187043e-05,0.028862125744500644,0.100306748209045,True
6,0.02878580056130886,0.028787199407815933,0.0014994293451309204,HEAD+BODY,0.00010105188535303178,0.018873983245782044,0.16155994577088095,0.00010105188535303178,0.14053107113567004,True
7,0.03034530021250248,0.030346600338816643,0.0014007091522216797,HEAD+BODY,1.790167254800412e-05,0.01657087829968551,0.2304391272220802,1.790167254800412e-05,0.24150363722287432,True
8,0.031215399503707886,0.031216800212860107,0.0015012919902801514,HEAD+BODY,0.00010808135802209407,0.01720581404848054,0.17952055668311528,0.00010808135802209407,0.20363393505643654,True
9,0.034126900136470795,0.03412820026278496,0.0014007091522216797,TAIL,2.435707982195723e-06,0.0572487028419848,2.435707982195723e-06,0.045165062027756164,0.11194122140829214,True
10,0.03490639850497246,0.03490769863128662,0.0014007091522216797,TAIL,3.73376877069731e-05,0.10372351866288121,3.73376877069731e-05,0.06304347329120263,0.12375330535527909,True
11,0.03517509996891022,0.03517640009522438,0.0014007091522216797,TAIL,4.031705156637422e-05,0.11741491355603773,4.031705156637422e-05,0.06139498777361685,0.06962414614102028,True
12,0.03530539944767952,0.035306598991155624,0.001300126314163208,TAIL,1.7216179807544307e-05,0.12207356812009618,1.7216179807544307e-05,0.060866773707148214,0.03994465951830378,True
13,0.035378601402044296,0.03537990152835846,0.0014007091522216797,TAIL,4.202048991874818e-06,0.12472557884404334,4.202048991874818e-06,0.060589055868509045,0.023106824470751294,True
14,0.03541659936308861,0.03541789948940277,0.0014007091522216797,TAIL,3.2620981080810907e-06,0.12590587390212593,3.2620981080810907e-06,0.060477247731053896,0.012145723110303742,False
15,0.03543680161237717,0.03543810173869133,0.0014007091522216797,TAIL,1.2185088149596623e-06,0.12645715730846674,1.2185088149596623e-06,0.06042584001372575,0.006175953144968602,False
16,0.03544799983501434,0.035449400544166565,0.0015012919902801514,TAIL,1.2185088149596623e-06,0.12645715730846674,1.2185088149596623e-06,0.06042584001372575,0.0034125367906879833,False
17,0.03545390069484711,0.03545549884438515,0.0016987323760986328,TAIL,-1.6422543436256376e-08,0.12698255282318227,-1.6422543436256376e-08,0.06037895726666975,0.0016328222976174848,False
18,0.035457100719213486,0.036735400557518005,1.2784004211425781,TAIL,-2.7548046777070567e-07,0.09737000200618995,-2.7548046777070567e-07,0.06013706070656677,0.020850704025465367,True
19,0.036823101341724396,0.03682440146803856,0.0014007091522216797,TAIL,2.3295282167934417e-05,0.09170799023137144,2.3295282167934417e-05,0.06660738896734908,0.019021292830333367,True
20,0.03687319904565811,0.036874499171972275,0.0014007091522216797,TAIL,1.4923885138795612e-07,0.08722580739811248,1.4923885138795612e-07,0.06718824072350427,0.009951842217501892,True
21,0.03690119832754135,0.036902498453855515,0.0014007091522216797,TAIL,4.211898492645361e-06,0.08569583621434906,4.211898492645361e-06,0.06739640765115784,0.005399723244537397,False
22,0.03691690042614937,0.03691820055246353,0.0014007091522216797,TAIL,8.751652741390004e-07,0.08414467119118896,8.751652741390004e-07,0.06760109751771681,0.002827385344438907,False
23,0.03692600131034851,0.036927398294210434,0.0014975666999816895,TAIL,-1.597099708039451e-08,0.08257596379547838,-1.597099708039451e-08,0.06781014172811906,0.0015969779882425907,False
24,0.036931101232767105,0.03693259879946709,0.0015981495380401611,TAIL,-1.597099708039451e-08,0.08257596379547838,-1.597099708039451e-08,0.06781014172811906,0.0008208192899921424,False
25,0.03693410009145737,0.03752889856696129,0.59489905834198,TAIL,-1.597099708039451e-08,0.03195067788434691,-1.597099708039451e-08,0.023434670160804583,0.0004011653573280827,False
26,0.037529099732637405,0.037529200315475464,0.00020116567611694336,TAIL,-5.037534944740685e-09,0.030131681878882932,-5.037534944740685e-09,0.021629850300516562,5.395958376644623e-08,True
27,0.03766600042581558,0.037667300552129745,0.0014007091522216797,HEAD+TAIL+BODY,2.3393295435880646e-05,0.01754120425728789,2.3393295435880646e-05,0.00913441776798285,0.07729065089544152,True
28,0.03778190165758133,0.03778329864144325,0.0014975666999816895,HEAD+TAIL+BODY,0.00032258338188817515,0.008754763663820442,0.001355121115720892,0.00032258338188817515,0.5356518401941518,True
29,0.04030739888548851,0.04030890017747879,0.001601874828338623,HEAD+TAIL+BODY,0.00014850703743429783,0.011279972082735346,0.0005848273819945016,0.00014850703743429783,0.20463017447619106,True
30,0.04033970087766647,0.04034100100398064,0.0014007091522216797,HEAD+TAIL+BODY,6.178727570427256e-05,0.01164204234076327,6.178727570427256e-05,0.0005109272874921356,0.15146434096627254,True
31,0.05342080071568489,0.053422000259160995,0.001300126314163208,TAIL+BODY,0.0004177483045699759,0.04731069335453619,0.0004177483045699759,0.020343220066464496,0.26294346130503715,True
32,0.05383339896798134,0.0538346990942955,0.0014007091522216797,TAIL+BODY,0.0001783899781073739,0.024243310507307103,0.011102589397468998,0.0001783899781073739,0.28817729098802614,True
33,0.056540198624134064,0.056541599333286285,0.0015012919902801514,BODY,0.0001506820069051562,0.025301531982349634,0.027834638821698565,0.0001506820069051562,0.2330978760239208,True
