time_s,CPRESS_max_MPa,contact_node,contact_x_mm,contact_y_mm,contact_z_mm,exact_gap_mm,signed_gap_node,signed_wall_element,min_unsigned_distance_mm,active_contact
0.0,8.683991026270377e-12,11,-8.612797737121582,-3.927337169647217,-9.74233055114746,0.2693853308852156,119,450,0.2743660911082972,False
0.000100101402495,0.0008029690361581,51,-6.062097770954779,-3.617578256082197,-9.424464757925309,0.2693602643270728,119,450,0.2743474389709882,False
0.0002000974782276,0.0031026536598801,51,-6.062128163455782,-3.6178708068910055,-9.423981714295223,0.2690050815054268,119,450,0.2740832194342446,False
0.0003000950091518,0.0067583709023892,217,-8.235526007134467,-3.4011336001567543,-10.118536251480691,0.2675581212918874,119,450,0.2730072816886035,False
0.0004000967019237,0.0068976720795035,75,-8.557725950144231,-3.350918033858761,-10.153643687721342,0.2639274763495658,119,450,0.2703176688706252,False
0.0005000111996196,0.0171048324555158,36,-6.219148197211325,-4.187449718825519,-9.152737502008677,0.2569861898989204,119,450,0.2632394171320643,False
0.0006000398425385,0.0165712516754865,51,-6.064772167708725,-3.637112358585,-9.390253838151692,0.245206410407261,119,450,0.2508342708121205,False
0.0007000530604273,0.0233718995004892,217,-8.204914465546608,-3.3806701600551605,-10.147537158802152,0.2271621842151768,119,450,0.2318527387074547,True
0.0008000934612937,0.0396558679640293,217,-8.184663120657206,-3.368176132440567,-10.164461102336643,0.2016727564485429,119,450,0.2051177945105242,True
0.0009000245481729,0.0347997620701789,38,-6.333103328943253,-4.053469717502594,-8.807013466954231,0.1528334794713323,130,429,0.1701761994515853,True
0.0010000463807955,0.0266850776970386,53,-6.181131489574909,-3.61635210365057,-8.979335859417915,0.0978069992039231,130,429,0.1273151411440469,True
0.0011001041857525,0.0563659258186817,203,-7.781150259077549,-3.1869365759193897,-9.7990498021245,0.0326662265750939,130,429,0.0560802372519429,True
0.0012001020368188,0.0067967013455927,75,-8.34556944668293,-3.19768425822258,-10.36330059170723,0.0179970942793761,130,429,0.0273275949701465,False
0.0013000442413613,0.0193972047418355,114,-7.457169856876135,-4.031003545969725,-9.487418092787266,0.0708167647820706,141,429,0.0722299068914021,False
0.001400061068125,0.1847042292356491,72,-8.63264948129654,-3.121084332466125,-10.267804771661758,0.0870754257973598,74,388,0.0918643835184515,True
0.001500082318671,0.0548981763422489,38,-6.469019889831543,-4.007966872304678,-8.712009772658348,0.0331511330555607,74,388,0.0396004477207602,True
0.0016000786563381,0.0640504509210586,29,-6.75141303986311,-3.5704848170280457,-9.674524053931236,0.0251936476575185,74,388,0.0343762703755554,True
0.0017000758089125,0.0128654614090919,55,-6.4134554117918015,-3.6414486095309258,-8.625813126564026,0.0706266218386342,75,400,0.0719895585494148,False
0.001800087862648,0.0981942117214202,21,-8.157431095838547,-3.1492292284965515,-10.4124975502491,0.0993628419361876,7,389,0.1054639761336801,True
0.0019000760512426,0.0220526810735464,51,-6.129676528275013,-3.366841048002243,-8.933848887681961,0.1083585804913499,7,389,0.1233910365511888,True
0.002000059466809,0.0789750888943672,1,-8.667546212673187,-3.499854475259781,-10.376293063163756,0.0850045108057273,5,442,0.0850094580417792,True
0.0021000439301133,0.0155632812529802,4,-6.070016208104789,-3.443914383649826,-8.947782039642334,0.0373193729213702,5,442,0.0377297625042834,False
0.0022000237368047,0.0217333137989044,82,-6.825651824474335,-3.534978806972504,-9.64100569486618,0.0084707084234171,55,442,0.0183358536157285,True
0.0023000226356089,0.017684394493699,195,-7.764339225133881,-3.370351187884808,-9.43390290811658,0.0527083872253632,55,442,0.0723600590752651,False
0.002400015713647,0.0334076844155788,129,-6.558131873607636,-3.905936911702156,-8.953285962343216,0.0439563854437522,7,401,0.0778999610054914,True
0.0025000122841447,0.3102792799472809,53,-6.320791870355606,-3.2226001918315887,-8.602073073387146,0.0153527384189823,7,401,0.0698250426839567,True
0.0026000754442065,0.0173831209540367,177,-7.221198372542858,-3.3860673680901527,-9.098384946584702,0.0091124722299664,7,401,0.0620237462594487,False
0.0027000063564628,0.0106455106288194,98,-7.754324793815613,-3.772858813405037,-10.39364379644394,0.0215685646820346,56,401,0.0669079409112557,False
0.0028000047896057,0.0170005895197391,4,-5.989860162138939,-3.218456029891968,-8.92332249879837,0.0232298280221185,56,401,0.0648846794505733,False
0.0029000071808695,0.025653388351202,76,-7.671721696853638,-3.3792313039302826,-10.436676234006882,0.0184606595193629,56,401,0.0594941628448442,True
0.003000000026077,0.0314607582986354,63,-8.061952710151672,-3.83006040379405,-10.478100419044496,0.0054963988228444,56,401,0.0614292578080797,True
