time_s,s_robot_mm,Vt_mm_s,Vmag_mm_s,phase_deg,pulse_weight,pulse_Ft_mN,pulse_Fn_away_mN,delta_s_driver_minus_robot_mm,gap_mm,CPRESS_MPa,UR1_rad,UR2_rad,UR3_rad,axis_tangent_angle_deg
0.0,13.814214119926389,0.0,0.0,248.00114039574143,0.0,0.0,0.0,5.100000633620761,0.2693853308852156,8.683991026270377e-12,0.0,0.0,0.0,2.855352853608484
0.000100101402495,13.814214122070736,-0.0003342051515844712,0.010095100872752383,249.0810951469462,0.0,0.0,0.0,5.100600608482543,0.2693602643270728,0.0008029690361581,2.5681729312054813e-06,-2.3958955353009515e-05,-1.4682626897410955e-05,2.8567088245046324
0.0002000974782276,13.814213866978887,-0.0058085015367188,0.07885513110446656,250.16105276485862,0.0,0.0,0.0,5.101200584936938,0.2690050815054268,0.0031026536598801,3.860622382489965e-05,-0.0003663309034891,-0.0002221087488578,2.875986963832372
0.0003000950091518,13.814210399869978,-0.10479742819722225,0.2476472747167315,251.24102609884022,0.0,0.0,0.0,5.10180057012248,0.2675581212918874,0.0067583709023892,0.0001866463426267,-0.00177320279181,-0.0010630217147991,2.955184466284876
0.0004000967019237,13.81419664763946,-0.2425059896487069,0.5286226699574543,252.3210443807761,0.003737463073089531,0.0014949852292358125,0.011212389219268593,5.102400580279115,0.2639274763495658,0.0068976720795035,0.0005849663866683,-0.0053369821980595,-0.0031557572074234,3.157827074751276
0.0005000111996196,13.814174610662995,-0.2621381288802589,1.4662569388973392,253.40012095589208,0.0892142682281909,0.03568570729127636,0.2676428046845727,5.10300006726529,0.2569861898989204,0.0171048324555158,0.0013485235394909,-0.0123086934909224,-0.007145672570914,3.561592988467743
0.0006000398425385,13.814116802437962,-1.0190086532041525,2.768430054975009,254.48043029941672,0.2694119050951247,0.10776476203804988,0.8082357152853741,5.1036002391228035,0.245206410407261,0.0165712516754865,0.0026493228506296,-0.0242564547806978,-0.0138728292658925,4.275663114005414
0.0007000530604273,13.813944965260731,-2.181015065366723,8.124698022247287,255.5605730526151,0.5027232971648204,0.20108931886592818,1.5081698914944615,5.104200318430136,0.2271621842151768,0.0233718995004892,0.0046755694784224,-0.0426631979644298,-0.0240887962281703,5.409626573181081
0.0008000934612937,13.813663989085583,-3.37039887277932,19.045410266958637,256.6410093819723,0.73546527010225,0.2941861080409,2.2063958103067502,5.104800560835335,0.2016727564485429,0.0396558679640293,0.0075475163757801,-0.0688708871603012,-0.0384107157588005,7.058355147926643
0.0009000245481729,13.813252788403238,-4.585251008008486,35.57540061435658,257.72026512026764,0.9137707235387269,0.3655082894154908,2.7413121706161805,5.10540014735661,0.1528334794713323,0.0347997620701789,0.0115228611975908,-0.1038307249546051,-0.057021390646696,9.277501006203796
0.0010000463807955,13.812836440793296,-3.8874009151297546,55.70951101997695,258.80050091259216,0.9969077456502122,0.39876309826008494,2.990723236950637,5.1060002783523455,0.0978069992039231,0.0266850776970386,0.0164531581103801,-0.1481842994689941,-0.0799126699566841,12.09684873618516
0.0011001041857525,13.812508762082942,-3.2351847165287317,77.56645667023973,259.8811252061274,0.9654897486691669,0.3861958994676668,2.8964692460075008,5.106600625182088,0.0326662265750939,0.0563659258186817,0.0217145625501871,-0.2019241750240326,-0.1069903671741485,15.511342121465574
0.0012001020368188,13.81226271646037,-1.7917114525928355,485.4976355315395,260.96110199764325,0.8268238270042649,0.330729530801706,2.4804714810127946,5.107200612288485,0.0179970942793761,0.0067967013455927,0.0414867661893367,-0.2404997199773788,-0.1095675751566886,17.482707332383654
0.0013000442413613,13.811576815535432,-7.93683466355909,462.75813726690444,262.0404778067026,0.6130010253936079,0.24520041015744318,1.8390030761808238,5.10780026551574,0.0708167647820706,0.0193972047418355,0.0801153481006622,-0.2556899487972259,-0.0783241167664527,17.401646634696988
