time_s,time_ms,Vt_mm_s,Fmag_t_mN,Fmag_n_mN,Fmag_b_mN,Fwall_t_mN,Fwall_n_mN,Fwall_b_mN,Frobot_contact_t_mN,Frobot_contact_n_mN,Frobot_contact_b_mN,wall_contact_nodes,robot_contact_nodes,UR1_rad,UR2_rad,UR3_rad,Jmag_t_mN_s,Jwall_t_mN_s,Jwall_n_mN_s,Fwall_on_robot_t_mN,Fwall_on_robot_n_mN,Fwall_on_robot_b_mN,Jwall_on_robot_t_mN_s,Jwall_on_robot_n_mN_s,contact_state
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.495953421245566e-13,2.789902753335789e-13,-1.1731136476588434e-13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.000100101402495,0.1001014024950563,0.0009512631276264,3.823706381502971e-08,-8.748063348119651e-08,-5.084860259615839e-08,0.0,0.0,0.0,-1.0976579420415935e-06,4.516584127299178e-06,1.0949295833596791e-06,0,140,2.5681729312054813e-06,-2.3958955353009515e-05,-1.4682626897410955e-05,1.913791857588723e-12,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0002000974782276,0.2000974782276898,0.0040327324849463,1.4178738761776998e-07,-3.243881764498984e-07,-1.8855242286009219e-07,0.0,0.0,0.0,-1.7715506815834493e-06,1.2362641435291168e-05,7.065506002812053e-06,0,135,3.860622382489965e-05,-0.0003663309034891,-0.0002221087488578,1.0914661197188738e-11,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0003000950091518,0.3000950091518461,-0.0787767270570291,2.935420284493264e-07,-6.715799603674652e-07,-3.903595724247836e-07,0.0,0.0,0.0,9.536212156019184e-05,7.89303456715551e-05,6.126865479202644e-05,0,129,0.0001866463426267,-0.00177320279181,-0.0010630217147991,3.2680594569870926e-11,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0004000964399892,0.4000964399892837,-0.1861266799012303,4.747637892467397e-07,-1.0861880178655075e-06,-6.313528216519291e-07,0.0,0.0,0.0,3.626113055519311e-05,5.196557255070714e-05,-5.55991791158627e-05,0,113,0.000584783789236,-0.0053368932567536,-0.0031557157635688,7.109643511503793e-11,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0005000102100893,0.5000102100893855,-0.065603197039771,6.64349276057804e-07,-1.519930944550393e-06,-8.834683177788675e-07,0.0,0.0,0.0,-8.54455545665221e-05,9.432477479386564e-05,0.0002897770855908,0,110,0.0013588151196017,-0.0123100634664297,-0.007142880000174,1.2800297557746816e-10,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0006000337889418,0.6000337889418006,-0.6276811363144411,8.392445333978929e-07,-1.920065017958326e-06,-1.116048467247045e-06,0.0,0.0,0.0,0.0003300674768409,0.000196889289842,5.073169737210856e-06,0,109,0.0026643746532499,-0.0242595802992582,-0.0138695444911718,2.0320039255851568e-10,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0007000539335422,0.7000539335422218,-1.6233022931694427,9.74540000654124e-07,-2.2296005215130604e-06,-1.2959677274469686e-06,0.0,0.0,0.0,-0.0004885936132843,-0.0002055591590649,-0.0004618872587094,0,115,0.0046749748289585,-0.042673647403717,-0.0240953862667083,2.9390788824346086e-10,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0008001028909347,0.8001028909347951,-2.884642023968377,1.0467562679271374e-06,-2.3948205452946898e-06,-1.392002696180066e-06,0.0,0.0,0.0,0.0003779537520515,-0.0004703644451299,-6.370551363254925e-05,0,113,0.0075170705094933,-0.0688902512192726,-0.0384453237056732,3.95022180369988e-10,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0009000243735499,0.900024373549968,-3.152175991601037,1.0376455231104782e-06,-2.373976383785276e-06,-1.3798869545910192e-06,0.0,0.0,0.0,0.000187442498444,-0.0007140798729846,-0.0009333080843251,0,115,0.0113898906856775,-0.1038737148046493,-0.0571258291602134,4.991604390330881e-10,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.001000031013973,1.0000310139730573,-1.9305702028738283,9.387687849217363e-07,-2.147761479412042e-06,-1.2483983025954504e-06,0.0,0.0,0.0,0.0001819816950769,-0.0004130696989536,-0.0005026850631024,0,104,0.0160546340048313,-0.1482634395360946,-0.0801841765642166,5.979877165483012e-10,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.001100089168176,1.100089168176055,-0.3181590987902862,7.8089561347299e-07,-1.78657142987315e-06,-1.0384545260083722e-06,0.0,0.0,0.0,0.0005800086081078,-0.0003877414491155,0.0001564548664609,0,99,0.0211678817868232,-0.2021932005882263,-0.1074129492044448,6.840209393242938e-10,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.001200052560307,1.2000525603070855,78.04469993800512,6.473824873817046e-07,-1.4811137161056975e-06,-8.609055457225872e-07,0.0,0.0,0.0,0.0001260377220848,0.0012350778965087,-0.001829362173386,0,10,0.0330889411270618,-0.2525441348552704,-0.1237111240625381,7.554087012582445e-10,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
