case,duration_ms,delta_s_mm,Vt_final_mm_s,Vmag_peak_mm_s,CPRESS_max_MPa,min_exact_gap_um,UR1_pp_rad
G6/L45 baseline,3.000000026077,-0.3167670364169446,-251.07664232540048,513.6610304704808,0.4501559138298034,-0.5329466905074001,0.8471474647521973
directional pulse,3.000000026077,-0.27908272210590823,-225.64173473985122,485.4976355315395,0.3102792799472809,5.4963988228444,0.7493110299110413
