frame,time_s,cpress_max_mpa,contact_node,wall_element,contact_x_mm,contact_y_mm,contact_z_mm,wall_normal_away_x,wall_normal_away_y,wall_normal_away_z,vcom_n_mm_s,vcontact_n_mm_s,vcontact_t_mm_s,t_center_x,t_center_y,t_center_z,t_com_x,t_com_y,t_com_z,n_dot_tcenter,n_dot_tcom,r_contact_x_mm,r_contact_y_mm,r_contact_z_mm,signed_gap_mm,nearest_wall_element,field_phase_rad,field_phase_deg,geom_distance_mm
8,0.0008000059169717,0.045111034065485,217,401,-8.184281180033835,-3.3682916852785576,-10.166452180575083,-0.11545321648092498,0.12425038907697684,0.9855112356632106,-1.2347931368743783,-220.00441288237295,-180.60125536984202,-0.9737765086192695,0.07393864476154087,-0.2151566593719386,0.9572298011542585,0.1240710574631236,-0.26137612837089974,-0.09042676980570205,-0.3526884935353417,-0.7306836353378872,0.31255628003033253,-0.6179135756769139,0.202274626684088,450,4.47931354069032,256.6457609973567,0.4579781283272973
9,0.0009000400896184,0.0370610021054744,38,441,-6.33210629693721,-4.053676262085716,-8.811802156294089,-0.34382512942388677,0.6773874412434597,-0.6503310963057862,2.29270201428195,-329.6184425966551,244.28903916845076,-0.9737765086192695,0.07393864476154087,-0.2151566593719386,0.9679338270966223,0.10713461842324828,-0.22721417186740536,0.5248170096568336,-0.11246388684619457,1.1212233847809268,-0.3729450329013839,0.7363896048955407,0.1563615041871509,450,4.498169511865649,257.7261285643234,0.21363725761979477
10,0.001000058487989,0.0398051515221595,38,441,-6.374561945025474,-4.082364337531135,-8.764445149028363,-0.34382512942388677,0.6773874412434597,-0.6503310963057862,4.611277821917972,-370.42620046930494,337.8838924755672,-0.9737765086192695,0.07393864476154087,-0.2151566593719386,0.9792689342803897,0.08573879086859926,-0.1835244236981566,0.5248170096568336,-0.15926724824544827,1.078579716346363,-0.40187120322295655,0.7833676390111854,0.1046957461596249,450,4.517022538475528,258.80632742011727,0.1498138434827863
11,0.0011000139638781,0.0492751076817512,34,450,-6.213040352705328,-4.226640423321539,-9.21616120576272,-0.4010997440317535,0.8450966229195372,-0.35345536248252774,6.277490270152806,-419.92440489076034,165.0244249447625,-0.9737765086192695,0.07393864476154087,-0.2151566593719386,0.9896965281717428,0.059731451957815665,-0.13012661438694925,0.5291150823713874,-0.3004942261304074,1.2401247556430413,-0.5464900804564392,0.3312187796451038,0.044426820216387,429,4.535883524307017,259.8869823057176,0.2894530322885481
12,0.0012000863207504,0.0249926336109638,70,388,-8.642972088744322,-3.1242042273815813,-10.065760372273957,0.3138980533526596,-0.51943654562054,0.7947664356118793,-436.12877330314416,-337.8866482263019,98.37414399551656,-0.9737765086192695,0.07393864476154087,-0.2151566593719386,0.9958459296583686,0.045347999357076445,-0.07895849122906269,-0.5150722759461319,0.22628513198667521,-1.1921270387893346,0.5480619398093975,-0.5103164247388214,0.0072180894888978,429,4.554746873612181,260.9677726083845,0.33244661017417454
13,0.0013000426115468,0.4501559138298034,57,389,-8.532015219103872,-3.517896369211828,-10.430013985899496,0.0633165294633813,0.22430891047405924,0.9724590118759007,-268.48428350061056,-502.01249095535115,-126.51125884323818,-0.9737765086192695,0.07393864476154087,-0.2151566593719386,0.9951753137538534,0.07911390916713079,-0.0580265824533414,-0.25430208452170594,0.024328528808036542,-1.0921757480180059,0.12055540909960216,-0.83794186357356,0.0629302626816495,429,4.57360802638229,262.0484370588633,0.2325920382130998
15,0.0015000704443082,0.2813631594181061,60,389,-8.547157556752142,-3.530145889730251,-10.466550340189723,0.0633165294633813,0.22430891047405924,0.9724590118759007,121.08396229340781,153.55837132176492,-129.34417482325026,-0.9737765086192695,0.07393864476154087,-0.2151566593719386,0.9909713222342701,0.13385977433927387,0.007576234097568973,-0.25430208452170594,0.10013838218422048,-1.1309175720608957,0.04766211402462561,-0.8108364646785393,-0.0005329466905074,400,4.611312127691228,264.2087229341991,0.19887615631291966
18,0.0018000535201281,0.0309663582593202,128,429,-6.850311309985626,-4.015888725315087,-9.11389452356939,-0.059841530359377074,0.7424099775188494,-0.6672678746385962,-113.65432802548928,-9.173425896298973,-307.79168622312034,-0.9737765086192695,0.07393864476154087,-0.2151566593719386,0.9538421169024373,0.29946633865357397,0.022475053648438485,0.2567321909124318,0.1502505444704003,0.5126755038878112,-0.42581376673028526,0.5065914902046522,0.0870676774641727,389,4.667897430871374,267.4508219888897,0.32438795863979036
19,0.0019000484608113,0.0879325717687606,60,392,-8.447948788752123,-3.724761134942047,-10.450416479705856,-0.092869220049078,0.6827258466947256,0.72474873316374,36.52636444472973,-411.00398713964785,-407.8965742481071,-0.9737765086192695,0.07393864476154087,-0.2151566593719386,0.9380779926848116,0.34285334822465174,0.04961110008435829,-0.015020827605685488,0.18291185286995199,-1.1019293281688443,-0.13140943130082405,-0.8409431142760795,0.0877803083068944,401,4.686766101772725,268.53191719655837,0.23702433801591277
