time_s,UR1_rad,UR2_rad,UR3_rad,axis_tangent_angle_deg,Vt_mm_s
0.0,0.0,0.0,0.0,2.855352853608484,0.0
0.000100101402495,2.5681729312054813e-06,-2.3958955353009515e-05,-1.4682626897410955e-05,2.8567088245046324,-0.0003342051515844712
0.0002000974782276,3.860622382489965e-05,-0.0003663309034891,-0.0002221087488578,2.875986963832372,-0.0058085015367188
0.0003000950091518,0.0001866463426267,-0.00177320279181,-0.0010630217147991,2.955184466284876,-0.10479742819722225
0.0004000967019237,0.0005849663866683,-0.0053369821980595,-0.0031557572074234,3.157827074751276,-0.2425059896487069
0.0005000111996196,0.0013485235394909,-0.0123086934909224,-0.007145672570914,3.561592988467743,-0.2621381288802589
0.0006000398425385,0.0026493228506296,-0.0242564547806978,-0.0138728292658925,4.275663114005414,-1.0190086532041525
0.0007000530604273,0.0046755694784224,-0.0426631979644298,-0.0240887962281703,5.409626573181081,-2.181015065366723
0.0008000934612937,0.0075475163757801,-0.0688708871603012,-0.0384107157588005,7.058355147926643,-3.37039887277932
0.0009000245481729,0.0115228611975908,-0.1038307249546051,-0.057021390646696,9.277501006203796,-4.585251008008486
0.0010000463807955,0.0164531581103801,-0.1481842994689941,-0.0799126699566841,12.09684873618516,-3.8874009151297546
0.0011001041857525,0.0217145625501871,-0.2019241750240326,-0.1069903671741485,15.511342121465574,-3.2351847165287317
0.0012001020368188,0.0414867661893367,-0.2404997199773788,-0.1095675751566886,17.482707332383654,-1.7917114525928355
0.0013000442413613,0.0801153481006622,-0.2556899487972259,-0.0783241167664527,17.401646634696988,-7.93683466355909
0.001400061068125,0.1179955378174781,-0.2815105617046356,-0.052225936204195,18.10317823465912,-12.398177412232393
0.001500082318671,0.1540477126836776,-0.3168474435806274,-0.0304712764918804,19.502303745417294,-24.125047588555738
0.0016000786563381,0.1890959590673446,-0.3345402181148529,0.0076235486194491,19.764393995433046,-195.8794579019221
0.0017000758089125,0.225149467587471,-0.3299911618232727,0.0651606693863868,18.770466969798285,-193.1041651492253
0.001800087862648,0.2619937658309936,-0.3362618088722229,0.1182930395007133,18.75845848394248,-186.5849645541775
0.0019000760512426,0.2987109124660492,-0.3525384962558746,0.1675998717546463,19.601142408803828,-178.61947029329022
0.002000059466809,0.3349951505661011,-0.378571480512619,0.213704839348793,21.17195178681841,-170.39550044283416
0.0021000439301133,0.3696082234382629,-0.4134328663349151,0.2563986480236053,23.316303011269778,-165.6061398234953
0.0022000237368047,0.3998464047908783,-0.4385399222373962,0.2944736778736114,24.9729387433331,-151.51143552462045
0.0023000226356089,0.422409176826477,-0.4232973754405975,0.323242574930191,24.49080971994868,-154.9163409174318
0.002400015713647,0.4463610351085663,-0.420256644487381,0.3499551713466644,24.657124669953184,-157.26202744263117
0.0025000122841447,0.4713250994682312,-0.4289368391036987,0.3751996159553528,25.404208617766137,-157.95080160302484
0.0026000754442065,0.5127307176589966,-0.4298411607742309,0.4044594466686249,25.70111070381115,-239.46635131783768
0.0027000063564628,0.5732517242431641,-0.4190780520439148,0.4374671578407287,25.35623250176902,-228.77244110140268
0.0028000047896057,0.6331554055213928,-0.4203881919384002,0.4689398407936096,25.579320549350346,-226.01638740402214
0.0029000071808695,0.6919736862182617,-0.4335880279541015,0.4999439418315887,26.3431221539623,-225.52554379588005
0.003000000026077,0.7493110299110413,-0.4578586220741272,0.5318344235420227,27.62522020092083,-225.64173473985122
