time_s,phase_rad,phase_deg,cpress_mpa,min_signed_gap_mm,Fmag_t_uN,Fmag_n_uN,active_head,active_tail
0.0008005334256811,4.47931354069032,256.6457609973567,0.045111034065485,0.202274626684088,6.744579832821688,1.7462031549538564e-15,,
0.0009005674596595,4.498169511865649,257.7261285643234,0.0370610021054744,0.1563615041871509,6.163134275232955,8.731015774769282e-16,,
0.001000585872233,4.517022538475528,258.80632742011727,0.0398051515221595,0.1046957461596249,5.419282887126828,8.731015774769282e-16,,
0.0011006465097886,4.535883524307017,259.8869823057176,0.0492751076817512,0.044426820216387,4.506990245432708,1.7072494855162848e-15,,
0.0012007196859615,4.554746873612181,260.9677726083845,0.0249926336109638,0.0072180894888978,3.741712921153866,4.735058123106524e-16,,
0.001300781209154,4.57360802638229,262.0484370588633,0.4501559138298034,0.0629302626816495,3.8295680435147936,8.470329472543003e-16,,
0.0014007947240282,4.592460129797613,263.1285830195054,0.0100899366661906,0.0526197385467376,3.724085519671318,8.470329472543003e-16,,
0.0015008076790925,4.611312127691228,264.2087229341991,0.2813631594181061,-0.0005329466905074,3.616350086833513,8.731015774769282e-16,,
0.0016008487050241,4.630169416818695,265.2891660142609,0.0158653389662504,0.0539154189323735,4.397267750686763,8.731015774769282e-16,,
0.0017009072661223,4.649030011247184,266.3697984741213,0.0167243480682373,0.0758019685682922,4.956869291572207,4.2351647362715027e-16,,
0.0018010020360083,4.667897430871374,267.4508219888897,0.0309663582593202,0.0870676774641727,5.314696209815634,2.1175823681357513e-16,,
0.0019011034441257,4.686766101772725,268.53191719655837,0.0879325717687606,0.0877803083068944,5.577212503832729,8.470329472543003e-16,,
