rho,time_s,B_norm_T,cone_angle_deg,transverse_phase_deg
1.0,0.0,0.01,30.000000000000004,-112.00000000000003
1.0,3.3333333333333335e-05,0.01,30.000000000000004,-111.64000000000004
1.0,6.666666666666667e-05,0.01,30.000000000000004,-111.28000000000002
1.0,0.0001,0.01,30.000000000000004,-110.92000000000003
1.0,0.00013333333333333334,0.01,29.999999999999993,-110.56
1.0,0.00016666666666666666,0.01,30.000000000000004,-110.20000000000003
1.0,0.0002,0.01,29.99999999999998,-109.84000000000002
1.0,0.00023333333333333333,0.01,29.999999999999993,-109.48000000000002
1.0,0.0002666666666666667,0.009999999999999998,29.999999999999993,-109.11999999999999
1.0,0.0003,0.01,30.000000000000004,-108.76000000000002
1.0,0.0003333333333333333,0.01,30.000000000000004,-108.40000000000003
1.0,0.00036666666666666667,0.01,29.999999999999993,-108.04
1.0,0.0004,0.01,30.000000000000004,-107.68000000000004
1.0,0.0004333333333333333,0.009999999999999998,29.99999999999998,-107.32000000000001
1.0,0.00046666666666666666,0.01,29.999999999999993,-106.96000000000002
1.0,0.0005,0.01,30.000000000000004,-106.6
1.0,0.0005333333333333334,0.009999999999999998,29.999999999999993,-106.24000000000002
1.0,0.0005666666666666667,0.01,30.000000000000004,-105.88000000000005
1.0,0.0006,0.01,29.99999999999998,-105.52000000000001
1.0,0.0006333333333333333,0.009999999999999998,29.99999999999998,-105.16000000000004
1.0,0.0006666666666666666,0.01,30.000000000000004,-104.80000000000001
1.0,0.0007,0.01,29.999999999999993,-104.44000000000003
1.0,0.0007333333333333333,0.01,29.999999999999993,-104.08
1.0,0.0007666666666666667,0.01,30.000000000000004,-103.72000000000003
1.0,0.0008,0.01,30.000000000000004,-103.36
1.0,0.0008333333333333334,0.01,30.000000000000004,-103.00000000000001
1.0,0.0008666666666666666,0.01,30.000000000000004,-102.64000000000004
1.0,0.0009,0.01,30.000000000000004,-102.28000000000002
1.0,0.0009333333333333333,0.01,30.000000000000004,-101.92000000000003
1.0,0.0009666666666666667,0.01,30.000000000000004,-101.56
1.0,0.001,0.01,30.000000000000004,-101.20000000000003
1.0,0.0010333333333333334,0.01,29.999999999999993,-100.84
1.0,0.0010666666666666667,0.01,29.999999999999993,-100.48000000000003
1.0,0.0011,0.01,29.99999999999998,-100.11999999999999
1.0,0.0011333333333333334,0.01,29.999999999999993,-99.76
1.0,0.0011666666666666668,0.01,30.000000000000004,-99.40000000000003
1.0,0.0012,0.01,29.999999999999993,-99.04
1.0,0.0012333333333333332,0.01,30.000000000000004,-98.68000000000002
1.0,0.0012666666666666666,0.01,29.999999999999993,-98.32000000000001
1.0,0.0013,0.01,30.000000000000004,-97.96000000000002
1.0,0.0013333333333333333,0.01,29.99999999999998,-97.6
1.0,0.0013666666666666666,0.01,30.000000000000004,-97.24000000000002
1.0,0.0014,0.01,29.999999999999993,-96.88000000000004
1.0,0.0014333333333333333,0.01,29.999999999999993,-96.52000000000001
1.0,0.0014666666666666667,0.01,30.000000000000004,-96.16000000000004
1.0,0.0015,0.01,30.000000000000004,-95.80000000000001
1.0,0.0015333333333333334,0.01,29.999999999999993,-95.44000000000003
1.0,0.0015666666666666667,0.01,30.000000000000004,-95.07999999999998
1.0,0.0016,0.01,30.000000000000004,-94.72000000000001
1.0,0.0016333333333333334,0.01,30.000000000000004,-94.36
1.0,0.0016666666666666668,0.01,29.99999999999998,-94.00000000000001
1.0,0.0017,0.01,29.99999999999998,-93.64000000000004
1.0,0.0017333333333333333,0.01,29.999999999999993,-93.28000000000002
1.0,0.0017666666666666666,0.01,29.99999999999998,-92.92000000000003
1.0,0.0018,0.01,30.000000000000004,-92.55999999999999
1.0,0.0018333333333333333,0.01,30.000000000000004,-92.20000000000003
1.0,0.0018666666666666666,0.01,30.000000000000004,-91.84
1.0,0.0019,0.01,29.999999999999993,-91.48000000000002
1.0,0.0019333333333333333,0.01,29.999999999999993,-91.12000000000005
1.0,0.0019666666666666665,0.009999999999999998,29.99999999999998,-90.76000000000002
1.0,0.002,0.009999999999999998,29.99999999999998,-90.40000000000003
1.0,0.002033333333333333,0.01,30.000000000000004,-90.04
1.0,0.0020666666666666667,0.01,29.999999999999993,-89.68000000000002
1.0,0.0021,0.01,29.999999999999993,-89.32000000000001
1.0,0.0021333333333333334,0.01,30.000000000000004,-88.96000000000002
1.0,0.0021666666666666666,0.01,29.999999999999993,-88.59999999999998
1.0,0.0022,0.01,30.000000000000004,-88.24000000000002
1.0,0.0022333333333333333,0.01,30.000000000000004,-87.88000000000004
1.0,0.002266666666666667,0.01,29.999999999999993,-87.52000000000001
1.0,0.0023,0.01,30.000000000000004,-87.16000000000003
1.0,0.0023333333333333335,0.01,30.000000000000004,-86.80000000000003
1.0,0.0023666666666666667,0.01,30.000000000000004,-86.44000000000003
1.0,0.0024,0.01,30.000000000000004,-86.08
1.0,0.0024333333333333334,0.009999999999999998,30.000000000000004,-85.72000000000003
1.0,0.0024666666666666665,0.01,29.999999999999993,-85.35999999999999
1.0,0.0025,0.01,30.000000000000004,-85.00000000000001
1.0,0.002533333333333333,0.01,30.000000000000004,-84.64000000000006
1.0,0.0025666666666666667,0.01,30.000000000000004,-84.28
1.0,0.0026,0.01,30.000000000000004,-83.92000000000003
1.0,0.0026333333333333334,0.01,30.000000000000004,-83.55999999999999
1.0,0.0026666666666666666,0.01,30.000000000000004,-83.20000000000002
1.0,0.0027,0.01,29.99999999999998,-82.83999999999999
1.0,0.0027333333333333333,0.01,30.000000000000004,-82.48000000000002
1.0,0.002766666666666667,0.01,30.000000000000004,-82.11999999999999
1.0,0.0028,0.01,29.99999999999998,-81.76000000000002
1.0,0.0028333333333333335,0.01,29.999999999999993,-81.40000000000002
1.0,0.0028666666666666667,0.01,30.000000000000004,-81.03999999999999
1.0,0.0029,0.01,30.000000000000004,-80.68000000000004
1.0,0.0029333333333333334,0.01,29.99999999999998,-80.32000000000002
1.0,0.0029666666666666665,0.01,30.000000000000004,-79.96000000000002
1.0,0.003,0.01,29.99999999999998,-79.6
1.0,0.003033333333333333,0.01,30.000000000000004,-79.24000000000001
1.0,0.0030666666666666668,0.01,30.000000000000004,-78.88000000000001
1.0,0.0031,0.01,29.999999999999993,-78.52000000000001
1.0,0.0031333333333333335,0.01,29.999999999999993,-78.16000000000003
1.0,0.0031666666666666666,0.01,30.000000000000004,-77.80000000000001
1.0,0.0032,0.01,30.000000000000004,-77.44000000000001
1.0,0.0032333333333333333,0.01,30.000000000000004,-77.08
1.0,0.003266666666666667,0.01,30.000000000000004,-76.72000000000003
1.0,0.0033,0.01,30.000000000000004,-76.36000000000004
1.0,0.0033333333333333335,0.01,30.000000000000004,-76.0
1.0,0.0033666666666666667,0.01,29.999999999999993,-75.64000000000004
1.0,0.0034,0.009999999999999998,29.99999999999998,-75.28
1.0,0.0034333333333333334,0.01,30.000000000000004,-74.92000000000003
1.0,0.0034666666666666665,0.01,30.000000000000004,-74.56000000000002
1.0,0.0035,0.01,30.000000000000004,-74.20000000000002
