frame,time_s,beta_danger_deg,danger_x,danger_y,danger_z,min_gap_mm,p05_gap_mm,near_node,near_wall_element,near_region
7,0.0007000611512921,271.87416535507475,-0.11393249612496786,-0.8108209661647945,0.5740982034062843,0.22733065422834625,0.2844222327290058,119,450,TAIL
8,0.0008000059169717,272.525740403751,-0.11592802111070061,-0.8020546115668887,0.5858917084117545,0.20227462668408805,0.2574261438556197,119,450,TAIL
9,0.0009000400896184,273.8989310041313,-0.12004471069530963,-0.7830276220947011,0.6102925613759335,0.15636150418715095,0.22419306724080015,130,429,TAIL
10,0.001000058487989,276.66245339348364,-0.12794153155134344,-0.7426041329156994,0.6573964300791564,0.1046957461596249,0.1954281174104828,130,429,TAIL
11,0.0011000139638781,279.1848020385267,-0.1346648919121699,-0.7034622547513816,0.6978583115693227,0.044426820216387095,0.1489800192946327,130,429,TAIL
12,0.0012000863207504,279.08699561104413,-0.13441318034307262,-0.7050164582464364,0.6963367651874426,0.007218089488897899,0.12494992644664532,130,429,TAIL
13,0.0013000426115468,274.4528579134349,-0.1216700326998476,-0.7751472024455192,0.6199542061182448,0.06293026268164953,0.1359747736676692,130,429,TAIL
14,0.0014000559458509,112.18176219045674,0.16122940163838376,0.47873256300652817,-0.8630296710800441,0.05261973854673766,0.12802227264241334,74,388,HEAD
15,0.0015000704443082,110.77669998450806,0.15902682292523734,0.5042021101277792,-0.8488172369438548,-0.0005329466905071717,0.09627797462661461,74,400,HEAD
16,0.0016000049654394,114.94626800759426,0.16509892435925583,0.42829433789622096,-0.8884291222722578,0.05391541893237355,0.15006681997453902,7,389,HEAD
17,0.0017000631196424,118.42798542006668,0.169122687927243,0.3645532594002877,-0.9156956030739095,0.07580196856829222,0.17716699588833285,7,389,HEAD
18,0.0018000535201281,120.07074663966813,0.17070500658053642,0.33453745501899956,-0.9267925830075194,0.08706767746417275,0.18876099743448604,7,389,HEAD
19,0.0019000484608113,126.94616743522249,0.18917811188578856,0.21025289731708374,-0.9591690993527158,0.08778030830689443,0.17809564358924976,7,389,HEAD
