rho,time_s,B_norm_T,cone_angle_deg,transverse_phase_deg,tau_x_Nmm,tau_y_Nmm,tau_z_Nmm,tau_norm_Nmm,safe_torque_Nmm,danger_torque_Nmm,F_t_N
1.0,0.0,0.01,30.000000000000004,-112.00000000000003,-0.00158270181724562,-0.011502032966294864,0.0010945810221087236,0.011661895858478887,0.0048075128562586064,0.005099114539220914,7.37731580285307e-06
1.0,0.000100101402495,0.01,29.999999999999993,-110.91890485305399,-0.0016016072591995166,-0.011495566077625734,0.0011734012275216744,0.011665764256941312,0.004735365146037314,0.005103901251809319,7.375853618540788e-06
1.0,0.0002000974782276,0.01,29.999999999999993,-109.83894723514196,-0.0016227610619695082,-0.011487856483088315,0.0012502784670072572,0.011669078639093177,0.004664087701733909,0.0051056437043640645,7.369002689407721e-06
1.0,0.0003000949509441,0.009999999999999998,29.999999999999993,-108.75897452980375,-0.0016524381842623055,-0.01147792333045704,0.001323872137017082,0.011671585726362477,0.004593874967946797,0.005098429610038321,7.344262292736935e-06
1.0,0.0004000964399892,0.009999999999999998,29.999999999999993,-107.67895844811669,-0.0016997375035906802,-0.01146445057283242,0.0013919595676366615,0.01167305812355809,0.00452530213988778,0.005073654134050816,7.283543885568643e-06
1.0,0.0005000106757506,0.01,29.999999999999993,-106.59988470189356,-0.0017744883232735755,-0.011445920675125985,0.0014517875650686147,0.011673285571971526,0.004459243680711149,0.005021862334370072,7.166757207561939e-06
1.0,0.0006000370485708,0.01,29.999999999999993,-105.51959987543539,-0.0018895897009225857,-0.011419724913650089,0.001499685483429443,0.011671748921669032,0.004396582433150968,0.00493030102786219,6.967614706309886e-06
1.0,0.0007000611512921,0.01,30.000000000000004,-104.43933956604533,-0.002056870717924957,-0.011381942441088543,0.001531297795164881,0.011667227769268353,0.004338197230863459,0.004786171997904082,6.660491561846914e-06
1.0,0.0008000059169717,0.009999999999999998,29.99999999999998,-103.35993609670567,-0.0022856733139085955,-0.011326439161296822,0.00154198669805654,0.011657197328236984,0.004284261503428974,0.00457740878720163,6.222031881749316e-06
1.0,0.0009000400896184,0.009999999999999998,29.999999999999993,-102.2795670321213,-0.0025814504789053784,-0.011244108336582334,0.001527135822937278,0.011637267835773974,0.004233697574228907,0.004293487322930123,5.632575449899576e-06
