time_s,B_model_norm_T,B_telemetry_norm_T,B_abs_diff_T,tau_model_norm_Nmm,tau_telemetry_norm_Nmm,tau_abs_diff_Nmm
0.0,0.01,0.00999999999999996,0.00028432301503302827,0.011631703636415917,3.8989433640016124e-10,0.01163170324652177
0.000100101402495,0.010000000000000002,0.009999999999999905,0.00028445156493076945,0.011625504106150453,0.00032758317197569735,0.011297921131847057
0.0002000974782276,0.009999999999999998,0.009999999999999882,0.00028448687863687834,0.011618650310918499,0.0012148388211763626,0.010403812421342497
0.0003000949509441,0.01,0.009999999999999872,0.0002844902129950557,0.01160998460364209,0.0025206226550786096,0.009089364515979817
0.0004000964399892,0.01,0.009999999999999901,0.0002845195336787377,0.01159750582830417,0.00410144976216549,0.007496061981106329
0.0005000106757506,0.01,0.009999999999999946,0.000284456161812829,0.011578300705791966,0.005816182648848287,0.0057621305723559784
0.0006000370485708,0.01,0.00999999999999998,0.0002844151736110442,0.011547530156372313,0.007519686134960028,0.004027870844032679
0.0007000611512921,0.010000000000000002,0.009999999999999981,0.0002843384732173952,0.011498227041952634,0.00906357923922166,0.0024347099581073527
0.0008000059169717,0.01,0.009999999999999938,0.0002841711902052416,0.01142055705058227,0.010296502344229436,0.0011242319975297947
0.0009000400896184,0.01,0.009999999999999893,0.0002840213683242456,0.011301246924009457,0.011064643428560226,0.00023767225899121576
0.001000058487989,0.01,0.009999999999999927,0.00028383371721832227,0.011124239396352298,0.011219777855902327,9.87063283487148e-05
0.0011000139638781,0.009999999999999998,0.009999999999999922,0.0002835576810772833,0.010871581665824456,0.010986531172746233,0.00011805937375872971
0.0012000863207504,0.01,0.009999999999999929,0.00028329373782467007,0.010613218626382169,0.010746727634643235,0.00013649219082618693
0.0013000426115468,0.01,0.009999999999999913,0.00028294340644978314,0.010578993469635953,0.010714195753074172,0.00013737675439675365
0.0014000559458509,0.01,0.00999999999999987,0.00028260242458437337,0.010481180892678719,0.010621743923503704,0.0001420518469925154
0.0015000704443082,0.01,0.009999999999999941,0.00028222222137075977,0.010371642943628369,0.010520259905649516,0.00014955847728244376
0.0016000049654394,0.01,0.009999999999999952,0.00028175641736445233,0.010528523355041125,0.010667747617679458,0.00013939608016916267
0.0017000631196424,0.009999999999999998,0.009999999999999898,0.000281295302292073,0.010609561169509275,0.010743204148720584,0.00013371887207935332
0.0018000535201281,0.009999999999999998,0.009999999999999946,0.000280752027366193,0.01062714632975309,0.010758938520728342,0.00013251050717954252
0.0019000484608113,0.010000000000000002,0.009999999999999941,0.0002801689786527538,0.010583719802050048,0.01071712538487437,0.0001354107213247577
0.002000059466809,0.01,0.009999999999999896,0.0002795862120861578,0.010479048636634618,0.01061743352593976,0.00014213583855679165
0.0021000010892748,0.009999999999999998,0.009999999999999955,0.00027892432555381286,0.010308263973590158,0.010454367873512258,0.00015184436856674328
0.0022000833414494,0.01,0.009999999999999981,0.0002782578564928465,0.010065250693557327,0.010221637775373296,0.00016418998263850802
0.0023000345099717,0.01,0.009999999999999908,0.0002775153720213148,0.009853678488539942,0.010023762615514131,0.00017976900795059283
0.002400042489171,0.01,0.009999999999999922,0.00027676533550757956,0.01001316756084693,0.010174820372894071,0.00017149557380174285
0.0025000090245157,0.01,0.009999999999999972,0.00027594000805785285,0.010092167637644953,0.010248920044729076,0.00016669263674602312
0.0026000451762229,0.010000000000000002,0.009999999999999908,0.0002751047699842245,0.010098682079824053,0.010253864364765232,0.00016508298145131704
0.0027000687550753,0.009999999999999998,0.009999999999999981,0.00027422773674847634,0.010036034548159394,0.01019278436792456,0.0001664365717173591
0.0028000453021377,0.01,0.009999999999999912,0.0002732776283598608,0.009903905041473376,0.01006500347871389,0.00017041417707473034
0.002900016028434,0.009999999999999998,0.009999999999999952,0.00027228673512289696,0.009696735085645685,0.009864735022251086,0.00017674451829733588
0.003000000026077,0.009999999999999998,0.009999999999999952,0.00030951945113193825,0.00950566092001374,0.009864735022251086,0.00037699963796401
