rho,tau_rms_Nmm,tau_peak_Nmm,safe_torque_rms_Nmm,danger_torque_rms_Nmm,tau_rms_fraction_vs_circular,danger_torque_reduction_fraction
0.4,0.010367533544691998,0.01055884589027662,0.005781578431604406,0.004571092132388564,0.909108739038124,0.0007451780393454843
0.5,0.010485725077090563,0.010691540963022605,0.005463357569297561,0.004567610245019567,0.9194727233474734,0.001506329344597379
0.6,0.010627026770176027,0.010845966087609592,0.005145327559952229,0.004565747449022504,0.9318631924471029,0.0019135422881311204
0.7,0.010790530781451382,0.011021207881324647,0.00482752612301604,0.0045655057262397585,0.9462005394040671,0.0019663836330965356
0.8,0.010975244876838128,0.011216290676216262,0.004510001578447163,0.004566885334078936,0.962397757152698,0.0016647971093980418
0.9,0.011180117828420832,0.011430198619603569,0.004192816834394848,0.00456988480414411,0.9803626655731514,0.0010091037129085212
1.0,0.011404063231931192,0.011673285571971526,0.0038760553112628686,0.004574500950037497,1.0,0.0
