region,start_s,end_s,duration_ms,max_total_general_contact_resultant_N,min_geometric_gap_mm,reopened
HEAD,0.0022500434424728155,0.005250020418316126,2.9999769758433104,7.2388856024618e-05,0.013467916113112932,True
HEAD,0.005750041455030441,0.009999999776482582,4.249958321452141,0.00020085694934835068,0.01649804265439958,False
TAIL,0.0012500364100560546,0.009999999776482582,8.749963366426528,0.00028889314705232363,0.0011224202380550885,False
BODY,0.0012500364100560546,0.0017500361427664757,0.4999997327104211,5.2725821816579904e-05,0.12746576471839144,True
BODY,0.0022500434424728155,0.009999999776482582,7.749956334009767,0.0010860035296689791,0.0014432702904970673,False
