time_s,TAIL_gap_mm,TAIL_wall_proximity,TAIL_total_contact_force_N,TAIL_total_contact_axial_N,rocking_deg
0.0,0.2450673464662695,0,0.0,0.0,3.583314024814096e-15
0.0002500226837582886,0.2450804248724796,0,0.0,0.0,0.0014072701503725525
0.0005000216769985855,0.2455925169903872,0,0.0,0.0,0.039166960345534366
0.0007500147330574691,0.24835804292282126,0,0.0,0.0,0.25074077929595734
0.0010000135516747832,0.24734300825439265,0,0.0,0.0,0.8528282264170144
0.0012500364100560546,0.22221585753484574,0,3.2965590907199517e-06,-1.3465566309760134e-07,1.9973881530921116
0.001500029000453651,0.18402484074467573,0,9.473365571317703e-06,-3.296075144620103e-06,3.703693613429929
0.0017500361427664757,0.13663418526857596,0,2.466347291142747e-05,-9.303633151590483e-07,5.916102822454278
0.0020000068470835686,0.08209462941386914,0,3.761183163109929e-05,-2.2076058870795646e-05,8.518174807658882
0.0022500434424728155,0.02702772701181011,0,1.7610828022217296e-05,-4.3731221681334454e-06,11.302120871539662
0.002500033238902688,0.013844864421563519,0,4.387294690989642e-06,-4.044728578393334e-06,12.737819559873868
0.002750007901340723,0.05033600891487322,0,1.794838372824774e-06,1.0121756756450306e-06,11.724565697958655
0.0030000172555446625,0.08475818406907754,0,4.522271819540713e-06,1.0302754302229758e-06,10.643070210817205
0.0032500149682164192,0.1064117655743898,0,5.894389719490732e-07,-4.137896863306636e-07,9.888349553448101
0.003500032937154174,0.11210879496993131,0,3.8628395258309e-07,1.9841699962615975e-07,9.61374362599147
0.0037500164471566677,0.10449854790646873,0,1.0827263329422128e-06,-1.9837349388954393e-07,9.89863175545137
0.004000016022473574,0.09435117393435755,0,8.931419816567951e-07,2.821617346582009e-07,9.947820326314773
0.0042500244453549385,0.08488109741906347,0,4.410050898774252e-06,-1.1950658199929207e-07,9.976889003703397
0.004500018432736397,0.07034990758748283,0,1.1320293520275588e-05,-2.8393003145463796e-06,10.57647939293957
0.0047500282526016235,0.056134753347869215,0,9.488091722729098e-07,2.655476760096945e-08,10.97201002572235
0.005000034812837839,0.03713603887076322,0,4.3160313982048604e-06,-1.1979470820248453e-06,11.683997707905593
0.005250020418316126,0.014746320574351324,0,0.0001960078407331694,-2.0152396489823632e-05,12.161187421471022
0.005500020459294319,0.0027777170547091945,1,0.00028889314705232363,0.00013180335394463876,12.290220143034915
0.005750041455030441,0.006813344180534031,0,1.4726664691423936e-05,1.4079166828353974e-05,11.900554086691427
0.006000003311783075,0.008303912143401315,0,2.4494292851247252e-06,-6.125776224741103e-07,11.560949839598324
0.006250033620744944,0.00629211656613371,0,1.4497641265721723e-07,-8.516527573342235e-08,11.207873203718613
0.0065000019967556,0.003515649558053502,1,1.552275475048669e-05,8.483981333586979e-06,10.766054710371685
0.00675002858042717,0.0013018212155776476,1,1.3121642006880782e-06,2.2700377571292798e-07,10.164113678840662
0.0070000276900827885,0.0011224202380550885,1,1.4435939055921376e-05,-8.139257647592585e-06,9.339977077378247
0.007250020280480385,0.003468233459287484,1,4.87556812369232e-08,3.540650430532129e-08,8.250845253153987
0.007500046398490667,0.003510181090857767,1,9.105448926723105e-07,7.088906244320183e-08,6.876441546845082
0.007750007789582014,0.00756671825163624,0,3.0109559922662463e-06,-2.5244989688495647e-07,5.22504150373936
0.008000030182301998,0.008661055389483474,0,1.0262034142579473e-06,1.7761449172830328e-07,3.3329671724804095
0.008250038139522076,0.012396874792239498,0,5.13974273821485e-06,-4.9675454721845304e-06,1.2651095397945034
0.00850003957748413,0.01649247947180532,0,1.5104585290165735e-06,-9.847673617509959e-07,-0.8948760488406516
0.008750034496188164,0.021048452545528673,0,2.2014438811725724e-06,8.777442089966812e-07,-3.0441117006224583
0.009000039659440517,0.02948939808819595,0,9.435428000496254e-06,-8.889347440374726e-06,-5.0678811094094245
0.00925002247095108,0.03662964933195112,0,1.967167168699933e-05,1.7063067615392952e-05,-6.541536346121241
0.009500005282461643,0.04732866793869006,0,1.8665123459011662e-06,7.874578920319039e-07,-5.869415163084225
0.009750019758939743,0.062316881699849724,0,0.00018667118854832579,1.692626387126971e-05,-5.264850173560259
0.009999999776482582,0.08139859979573816,0,5.192635361133602e-06,-3.174685430339802e-08,-4.919056697127381
